Velagici (44.55618, 16.73349) - 维拉吉奇
Varoska Rijeka (45.08936, 16.01906) - 瓦罗斯卡河
Vares (44.16444, 18.32833) - 瓦雷什
Ustikolina (43.58338, 18.79106) - 乌斯蒂科利纳
Ugljevik (44.67771, 19.03384) - 乌格列维克
Tuzla (44.53842, 18.66709) - 图兹拉
Turbe (44.24352, 17.57499) - 图尔贝
Trzacka Rastela (44.97597, 15.78489) - 特尔扎茨卡拉斯特拉
Trstenci (45.04934, 17.79747) - 特尔斯滕齐
Trnovo (43.6658, 18.44593) - 特尔诺沃
Trn (44.85829, 17.23583) - 特恩
Travnik (44.22637, 17.66583) - 特拉夫尼克
Tojsici (44.50133, 18.78523) - 托伊西奇
Teslic (44.60639, 17.85972) - 特斯利奇
Tesanj (44.61191, 17.98552) - 特萨尼
Tasovcici (43.11333, 17.72) - 塔索夫奇奇
Svodna (45.0377, 16.54019) - 斯沃德纳
Sumatac (45.09743, 15.85818) - 苏马塔茨
Suho Polje (44.69104, 19.10994) - 苏霍波列
Sturlic (45.06389, 15.77806) - 斯图尔利奇
Stupari (44.31382, 18.68416) - 斯图帕里
Stolac (43.084, 17.95995) - 斯托拉茨
StjepanPolje (44.71634, 18.25783) - 斯捷潘波列
Stijena (44.9363, 16.02224) - 斯蒂耶纳
Srebrenik (44.70819, 18.48834) - 斯雷布雷尼克
Srebrenica (44.10748, 19.29669) - 斯雷布雷尼察
Srbac (45.0973, 17.52331) - 斯尔巴茨
Solina (44.56226, 18.69322) - 索利纳
Sokolac (43.93817, 18.80079) - 索科拉茨
Sladna (44.72897, 18.42575) - 斯拉德纳
Knezevo (44.49071, 17.38161) - 克涅热沃
Sipovo (44.28237, 17.08597) - 希波沃
Serici (44.46674, 18.5637) - 塞里奇
Sekovici (44.29896, 18.85532) - 塞科维奇
Sarajevo (43.84864, 18.35644) - 萨拉热窝
Sapna (44.5038, 18.99818) - 萨普纳
Sanski Most (44.7667, 16.667) - 桑斯基莫斯特
Sanica (44.61354, 16.64062) - 萨尼察
Rumboci (43.83154, 17.50273) - 鲁姆博齐
Rudo (43.61781, 19.36719) - 鲁多
Rogatica (43.79894, 19.00363) - 罗加蒂察
Rodoc (43.31453, 17.8029) - 罗多克
Ravno (42.88741, 17.96555) - 拉夫诺
Rosko Polje (43.5804, 17.16772) - 罗什科波列
Radisici (43.22302, 17.54056) - 拉迪西奇
Puracic (44.54562, 18.47865) - 普拉奇奇
Novi Travnik (44.17133, 17.65816) - 新特拉夫尼克
Prozor (43.82222, 17.60917) - 普罗佐尔
Prnjavor (44.87021, 17.66256) - 普尔尼亚沃尔
Prijedor (44.97991, 16.71401) - 普里耶多尔
Priboj (44.60233, 18.93165) - 普里博伊
Pribinic (44.6101, 17.68981) - 普里比尼奇
Praca (43.76367, 18.76512) - 普拉察
Potoci (43.40953, 17.87855) - 波托奇
Posusje (43.47281, 17.32621) - 波苏谢
Popovi (44.76547, 19.28667) - 波波维
PoljeBijela (43.63299, 17.97216) - 波列比耶拉
Polje (43.88014, 18.07452) - 波列
Pojezna (44.83846, 17.84017) - 波耶兹纳
Podzvizd (45.17417, 15.87361) - 波兹维兹德
Podnovlje (44.9483, 18.11669) - 波德诺夫列
Podhum (43.72295, 16.99887) - 波德胡姆
Pocitelj (43.1343, 17.73342) - 波奇特利
Petkovci (44.46849, 19.07466) - 佩特科夫齐
Pelagicevo (44.90105, 18.59185) - 佩拉吉切沃
Pecigrad (45.05444, 15.89694) - 佩奇格拉德
Peci (44.63139, 16.7825) - 佩奇
Pazaric (43.78882, 18.16049) - 帕扎里奇
Patkovaca (44.72727, 19.23056) - 帕特科瓦察
Pale (43.81664, 18.56949) - 帕莱
Otoka (44.96, 16.17917) - 奥托卡
Ostrozac (44.90866, 15.94045) - 奥斯特罗扎茨
Ostra Luka (44.99724, 18.58464) - 奥斯特拉卢卡
Osmaci (44.40159, 18.91638) - 奥斯马齐
Osinja (44.84772, 17.87443) - 奥辛亚
Orguz (43.77414, 16.86329) - 奥尔古兹
Orasje (45.03366, 18.69334) - 奥拉谢
Orasac (44.63039, 16.07443) - 奥拉萨茨
Orahovica Donja (44.65345, 18.36951) - 奥拉霍维察多尼亚
Omarska (44.8917, 16.89814) - 奥马尔斯卡
Omanjska (44.69831, 17.95757) - 奥曼什卡
Olovo (44.1277, 18.58065) - 奥洛沃
Odzak (45.02461, 18.32107) - 奥扎克
Obudovac (44.95215, 18.59869) - 奥布多瓦茨
Novo Selo (41.41486, 22.88164) - 新村
Novi Seher (44.51031, 18.02624) - 新谢赫尔
Nevesinje (43.25861, 18.11333) - 内韦西涅
Neum (42.92333, 17.61556) - 内乌姆
Mrkonjic Grad (44.41729, 17.08288) - 姆尔科尼奇格拉德
Mramor (44.59234, 18.56458) - 姆拉莫尔
Mostar (43.34333, 17.80806) - 莫斯塔尔
Miskovci (45.00301, 17.79738) - 米什科夫齐
Mionica (44.86646, 18.46603) - 米奥尼察
Milici (44.17016, 19.09195) - 米利奇
Megugorje (43.19576, 17.67554) - 梅久戈耶
Matuzici (44.68776, 18.04885) - 马图齐奇
Maslovare (44.56594, 17.53216) - 马斯洛瓦雷
Maricka (44.86801, 16.8551) - 马里茨卡
Mala Kladusa (45.13443, 15.85217) - 小克拉杜沙
Mahala (48.29681, 26.0433) - 马哈拉
