Crissolo (44.69953, 7.15602) 克里索洛
Crispiano (40.60379, 17.2329) 克里斯皮亚诺
Crevalcore (44.71966, 11.14765) 克雷瓦尔科雷
Crevacuore (45.68548, 8.24404) 克雷瓦库奥雷
Cretone (42.07116, 12.70365) 克雷托内
Creto (45.9411, 10.64027) 克雷托
Cressa (45.64762, 8.50942) 克雷萨
Crespino (44.98527, 11.88958) 克雷斯皮诺
Crespina (43.57304, 10.56431) 克雷斯皮纳
Crespiatica (45.35136, 9.57659) 克雷斯皮亚蒂卡
Crespellano (44.51196, 11.13224) 克雷斯佩拉诺
Crespano del Grappa (45.82793, 11.83358) 克雷斯帕诺德尔格拉帕
Crespadoro (45.62019, 11.22589) 克雷斯帕多罗
Crescentino (45.19941, 8.08635) 克雷森蒂诺
Cremona (45.13325, 10.02129) 克雷莫纳
Cremolino (44.63674, 8.58584) 克雷莫利诺
Cremeno (45.93492, 9.47099) 克雷梅诺
Crema (45.36264, 9.68176) 克雷马
Credera (45.30301, 9.65498) 克雷德拉
Crecchio (42.29778, 14.32656) 克雷基奥
Creazzo (45.53154, 11.47789) 克雷亚佐
Craveggia (46.14124, 8.48907) 克拉韦贾
Cravanzana (44.57448, 8.12731) 克拉万扎纳
CracoSant'Angelo (40.37992, 16.43708) 克拉科圣安杰洛
Cozzo (45.19213, 8.61112) 科佐
Cozzana (40.92025, 17.22259) 科扎纳
Covo (45.49906, 9.77068) 科沃
Courmayeur (45.79659, 6.96893) 库尔马耶
Cottanello (42.40811, 12.68592) 科塔内洛
Cotignola (44.38572, 11.93852) 科蒂尼奥拉
Costigliole Saluzzo (44.56453, 7.48543) 科斯蒂廖莱萨卢佐
Costigliole d'Asti (44.78517, 8.18405) 科斯蒂廖莱达斯蒂
Costermano (45.58606, 10.739) 科斯特尔马诺
Costa Volpino (45.82768, 10.10076) 科斯塔沃尔皮诺
Costa Valle Imagna (45.8028, 9.50413) 科斯塔瓦莱伊马尼亚
Costa Sant'Abramo (45.16667, 9.96667) 科斯塔圣阿布拉莫
