Corbiolo (45.60024, 11.03051) 科尔比奥洛
Corbetta (45.46723, 8.91867) 科尔贝塔
Corbanese (45.9457, 12.24027) 科尔巴内塞
Corato (41.15171, 16.41143) 科拉托
Corana (45.06289, 8.96952) 科拉纳
Coppito (42.3673, 13.34358) 科皮托
Copparo (44.89263, 11.82287) 科帕罗
Copiano (45.1975, 9.32462) 科皮亚诺
Copertino (40.26821, 18.0543) 科佩尔蒂诺
Copersito (40.31473, 15.06254) 科佩尔西托
Conversano (40.96836, 17.11329) 孔韦尔萨诺
Contursi Terme (40.65026, 15.24163) 孔图尔西泰尔梅
Controne (40.51018, 15.20404) 孔特罗内
Controguerra (42.85398, 13.81775) 孔特罗盖拉
Contrada (40.86811, 14.77747) 孔特拉达
Contigliano (42.41058, 12.77202) 孔蒂利亚诺
Conselve (45.23154, 11.87498) 孔塞尔韦
Conselice (44.51163, 11.82848) 孔塞利切
Conscio (45.61701, 12.28219) 孔西奥
Consandolo (44.65606, 11.77524) 孔桑多洛
Configni (42.42543, 12.64431) 孔菲尼
Confienza (45.33148, 8.55886) 孔菲恩扎
Conegliano (45.88805, 12.30201) 科内利亚诺
Condove (45.11591, 7.30859) 孔多韦
Condino (45.88167, 10.59366) 孔迪诺
Concorezzo (45.58854, 9.33393) 孔科雷佐
Concordia Sagittaria (45.76118, 12.82362) 康科迪亚萨吉塔里亚
Conco (45.80043, 11.60962) 孔科
Concerviano (42.32214, 12.98534) 孔切尔维亚诺
Concadirame (45.09373, 11.72992) 孔卡迪拉梅
Conca della Campania (41.33174, 13.99142) 坎帕尼亚的孔卡
Conca dei Marini (40.61754, 14.57311) 马里尼的孔卡
Conca Casale (41.49512, 14.00682) 卡萨莱的孔卡
Comun Nuovo (45.62291, 9.662) 科蒙努沃
Comunanza (42.95719, 13.41341) 科穆南扎
Compiobbi (43.78485, 11.35909) 科姆皮奥比
Compiano (44.49605, 9.66207) 科姆皮亚诺
Commessaggio (45.03754, 10.54535) 科梅萨焦
Comiziano (40.95163, 14.55124) 科米齐亚诺
CizzagoComezzano (45.4688, 9.95816) 奇扎戈科梅扎诺
Comerio (18.21801, -66.226) 科梅里奥
Comeglians (46.51614, 12.86619) 科梅利安斯
Comeana (43.79334, 11.05825) 科梅阿纳
Comazzo (45.4419, 9.46278) 科马佐
Comacchio (44.69478, 12.18194) 科马基奥
Comabbio (45.77359, 8.67833) 科马比奥
Colturano (45.38151, 9.33443) 科尔图拉诺
Coltaro (44.96623, 10.32045) 科尔塔罗
Colorno (44.92572, 10.37361) 科洛尔诺
Colonnella (42.8723, 13.86987) 科隆内拉
Colonna (41.83454, 12.75495) 科隆纳
ColombaroTimoline (45.64405, 9.99413) 科隆巴罗蒂莫利内
Colombaro (44.55153, 10.89628) 科隆巴罗
Cologno Monzese (45.53004, 9.27795) 科洛尼奥蒙泽塞
Cologno al Serio (45.57604, 9.70892) 科洛尼奥阿尔塞里奥
Cologna Veneta (45.30777, 11.38032) 科洛尼亚韦内塔
Cologna (44.96889, 11.89547) 科洛尼亚
Cologna Paese (42.69441, 13.9492) 科洛尼亚帕埃塞
Colobraro (40.18841, 16.4248) 科洛布拉罗
Colmurano (43.16485, 13.35908) 科尔穆拉诺
Colloredo di Prato (46.05124, 13.14394) 科洛雷多迪普拉托
Collobiano (45.39665, 8.3475) 科洛比亚诺
Colli sul Velino (42.49828, 12.78153) 维利诺的科利
Collio (45.81088, 10.33511) 科利奥
Colli del Tronto (42.8769, 13.74745) 特龙托的科利
Colliano (40.72293, 15.28969) 科利亚诺
Colli a Volturno (41.60039, 14.10301) 沃尔图诺的科利
Colli (41.60439, 13.5334) 科利
Collevecchio (42.33368, 12.55329) 科莱韦基奥
Colletorto (41.66165, 14.96773) 科莱托尔托
Colle Sestriere (44.95744, 6.87596) 科莱塞斯特里耶
Colle Santa Lucia (46.44852, 12.01399) 科莱圣卢西亚
Colle Sannita (41.36374, 14.8345) 科莱桑尼塔
Colle San Magno (41.55019, 13.69485) 科莱圣马尼奥
Collesalvetti (43.59073, 10.47523) 科莱萨尔韦蒂
Collepietro (42.22089, 13.78101) 科莱皮耶特罗
Collepietra (46.48527, 11.45481) 科莱皮耶特拉
Collepepe (42.91548, 12.39486) 科莱佩佩
Collepasso (40.07115, 18.16222) 科莱帕索
Collepardo (41.76417, 13.36846) 科莱帕尔多
Collemeto (40.20885, 18.10285) 科莱梅托
Collelongo (41.88659, 13.5838) 科莱隆戈
Colle Isarco (46.93857, 11.44245) 科莱伊萨尔科
Collegno (45.07873, 7.56735) 科莱尼奥
Collegiove (42.17506, 13.03844) 科莱焦韦
Colleferro (41.72722, 13.00481) 科莱费罗
Colle di Val d'Elsa (43.42107, 11.12739) 埃尔萨谷的科莱
Colle di Tora (42.20809, 12.94746) 托拉的科莱
Colledimezzo (41.98606, 14.3869) 科莱迪梅佐
Colledimacine (42.0037, 14.20079) 科莱迪马奇内
Colle di Fuori (41.80091, 12.80683) 弗奥里的科莱
Colledara (42.53918, 13.67556) 科莱达拉
Colle d'Anchise (41.50986, 14.51873) 安基塞的科莱
Collecorvino (42.46024, 14.01564) 科莱科尔维诺
Collecchio (44.75197, 10.2154) 科莱基奥
Collebrincioni (42.39807, 13.41532) 科莱布林乔尼
Colleberardi (41.68635, 13.45302) 科莱贝拉尔迪
Colleatterrato Alto (42.67982, 13.7297) 高科莱阿泰拉托
Collazzone (42.90147, 12.43582) 科拉佐内
Collarmele (42.06031, 13.6267) 科拉尔梅莱
