Collalto Sabino (42.13522, 13.04841) 科拉尔托萨比诺
Collagna (44.34694, 10.2735) 科拉尼亚
Colico Piano (46.13205, 9.37714) 科利科皮亚诺
Coli (44.74582, 9.41468) 科利
Colere (45.97522, 10.08356) 科莱雷
Coldragone (41.55458, 13.60399) 科尔德拉戈内
Colbordolo (43.82006, 12.72105) 科尔博尔多洛
Cogolo (46.35252, 10.69282) 科戈洛
Cogollo del Cengio (45.78397, 11.42527) 科戈洛德尔森焦
Cogoleto (44.38996, 8.64692) 科戈莱托
Cogne (45.60742, 7.35803) 科涅
Coggiola (45.6864, 8.18252) 科焦拉
Codrongianos (40.65603, 8.6814) 科德龙贾诺斯
Codroipo (45.96469, 12.97985) 科德罗伊波
Codogno (45.16187, 9.70216) 科多尼奥
Codogne (45.86047, 12.41284) 科多涅
Codisotto (44.98278, 10.7275) 科迪索托
Codigoro (44.83093, 12.11073) 科迪戈罗
Codevilla (44.96353, 9.05773) 科德维拉
Codevigo (45.26628, 12.09961) 科德维戈
CodemondoQuaresimo (44.69082, 10.55098) 科德蒙多夸雷西莫
Codaruina (40.92847, 8.82398) 科达鲁伊纳
Cocumola (40.0661, 18.43007) 科库莫拉
Cocullo (42.03283, 13.775) 科库洛
Cocquio (45.86288, 8.68823) 科奎奥
Cocconato (45.08642, 8.04019) 科科纳托
Coccaglio (45.56399, 9.97224) 科卡廖
Coazze (45.05181, 7.30063) 科阿泽
Clusone (45.88663, 9.94646) 克卢索内
Clusane (45.66247, 10.00005) 克卢萨内
Cles (46.36294, 11.03276) 克莱斯
Claviere (44.93922, 6.75213) 克拉维耶雷
Clauzetto (46.22931, 12.91662) 克劳泽托
Classe (44.37955, 12.23654) 克拉塞
Cizzago (45.47128, 9.95006) 奇扎戈
Civitella San Paolo (42.19935, 12.57455) 奇维泰拉圣保罗
Civitella Roveto (41.91329, 13.42396) 奇维泰拉罗韦托
Civitella Marittima (42.99408, 11.28116) 奇维泰拉马里蒂马
Civitella di Romagna (44.00785, 11.94398) 奇维泰拉迪罗马涅
Civitella del Tronto (42.77298, 13.67626) 奇维泰拉德尔特龙托
Civitella d'Agliano (42.60296, 12.18624) 奇维泰拉达利亚诺
Civitella Casanova (42.36391, 13.88514) 奇维泰拉卡萨诺瓦
Civitella Alfedena (41.76533, 13.94271) 奇维泰拉阿尔费德纳
Civitavecchia (42.09325, 11.79674) 奇维塔韦基亚
Civitaquana (42.32578, 13.90012) 奇维塔夸纳
Civitanova Alta (43.31619, 13.67978) 奇维塔诺瓦阿尔塔
Civitaluparella (41.9449, 14.30135) 奇维塔卢帕雷拉
Civita d'Antino (41.88629, 13.47215) 奇维塔丹蒂诺
Civita Castellana (42.29304, 12.40885) 奇维塔卡斯泰拉纳
Civitacampomarano (41.78032, 14.68919) 奇维塔坎波马拉诺
Cividate Camuno (45.94087, 10.2661) 奇维达泰卡穆诺
Cividate al Piano (45.55465, 9.83024) 奇维达泰阿尔皮亚诺
Cividale del Friuli (46.09019, 13.42861) 奇维达莱德尔弗留利
Civezzano (46.09133, 11.18468) 奇韦扎诺
Civezza (43.87982, 7.95165) 奇韦扎
Cittiglio (45.89587, 8.66551) 奇蒂廖
Citta Sant'Angelo (42.51254, 14.06203) 奇塔圣安杰洛
Cittareale (42.61624, 13.15788) 奇塔雷阿莱
Cittaducale (42.38664, 12.95497) 奇塔杜卡莱
Citta di Castello (43.46556, 12.2375) 奇塔迪卡斯泰洛
Citta della Pieve (42.95934, 12.00696) 奇塔德拉皮耶韦
Cittadella (45.64523, 11.78453) 奇塔代拉
Citerna (43.49882, 12.11376) 奇泰尔纳
Cisternino (40.74326, 17.42587) 奇斯特尔尼诺
Cisterna di Latina (41.5908, 12.82808) 奇斯泰尔纳迪拉蒂纳
