Sarnonico (46.41941, 11.14177) 萨尔诺尼科
Segonzano (46.19021, 11.25988) 塞贡扎诺
Sfruz (46.33961, 11.12377) 斯夫鲁兹
Smarano (46.34311, 11.10977) 斯马拉诺
Reana del Rojale (46.14322, 13.24653) 罗亚莱的雷亚纳
Soraga (46.39462, 11.66619) 索拉加
Sover (46.22171, 11.31568) 索韦尔
Tenna (46.0157, 11.26428) 特纳
Terzolas (46.36111, 10.92587) 特尔佐拉斯
Torcegno (46.07431, 11.44979) 托尔切尼奥
Varena (54.21546, 24.57538) 瓦雷纳
Zuclo (46.0343, 10.75107) 祖克洛
Angiari (45.22318, 11.2768) 安贾里
Boschi Sant'Anna (45.21768, 11.3562) 博斯基圣安娜
Cerro Veronese (45.57449, 11.04159) 维罗纳的切罗
Colognola ai Colli (45.43369, 11.18429) 科洛尼奥拉艾科利
Grancona (45.42189, 11.4516) 格兰科纳
Roveredo di Gua (45.27309, 11.4442) 瓜的罗韦雷多
Rovere Veronese (45.59329, 11.06999) 维罗纳的罗韦雷
Stazione Valmozzola (44.57879, 9.9429) 瓦尔莫佐拉站
Lugo di Vicenza (45.7455, 11.52869) 维琴察的卢戈
San Nicolo Comelico (46.58253, 12.5273) 科梅利科的圣尼科洛
Monfumo (45.8308, 11.9203) 蒙富莫
Villagrande (42.29533, 13.29999) 维拉格兰德
Monte Grimano Terme (43.86766, 12.47125) 蒙特格里马诺温泉
Terrassa Padovana (45.24409, 11.90271) 帕多瓦的特拉萨
Valle e Castello (43.0374, 13.08742) 瓦莱和卡斯泰洛
Fluminata (42.94383, 13.1348) 弗卢米纳塔
Castel di Lama (42.86435, 13.71929) 拉马堡
Cortino (42.62186, 13.50774) 科尔蒂诺
Zeri (44.35375, 9.76318) 泽里
Caminata (44.91036, 9.30816) 卡米纳塔
Cerignale (44.67785, 9.35077) 切里尼亚莱
Sambuca Pistoiese (44.10435, 10.99961) 皮斯托耶塞的桑布卡
Capraia e Limite (43.74535, 10.98342) 卡普拉亚和利米特
Gazzola (44.96006, 9.54896) 加佐拉
Frazione Chiesa (45.69405, 8.21228) 切萨分区
Callabiana Chiesa (45.63137, 8.09722) 卡拉比亚纳切萨
Montegioco (44.84205, 8.96275) 蒙特焦科
Calvignasco (45.32597, 9.02775) 卡尔维尼亚斯科
Sardigliano (44.7524, 8.89575) 萨尔迪利亚诺
Nibionno (45.74648, 9.26894) 尼比翁诺
Castegnero (45.44249, 11.5845) 卡斯特涅罗
Palazzo Pignano (45.39007, 9.56956) 皮尼亚诺宫
Capriata d'Orba (44.72785, 8.69085) 奥尔巴的卡普里亚塔
Campo nell'Elba (42.74802, 10.23332) 厄尔巴的坎波
Montemignaio (43.73985, 11.61883) 蒙特米尼亚约
Isola del Giglio (42.35791, 10.90724) 吉廖岛
Tresana (44.25425, 9.91288) 特雷萨纳
Pontey (45.73886, 7.58831) 蓬泰
RhemesSaint-Georges (45.65226, 7.1544) 雷梅圣乔治
Castelbianco (44.11423, 8.07515) 卡斯特尔比安科
Giustenice (44.17293, 8.24305) 朱斯特尼切
Larciano (43.83365, 10.89001) 拉尔恰诺
Onzo (44.07013, 8.05225) 翁佐
Orco Feglino (44.22023, 8.32455) 奥尔科费利诺
Roccavignale (44.36124, 8.19055) 罗卡维尼亚莱
Broccostella (41.69972, 13.63531) 布罗科斯特拉
Vendone (44.07693, 8.07115) 文多内
Vezzi Portio (44.22933, 8.36505) 维齐波尔蒂奥
Tribogna (44.41655, 9.19557) 特里博尼亚
Carrodano (44.24155, 9.65578) 卡罗达诺
Cosio Valtellino (46.13509, 9.55164) 瓦尔泰利纳的科西奥
Forcola (46.15859, 9.66034) 福尔科拉
Menarola (46.29929, 9.36124) 梅纳罗拉
Castel di Sasso (41.19242, 14.27773) 萨索堡
Castel Morrone (41.12102, 14.35473) 莫罗内堡
Samolaco (46.24249, 9.39404) 萨莫拉科
Isolaccia (46.48901, 10.29405) 伊索拉恰
Valdisotto (46.43441, 10.35695) 瓦尔迪索托
Val Masino (46.21519, 9.63804) 瓦尔马西诺
Marmentino (45.75499, 10.28467) 马尔门蒂诺
Monticelli Brusati (45.63478, 10.10026) 蒙蒂切利布鲁萨蒂
Muscoline (45.56249, 10.46187) 穆斯科利内
Ossimo Superiore (45.94619, 10.23056) 上奥西莫
Paisco Loveno (46.0791, 10.29256) 帕伊斯科洛韦诺
Pertica Alta (45.74239, 10.34417) 上佩尔蒂卡
Pertica Bassa (45.75339, 10.37247) 下佩尔蒂卡
Pezzaze (45.77629, 10.23597) 佩扎泽
Preseglie (45.66829, 10.39677) 普雷塞利耶
Provaglio d'Iseo (45.63538, 10.04466) 伊塞奥的普罗瓦廖
Provaglio Val Sabbia (45.68879, 10.43397) 萨比亚谷的普罗瓦廖
Puegnago sul Garda (45.56679, 10.50977) 加尔达湖畔的普埃尼亚戈
Remedello (45.27838, 10.37198) 雷梅代洛
RodengoSaiano (45.59958, 10.10717) 罗登戈萨亚诺
Gardola (45.7418, 10.71871) 加尔多拉
Vallio Terme (45.60979, 10.39737) 瓦廖温泉
Valvestino (45.76069, 10.59547) 瓦尔韦斯蒂诺
Concei (45.906, 10.72897) 孔切伊
Lettere (40.70491, 14.54494) 莱特雷
Sovramonte (46.05861, 11.7866) 索夫拉蒙特
Paderno del Grappa (45.8286, 11.8577) 格拉帕的帕代尔诺
Saint Marcel (45.73146, 7.4482) 圣马塞尔
Ville Sur Sarre (45.73339, 7.25857) 萨尔的维尔
Valsavarenche (45.59186, 7.21) 瓦尔萨瓦伦切
Valtournenche (45.87607, 7.6243) 瓦尔图尔嫩切
Bajardo (43.90402, 7.72534) 巴亚尔多
Ceranesi (44.50563, 8.89343) 切拉内西
Roe Volciano (45.61199, 10.48857) 罗埃沃尔恰诺
Soiano (45.52778, 10.51267) 索亚诺
