Gualtieri Sicamino (38.16267, 15.31699) 瓜尔蒂耶里·西卡米诺
Motta d'Affermo (37.98096, 14.30337) 莫塔·达费尔莫
Roccafiorita (37.93086, 15.26739) 罗卡菲奥里塔
Savoca (37.95326, 15.34009) 萨沃卡
Camporotondo Etneo (37.56565, 15.00319) 坎波罗通多·埃特内奥
San Pietro Clarenza (37.56885, 15.02289) 圣彼得罗·克拉伦扎
Mazzarrone (37.08834, 14.56128) 马扎罗内
Ragalna (37.63455, 14.94698) 拉加尔纳
Desulo (40.01462, 9.23061) 德苏洛
Villaperuccio (39.11183, 8.67004) 维拉佩鲁乔
Villa Sant'Antonio (39.85915, 8.90153) 圣安东尼奥别墅
Donato (45.52626, 7.90962) 多纳托
Magnano (40.05509, 16.05485) 马尼亚诺
Piatto (45.58986, 8.13532) 皮亚托
Ronco Biellese (45.57846, 8.09072) 朗科·比耶莱塞
Sagliano Micca (45.62576, 8.04332) 萨利亚诺·米卡
Sostegno (45.65287, 8.26982) 索斯泰尼奥
Tavigliano (45.62206, 8.05172) 塔维利亚诺
Valdengo (45.56706, 8.13832) 瓦尔登戈
Villanova Biellese (45.48156, 8.19432) 维拉诺瓦·比耶莱塞
Bulciago (45.75058, 9.28534) 布尔恰戈
Calco (45.72418, 9.41255) 卡尔科
Cassago Brianza (45.73808, 9.29344) 卡萨戈·布里安扎
Civate (45.82808, 9.34294) 奇瓦泰
Cortenova (46.00029, 9.38454) 科尔特诺瓦
Costa Masnaga (45.76963, 9.27632) 科斯塔·马斯纳加
Erve (45.82158, 9.45285) 埃尔韦
Garlate (45.81208, 9.39964) 加尔拉泰
Imbersago (45.70588, 9.44445) 因贝尔萨戈
Parlasco (46.01789, 9.34494) 帕尔拉斯科
Pasturo (45.95168, 9.44414) 帕斯图罗
Perego (45.73758, 9.36295) 佩雷戈
Perledo (46.01529, 9.2956) 佩尔莱多
Pescate (45.83348, 9.39395) 佩斯卡泰
Rogeno (45.78238, 9.27404) 罗杰诺
Santa Maria Hoe (45.74428, 9.37445) 圣玛丽亚·霍埃
Sirtori (45.73658, 9.33085) 西尔托里
Suello (45.81678, 9.31154) 苏埃洛
Valgreghentino (45.77928, 9.41345) 瓦尔格雷根蒂诺
Verderio Inferiore (45.66558, 9.43345) 维尔德里奥·因费里奥雷
Verderio Superiore (45.66778, 9.44035) 维尔德里奥·苏佩里奥雷
Casaletto Lodigiano (45.29337, 9.36194) 卡萨莱托·洛迪贾诺
Cervignano d'Adda (45.37387, 9.42405) 切尔维尼亚诺·达达
Graffignana (45.20647, 9.45436) 格拉菲尼亚纳
Mairago (45.25177, 9.57836) 马伊拉戈
Pieve Fissiraga (45.26327, 9.45836) 皮耶韦·菲西拉加
Sordio (45.34217, 9.36385) 索尔迪奥
Valera Fratta (45.25717, 9.33615) 瓦莱拉·弗拉塔
Montegridolfo (43.85826, 12.68995) 蒙特格里多尔福
Castelsilano (39.2691, 16.76741) 卡斯特尔西拉诺
Filandari (38.61508, 16.0314) 菲兰达里
Stefanaconi (38.67788, 16.1242) 斯特法纳科尼
Arizzano (45.95738, 8.58292) 阿里扎诺
Aurano (46.00038, 8.58822) 奥拉诺
Cambiasca (45.96238, 8.54462) 坎比亚斯卡
Quarna Sotto (45.86917, 8.36332) 夸尔纳·索托
Seppiana (46.05828, 8.21661) 塞皮亚纳
Vignone (45.96118, 8.56372) 维尼奥内
Bibiana (44.79894, 7.28822) 比比亚纳
Bruzolo (45.14093, 7.19463) 布鲁佐洛
Cafasse (45.24865, 7.51882) 卡法塞
Castagnole Piemonte (44.89814, 7.56612) 卡斯塔尼奥莱·皮埃蒙特
Castiglione Torinese (45.11905, 7.80712) 卡斯蒂廖内·托里内塞
Chianocco (45.14854, 7.16981) 基亚诺科
Chiaverano (45.49886, 7.90262) 基亚韦拉诺
Frossasco (44.92176, 7.37125) 弗罗萨斯科
Garzigliana (44.83724, 7.37442) 加尔齐利亚纳
Giaglione (45.13919, 7.01534) 贾廖内
Gravere (45.12534, 7.01751) 格拉韦雷
Isolabella (44.90645, 7.90903) 伊索拉贝拉
Issiglio (45.44626, 7.75322) 伊西廖
La Cassa (45.18035, 7.51632) 拉卡萨
Levone (45.31665, 7.60632) 莱沃内
Lugnacco (45.44506, 7.78212) 卢尼亚科
Lusiglie (45.31845, 7.76462) 卢西利耶
Macello (44.85114, 7.39802) 马切洛
Mattie (45.11814, 7.11511) 马蒂耶
Meugliano (45.49026, 7.77942) 梅乌利亚诺
Mombello di Torino (45.04575, 7.92083) 蒙贝洛·迪·都灵
Monastero di Lanzo (45.30185, 7.43971) 兰佐修道院
Moncenisio (45.20404, 6.98461) 蒙切尼西奥
Montaldo Torinese (45.06535, 7.85023) 蒙塔尔多·托里内塞
Pecco (45.45206, 7.77742) 佩科
Perosa Canavese (45.39706, 7.83082) 佩罗萨·卡纳韦塞
Pertusio (45.35565, 7.64152) 佩尔图西奥
Piscina (44.91874, 7.42532) 皮斯基纳
Piverone (45.44557, 8.00745) 皮韦罗内
Porte (44.88714, 7.26982) 波尔特
Rivarossa (45.24954, 7.71953) 里瓦罗萨
Roletto (44.92444, 7.33232) 罗莱托
Rosta (45.06795, 7.46512) 罗斯塔
Rueglio (45.46826, 7.75462) 鲁埃利奥
San Carlo Canavese (45.24455, 7.60572) 圣卡洛·卡纳韦塞
Strambinello (45.42306, 7.76992) 斯特兰比内洛
Usseaux (45.04894, 7.02851) 乌塞奥
Vallo Torinese (45.22355, 7.49632) 瓦洛·托里内塞
Villanova Canavese (45.24355, 7.55212) 维拉诺瓦·卡纳韦塞
Vische (45.33566, 7.94482) 维谢
Asigliano Vercellese (45.26146, 8.40853) 阿西利亚诺·韦尔切莱塞
Caresanablot (45.35736, 8.39203) 卡雷萨纳布洛特
