Maropati (38.44178, 16.0975) 马罗帕蒂
Oppido Mamertina (38.29337, 15.9839) 奥皮多·马梅尔蒂纳
Riace (38.41828, 16.48121) 里亚切
San Pietro di Carida (38.52368, 16.1353) 圣彼得罗·迪·卡里达
Buseto Palizzolo (38.00339, 12.70911) 布塞托·帕利佐洛
Trappeto (38.06875, 13.03794) 特拉佩托
Blufi (37.75205, 14.07296) 布鲁菲
Ali Terme (38.00506, 15.42269) 阿利泰尔梅
Graniti (37.88986, 15.22459) 格拉尼蒂
Limina (37.94076, 15.27119) 利米纳
Pace del Mela (38.17997, 15.30629) 帕切·德尔·梅拉
Rometta (38.17007, 15.41429) 罗梅塔
Esporlatu (40.38456, 8.98983) 埃斯波尔拉图
Viddalba (40.91259, 8.89009) 维达尔巴
Budoni (40.70467, 9.70384) 布多尼
Villanova Tulo (39.77995, 9.21424) 维拉诺瓦·图洛
Ollastra (39.95095, 8.73423) 奥拉斯特拉
Casapinta (45.61566, 8.19592) 卡萨平塔
Castelletto Cervo (45.52136, 8.22542) 卡斯泰莱托·切尔沃
Dorzano (45.42606, 8.09852) 多尔扎诺
Gifflenga (45.49306, 8.23223) 吉弗伦加
Miagliano (45.61346, 8.04472) 米亚利亚诺
Muzzano (45.56076, 7.98892) 穆扎诺
Ponderano (45.53846, 8.05592) 蓬德拉诺
Quaregna (45.58116, 8.16372) 夸雷尼亚
Roppolo (45.42056, 8.06972) 罗波洛
Rosazza (45.67576, 7.97712) 罗萨扎
Ternengo (45.58896, 8.11372) 特尔嫩戈
Viverone (45.42726, 8.04942) 维韦罗内
Zubiena (45.49266, 7.99552) 祖比耶纳
Zumaglia (45.59386, 8.08942) 祖马利亚
Barzago (45.75548, 9.31424) 巴尔扎戈
Barzio (45.94349, 9.46694) 巴尔齐奥
Cassina Valsassina (45.93209, 9.47894) 卡西纳·瓦尔萨西纳
Cernusco Lombardone (45.69088, 9.39925) 切尔努斯科·隆巴尔多内
Cesana Brianza (45.81678, 9.29954) 切萨纳·布里安扎
Crandola Valsassina (46.02329, 9.37914) 克兰多拉·瓦尔萨西纳
Cremella (45.73858, 9.30064) 克雷梅拉
Dolzago (45.76698, 9.33934) 多尔扎戈
Ello (45.78568, 9.36534) 埃洛
Introzzo (46.08119, 9.34094) 因特罗佐
Margno (46.03099, 9.38164) 马尔尼奥
Montevecchia (45.70548, 9.38085) 蒙特韦基亚
Primaluna (45.98379, 9.43764) 普里马卢纳
Sirone (45.77268, 9.32214) 西罗内
Vendrogno (46.03439, 9.32944) 文德罗尼奥
Vestreno (46.08329, 9.32484) 韦斯特雷诺
Vigano (45.72468, 9.32494) 维加诺
Abbadia Cerreto (45.31217, 9.59416) 阿巴迪亚·切雷托
Borgo San Giovanni (45.27787, 9.43496) 博尔戈·圣乔瓦尼
Caselle Landi (45.10257, 9.79557) 卡塞莱·兰迪
Cornovecchio (45.13667, 9.79937) 科尔诺韦基奥
Galgagnano (45.35797, 9.44535) 加尔加尼亚诺
Livraga (45.19227, 9.54646) 利夫拉加
Maccastorna (45.14667, 9.85457) 马卡斯托尔纳
Marudo (45.25297, 9.37716) 马鲁多
Merlino (45.43337, 9.42985) 梅尔利诺
Mulazzano (45.37237, 9.39765) 穆拉扎诺
Salerano sul Lambro (45.29657, 9.38515) 萨莱拉诺·苏尔·兰布罗
San Rocco al Porto (45.08197, 9.69717) 圣罗科·阿尔·波尔托
Somaglia (45.14947, 9.63346) 索马利亚
Mondaino (43.85796, 12.66845) 蒙代诺
Monte Colombo (43.92016, 12.55235) 蒙特科伦博
Brognaturo (38.60128, 16.3414) 布罗尼亚图罗
Joppolo (38.58338, 15.89709) 约波洛
Zungri (38.65668, 15.98409) 祖格里
Bee (45.96328, 8.57542) 贝
Caprezzo (45.98198, 8.56282) 卡普雷佐
Ceppo Morelli (45.97114, 8.06688) 切波·莫雷利
Cossogno (45.96408, 8.50962) 科索尼奥
Gurro (46.08498, 8.56772) 古罗
Massiola (45.91247, 8.32012) 马西奥拉
Montecrestese (46.16448, 8.32621) 蒙特克雷斯特塞
Nonio (45.84577, 8.37752) 诺尼奥
Premia (46.26807, 8.3383) 普雷米亚
Toceno (46.14468, 8.46902) 托切诺
Trasquera (46.21338, 8.21271) 特拉斯奎拉
Trontano (46.12248, 8.33322) 特龙塔诺
Zuni (41.21722, 14.13082) 祖尼
Letino (41.45302, 14.25542) 莱蒂诺
Pastorano (41.18082, 14.19823) 帕斯托拉诺
Coreglia Ligure (44.38775, 9.26097) 科雷利亚·利古雷
Casciago (45.83248, 8.78333) 卡夏戈
Cassano Valcuvia (45.93238, 8.76843) 卡萨诺·瓦尔库维亚
Bene Lario (46.02898, 9.18414) 贝内·拉里奥
Binago (45.78218, 8.92234) 比纳戈
Cabiate (45.67418, 9.17374) 卡比亚特
Ramponio Verna (45.99698, 9.06633) 兰波尼奥·韦尔纳
Rodero (45.82398, 8.91523) 罗德罗
Ronago (45.83228, 8.98364) 罗纳戈
San Fedele Intelvi (45.96768, 9.08074) 圣费德莱·因特尔维
Senna Comasco (45.76298, 9.11104) 塞纳·科马斯科
Sorico (46.17259, 9.38404) 索里科
Tavernerio (45.80068, 9.14054) 塔韦尔内里奥
Turate (45.65727, 9.00424) 图拉泰
Valmorea (45.81518, 8.93064) 瓦尔莫雷亚
Vercana (46.15949, 9.33514) 维尔卡纳
Zelbio (45.90458, 9.18054) 泽尔比奥
Andalo Valtellino (46.13599, 9.47384) 安达洛·瓦尔泰利诺
Caiolo (46.14999, 9.81455) 卡约洛
