Catena (43.84254, 11.01658) - 卡特纳
Fossoli (44.8216, 10.88977) - 福索利
San Bartolomeo (41.48265, 13.85747) - 圣巴托洛梅奥
Fabbrica (43.50833, 10.75833) - 法布里卡
Semogo (46.48499, 10.27005) - 塞莫戈
San Vigilio (45.60808, 10.19442) - 圣维吉利奥
Lido Campomarino (41.95751, 15.0526) - 利多坎波马里诺
Scarlino Scalo (42.93992, 10.83766) - 斯卡尔利诺斯卡洛
Ponte Pattoli (43.17807, 12.42842) - 蓬特帕托利
Cologna Spiaggia (42.72152, 13.98311) - 科洛尼亚斯皮亚贾
Protonotaro (38.12077, 15.19238) - 普罗托诺塔罗
Mezzate (45.44385, 9.29452) - 梅扎泰
San BovioSan Felice (45.46282, 9.31263) - 圣博维奥圣费利切
Pradelle (45.28315, 10.87083) - 普拉德莱
MontignanoMarzocca (43.67451, 13.29093) - 蒙蒂尼亚诺马尔佐卡
Centinarola (43.83117, 12.98962) - 森蒂纳罗拉
Fenile (43.84126, 12.96747) - 费尼莱
Case Bruciate (43.8959, 12.82997) - 卡塞布鲁恰特
Pianacce (42.55588, 14.08808) - 皮亚纳切
Fondotoce (45.94649, 8.49226) - 丰多托切
Cropani Marina (38.92376, 16.8108) - 克罗帕尼马里纳
Roccelletta (38.81126, 16.5982) - 罗切莱塔
Monterusciello (40.86874, 14.08276) - 蒙特鲁谢洛
Romano Banco (45.42309, 9.10707) - 罗马诺班科
Casa Santa (38.02514, 12.5484) - 卡萨桑塔
Paolo VI (40.52218, 17.27401) - 保罗六世
Breo (44.39865, 7.81903) - 布雷奥
Mejaniga (45.45768, 11.90644) - 梅贾尼加
ChiugianaLa Commenda (43.09823, 12.30818) - 乔吉亚纳拉科门达
San ZenoSan Giuseppe (45.75727, 11.76208) - 圣泽诺圣朱塞佩
SpicchioSovigliana (43.73016, 10.93921) - 斯皮基奥索维利亚纳
Ponte Cingoli (45.59751, 10.10687) - 蓬特金戈利
Fiesso (45.41954, 12.03378) - 菲耶索
Canalicchio (37.54097, 15.09645) - 卡纳利基奥
ColombieraMolicciara (44.0875, 10.01037) - 科隆比耶拉莫利恰拉
Selcetta (41.76529, 12.47533) - 塞尔切塔
Andreotta (39.3075, 16.2177) - 安德雷奥塔
CasanoDogana-Isola (44.07565, 10.03381) - 卡萨诺多加纳-伊索拉
Ciaculli (38.0753, 13.40719) - 夏库利
Vill'Albese (45.79684, 9.18859) - 维尔阿尔贝塞
