San GiovanniPatoni (41.77223, 13.2751) - 圣乔瓦尼帕托尼
PasteriaLapide (37.81012, 15.22818) - 帕斯特里亚拉皮德
Badalasco (45.54217, 9.55494) - 巴达拉斯科
Barone (38.85225, 16.63927) - 巴罗内
Duomo (45.5324, 10.02118) - 大教堂
Prepezzano (40.72754, 14.89123) - 普雷佩扎诺
Gaiano (44.72391, 10.17267) - 加亚诺
Sassacci (42.32342, 12.44108) - 萨萨奇
Tavo (45.50066, 11.86079) - 塔沃
Canavaccio (43.69376, 12.69863) - 卡纳瓦乔
Cendon (45.63804, 12.32505) - 森东
FavariAvatanei (44.91235, 7.7995) - 法瓦里阿瓦塔内伊
Santa Croce Scuole (44.76281, 10.84944) - 圣十字学校
Forette (45.34221, 10.9446) - 福雷特
Buso (45.06491, 11.84772) - 布索
Poggio Ellera (42.1138, 12.37174) - 波焦埃莱拉
San Zeno (45.63381, 10.73046) - 圣泽诺
FaraldoNocelleto (40.77992, 14.76363) - 法拉尔多诺切莱托
Montalto (43.49912, 11.6638) - 蒙塔尔托
Casalini (40.73777, 17.47062) - 卡萨利尼
Porto d'Adda (45.66241, 9.47563) - 阿达港
Villa San Filippo (43.25981, 13.59337) - 圣菲利波别墅
Cimbro (45.7357, 8.7205) - 钦布罗
Cassino d'Alberi (45.39208, 9.3909) - 阿尔贝里赌场
Bulgorello (45.72433, 9.05524) - 布尔戈雷洛
Cascina Elisa (45.60425, 8.79978) - 伊丽莎农庄
Brozzo (45.72019, 10.23092) - 布罗佐
Brezza (41.11073, 14.11201) - 布雷扎
Borgo Lotti (41.76414, 12.555) - 洛蒂村
Pugliano (40.67876, 14.94543) - 普利亚诺
Strada in Casentino (43.74452, 11.71007) - 卡森蒂诺的街道
Ronchi di Campanile (45.4579, 11.77483) - 钟楼的隆基
Agrate (45.6754, 8.56065) - 阿格拉泰
Cipolleto (43.32393, 12.57688) - 奇波莱托
Pontelangorino (44.86087, 12.14864) - 蓬特兰戈里诺
Laxolo (45.80871, 9.59983) - 拉索洛
Calozzo (46.10055, 9.27531) - 卡洛佐
Stravignino (45.77469, 10.23838) - 斯特拉维尼诺
La Place (45.65414, 7.68414) - 拉普拉斯
San Nico (39.66906, 16.43182) - 圣尼科
ArciEmpolitana (41.94766, 12.82502) - 阿尔奇恩波利塔纳
Orzignano (43.77408, 10.42382) - 奥尔齐尼亚诺
Colle del Pino (41.74246, 12.49644) - 皮诺山
Fellegara (44.61052, 10.697) - 费莱加拉
Colle Spina (41.78205, 12.84723) - 斯皮纳山
Azzano (45.98096, 9.20284) - 阿扎诺
Giavenale (45.70006, 11.40002) - 贾韦纳莱
Arlesega (45.46126, 11.71942) - 阿尔莱塞加
Calmasino (45.52099, 10.75206) - 卡尔马西诺
Pitelli (44.09458, 9.8849) - 皮泰利
Cominio (42.31248, 13.4325) - 科米尼奥
Case Nuove (45.60998, 10.39416) - 新房子
Beregazzo (45.77019, 8.95869) - 贝雷加佐
Navedano (45.75524, 9.0947) - 纳韦达诺
MaccoliPerrillo (41.08762, 14.80585) - 马科利佩里洛
Tonnara di Bonagia (38.06309, 12.59434) - 博纳贾金枪鱼场
