Quinzanello (45.41925, 10.09786) 昆扎内洛
Cavaione (45.47947, 9.44473) 卡瓦约内
Pairana (45.3204, 9.28732) 派拉纳
Montonate (45.74708, 8.77266) 蒙托纳特
Ganzanigo (44.47906, 11.656) 甘扎尼戈
Saccon (45.87421, 12.34972) 萨孔
Casini (43.8583, 11) 卡西尼
Cascine Maggio (45.75938, 8.81154) 卡希内马焦
Albare Stazione (45.57228, 10.75582) 阿尔巴雷车站
Deserto (45.20141, 11.69002) 德塞尔托
Rigaletta (38.01338, 12.58153) 里加莱塔
Rogorotto (45.50624, 8.96945) 罗戈罗托
Talocci (42.18984, 12.69624) 塔洛奇
Sant'AmatoNasuti (42.23904, 14.35582) 圣阿马托纳苏蒂
Vescovado (43.16953, 11.39198) 韦斯科瓦多
Calarco (38.05861, 14.62975) 卡拉尔科
San Chiaffredo (44.47959, 7.50204) 圣基亚弗雷多
Bagaron (45.48487, 12.28914) 巴加龙
La Fiora (41.33392, 13.19459) 拉菲奥拉
Pontepietra (45.04305, 7.31879) 蓬特皮耶特拉
RodiaS.saba (38.27316, 15.48551) 罗迪亚圣萨巴
Pianlungo (42.78187, 12.03568) 皮安隆戈
Casanova di Torre (43.2926, 12.66031) 卡萨诺瓦迪托雷
Alberone (45.68974, 11.8475) 阿尔贝罗内
Campoverde (41.53862, 12.73565) 坎波韦尔德
Fontana Scurano (41.73487, 13.36601) 丰塔纳斯库拉诺
Borgo Carillia (40.53313, 15.0623) 博尔戈卡里利亚
Gauro (40.71398, 14.96365) 高罗
C.da Ponticello (37.9725, 13.7126) 庞蒂切洛区
Misano Monte (43.9615, 12.65316) 米萨诺蒙特
Vaccarino (45.50764, 11.82557) 瓦卡里诺
Ponte San Michele (40.82865, 14.59202) 圣米凯莱桥
Fronti (38.9813, 16.34814) 弗龙蒂
Chiesuola (41.50445, 12.89398) 切苏拉
Torre (43.47943, 11.56409) 托雷
Castellazzo (45.47371, 8.94438) 卡斯特拉佐
Pittolo (45.01393, 9.6637) 皮托洛
Fossanova San Marco (44.79026, 11.62985) 福萨诺瓦圣马可
Latte (43.79401, 7.56571) 拉特
Cizzolo (45.0099, 10.66495) 奇佐洛
Brecciaro (41.6313, 13.47381) 布雷恰罗
Rocchetta Cairo (44.42919, 8.29972) 罗凯塔开罗
Zona Laurin (46.67821, 11.14467) 劳林区
Colli di Cicerone (41.6565, 12.73443) 西塞罗内丘陵
Aria Sana (40.32878, 18.16602) 阿里亚萨纳
Intignano (41.72719, 13.37508) 因蒂尼亚诺
Brattiro (38.64556, 15.88684) 布拉蒂罗
Gaggiolo (45.83773, 8.91031) 加焦洛
Verla (46.15793, 11.15331) 韦尔拉
Leccio (43.69922, 11.46654) 莱乔
Esenta (45.41656, 10.48036) 埃森塔
Valdaso (43.09583, 13.83154) 瓦尔达索
Montecerboli (43.24814, 10.87968) 蒙特切尔博利
Breda Cisoni (45.00953, 10.52961) 布雷达奇索尼
Alvanite (40.90756, 14.82672) 阿尔瓦尼特
Gozzolina (45.35887, 10.48636) 戈佐利纳
Tofe (41.68462, 13.22095) 托费
Poppino (46.01448, 8.76474) 波皮诺
San Sabino (43.4738, 13.51154) 圣萨比诺
Pietrapiana (43.6964, 11.52985) 皮耶特拉皮亚纳
Pichini (42.00172, 12.6826) 皮基尼
Zona P.E.E.P. (42.60668, 14.05761) P.E.E.P.区
Piano di Frassineta (43.45103, 12.84732) 弗拉西内塔平原
Scalo Ferroviario (39.24596, 16.05971) 铁路站
Villa D'Arco (45.99952, 12.6656) 阿尔科别墅
Baraccone (44.74633, 8.06242) 巴拉科内
Rivarola (44.3434, 9.35511) 里瓦罗拉
Coniolo (45.38332, 9.97611) 科尼奥洛
Tre Pontoni (42.10418, 12.56516) 特雷蓬托尼
Collenocello (41.97229, 12.78089) 科莱诺切洛
Maddalena (45.66155, 8.68379) 玛达莱娜
Villandro (46.63086, 11.53808) 维兰德罗
Forone (43.86494, 10.71925) 福罗内
Trappolone (44.4476, 11.36252) 特拉波隆
Venere (41.99101, 13.64549) 维内雷
Pederiva (45.42254, 11.46568) 佩德里瓦
Piano D'Agazio (38.91545, 16.75548) 达加齐奥平原
Sant'Eulalia (45.81668, 11.8158) 圣欧拉利亚
Sant'Elena Irpina (41.03741, 14.88931) 圣埃莱娜伊尔皮纳
Fresine (41.66765, 13.2542) 弗雷西内
La Vecchia (44.56576, 10.52939) 拉韦基亚
Simeri Mare (38.86502, 16.69753) 西梅里马雷
Santo Marino (44.01429, 12.40715) 圣马里诺
Baraggione (45.64778, 8.49897) 巴拉焦内
Marginone (43.8381, 10.69141) 马尔吉诺内
Monte Marcone (42.12346, 14.43243) 蒙特马尔科内
Albaro (45.35324, 11.19238) 阿尔巴罗
Maceratola (42.94986, 12.67087) 马切拉托拉
PontettoRoldo (46.15181, 8.32116) 蓬泰托罗尔多
Boffetto (46.1605, 9.95572) 博费托
Sandetole (43.8656, 11.53229) 桑德托莱
Isolalta (45.33711, 10.92266) 伊索拉尔塔
Villa d'Adige (45.10919, 11.43632) 阿迪杰别墅
Ticchione (42.29167, 14.01126) 蒂基奥内
Madonnina e Cologno (45.36413, 9.3615) 马多尼纳和科洛尼奥
La Borra (43.64282, 10.62936) 拉博拉
Via Latina Iv Km (41.73507, 12.96163) 拉蒂纳路四公里
Congiunti (42.47177, 14.0852) 孔久恩蒂
Castione (46.17287, 9.80032) 卡斯蒂奥内
CelaticaTolari (45.66499, 9.90244) 切拉蒂卡托拉里
