Casello dei Morti (39.59698, 16.11671) 卡塞洛德伊莫尔蒂
Caronti (41.64496, 12.541) 卡隆蒂
Lido di Tarquinia (42.22322, 11.70729) 塔尔奎尼亚海滩
Castionetto (46.17585, 10.0047) 卡斯蒂奥内托
Cascinazza (45.41729, 8.88472) 卡斯奇纳扎
Borgo Sant'Agata (43.90353, 8.00957) 圣阿加塔村
Magorno (40.2763, 15.74449) 马戈尔诺
Pisana (45.1708, 11.75374) 皮萨纳
Secula (45.48114, 11.61724) 塞库拉
Scalo (41.4325, 13.19933) 斯卡洛
Scarpizzolo (45.3776, 10.04941) 斯卡尔皮佐洛
Poiana di Granfion (45.48638, 11.73032) 格兰菲翁的波亚纳
Grottaccia (43.34587, 13.27266) 格罗塔恰
Farneto (41.46125, 12.84433) 法尔内托
Valle Bernardo (41.38937, 13.43968) 贝尔纳多谷
Caprecano (40.74141, 14.79086) 卡普雷卡诺
Plemo (45.91489, 10.23635) 普莱莫
Colle Diana (42.26009, 12.21362) 戴安娜山
Ticciano (40.64536, 14.45378) 蒂恰诺
Baricetta (45.05789, 11.99765) 巴里切塔
Piosina (43.48867, 12.19957) 皮奥西纳
Roncolo (44.63375, 10.49697) 龙科洛
Basiasco (45.26499, 9.58967) 巴西亚斯科
Muliparte (45.81592, 11.98456) 穆利帕尔特
Formigosa (45.12512, 10.86499) 福尔米戈萨
Scorcelletti (43.5047, 13.16866) 斯科尔切莱蒂
Venagrande (42.89079, 13.54257) 维纳格兰德
Cappelluccia (40.74882, 15.79888) 卡佩卢恰
Benne (45.28961, 7.55168) 本内
Casaburi (40.04013, 15.30226) 卡萨布里
Sacro Cuore (45.75022, 11.79583) 圣心
Torre Maina (44.49897, 10.87337) 托雷迈纳
Rocchetta Nuova (41.62375, 14.08574) 新罗凯塔
Ponte Nuovo (43.00448, 12.42829) 新桥
Corvinia (40.62407, 14.90885) 科尔维尼亚
Rubbianello (43.06023, 13.71405) 鲁比亚内洛
Abbadia (43.48821, 13.53644) 阿巴迪亚
Isorelle (44.56709, 8.96173) 伊索雷莱
Masero (44.22723, 9.97011) 马塞罗
Pertina (39.51646, 16.44122) 佩尔蒂纳
San GiacomoMarinella (39.57362, 16.82186) 圣贾科莫马里内拉
Ponteterra (44.9952, 10.46464) 蓬特拉
Pianetti (39.43029, 16.19307) 皮亚内蒂
Ponte d'Assi (43.31027, 12.57646) 阿西桥
Grossa (45.55869, 11.70512) 格罗萨
Tempa la Mandra (40.29345, 15.66738) 坦帕拉曼德拉
GiardinoBotto (45.65446, 8.16055) 博托花园
Lova (45.32802, 12.12679) 洛瓦
Filecchio (44.05106, 10.49474) 菲莱基奥
Cassina Fra Martino (45.71765, 9.43286) 卡西纳弗拉马蒂诺
Labso (40.84292, 14.76739) 拉布索
Magazzeno (40.6113, 14.85666) 马加泽诺
Contessa (39.43998, 16.21569) 孔泰萨
Magola (38.97692, 16.32999) 马戈拉
Turago Bordone (45.29303, 9.16818) 图拉戈博尔多内
Mussolini (45.50999, 11.97627) 穆索里尼
Vallalta (44.94316, 11.00709) 瓦拉尔塔
Laise (39.62876, 15.8703) 莱塞
Lassolaz (45.73851, 7.58883) 拉索拉兹
Montesano Scalo (40.28138, 15.65834) 蒙特萨诺斯卡洛
Poscante (45.78417, 9.68823) 波斯坎特
Maragnole (45.68661, 11.60433) 马拉尼奥莱
Gazzadina (46.12915, 11.12842) 加扎迪纳
Alano (40.3056, 14.97152) 阿拉诺
Piano d'Accio (42.68376, 13.75774) 阿奇奥平原
Colelli (38.21164, 15.72186) 科莱利
Segabiello (45.54299, 10.04587) 塞加比耶洛
Maccaretolo (44.71826, 11.43012) 马卡雷托洛
Patierno (40.65789, 14.45159) 帕蒂耶诺
Serra Miceli (39.30552, 16.20131) 塞拉米切利
Seghe (45.79915, 11.37236) 塞盖
Caviola (46.36433, 11.89644) 卡维奥拉
Varano (43.56974, 13.5462) 瓦拉诺
Germaneto (38.88496, 16.57673) 热尔马内托
Rivadolmo (45.24901, 11.64438) 里瓦多尔莫
Parco Principi (40.98043, 16.90799) 王子公园
Trafinello I (39.0538, 17.10548) 特拉菲内洛一世
Tuninetti (44.85556, 7.77384) 图尼内蒂
LandiPedica (41.64091, 12.71555) 兰迪佩迪卡
Tombazosana (45.31477, 11.25667) 托姆巴佐萨纳
Pezzalunga (40.9795, 14.43598) 佩扎隆加
Gornate Superiore (45.75388, 8.8606) 戈尔纳特苏佩里奥雷
Mandrio (44.79259, 10.80666) 曼德里奥
Corigliano (40.91302, 14.15386) 科里利亚诺
Coop. Cento (39.13844, 8.99487) 合作社. 森托
Cogollo (45.54585, 11.15649) 科戈洛
Cirignano (41.08048, 14.6374) 奇里尼亚诺
Villa Oliveti (42.33816, 14.06676) 奥利维蒂别墅
Berriat (45.70729, 7.67617) 贝里亚特
Feglino (44.21849, 8.32436) 费利诺
Roata Chiusani (44.46156, 7.59267) 罗阿塔丘萨尼
Comparati (43.15959, 12.32468) 康帕拉蒂
Prato del Mare (42.04831, 11.82975) 海草地
Capo Mazzo (40.92435, 14.35068) 卡波马佐
Sant'Anna I (40.73285, 14.7116) 圣安娜一世
Barcuzzi (45.48663, 10.495) 巴尔库齐
Carbonara (45.3654, 11.63639) 卡尔博纳拉
Cervara (44.86448, 10.3059) 切尔瓦拉
Savazza (44.30158, 11.39823) 萨瓦扎
Capitano (39.35728, 16.27053) 卡皮塔诺
