Revislate (45.69324, 8.55321) 瑞维斯拉特
Vagli (43.26016, 13.63504) 瓦利
Ferruti (42.25926, 12.68847) 费鲁蒂
SabbioniZampine (44.95222, 11.52183) 萨比奥尼赞皮内
Montechiaro (40.65408, 14.40995) 蒙特基亚罗
Is Urigus (39.13497, 8.49455) 伊斯乌里古斯
CavalleriFumeri (44.83234, 7.74325) 卡瓦莱里富梅里
Malanghero (45.20061, 7.6621) 马兰盖罗
Tre Croci (42.35835, 14.08652) 特雷克罗奇
Parco Mazzola (40.93587, 14.0463) 马佐拉公园
Molinelle (40.90293, 14.76218) 莫利内莱
Chimento (39.56005, 16.46039) 基门托
Santo (45.67409, 11.48711) 桑托
Villaggio Busonera (45.14652, 12.09638) 布索内拉村
Capanni (44.15745, 12.42976) 卡帕尼
Le Selve (40.77438, 14.78083) 勒塞尔韦
Baccaiano (43.66517, 11.08277) 巴卡亚诺
Casateia (46.88268, 11.4071) 卡萨泰亚
Solicchiata (37.86419, 15.06487) 索利基亚塔
Marne (40.07118, -82.30932) 马尔内
Bivio Mortola (41.39557, 13.89663) 比维奥莫尔托拉
Santa Colomba II (41.10948, 14.78012) 圣科隆巴二世
Canezza (46.078, 11.27709) 卡内扎
Corbiglia (45.04885, 7.49346) 科尔比利亚
Porossan (45.75568, 7.32711) 波罗桑
Sabina (39.48867, -83.63687) 萨比纳
Torbiato (45.61187, 9.98352) 托尔比亚托
Casottole (45.22805, 9.06785) 卡索托莱
Mure (36.75124, 138.24018) 穆雷
Tardiano (40.2539, 15.74768) 塔尔迪亚诺
Panicaglia (43.98508, 11.4079) 帕尼卡利亚
Canale Nuovo (42.68748, 12.13218) 卡纳莱努沃
Festinese (40.8939, 14.0836) 费斯蒂内塞
Cavagnano (45.90539, 8.871) 卡瓦尼亚诺
Ca' Sabbioni (45.45658, 12.1838) 卡萨比奥尼
Testaccio (42.49747, 12.52215) 特斯塔乔
Mattine (40.38581, 15.02489) 马蒂内
Betlemme (40.67269, 17.94118) 伯利恒
La Lucca (41.62298, 13.50762) 拉卢卡
Pizzolano (40.78254, 14.78188) 皮佐拉诺
Acquaficara (38.12907, 15.20711) 阿夸菲卡拉
Bettole (45.49024, 10.27036) 贝托莱
Ridotti (41.78741, 13.60643) 里多蒂
Ponte EteCaldarette (43.13896, 13.71733) 埃特卡尔达雷特桥
Bottaiano (45.41581, 9.74172) 博塔亚诺
Chizzola (45.81187, 11.00735) 基佐拉
Partina (43.7491, 11.82161) 帕尔蒂纳
CaviCasalone (43.47955, 11.70869) 卡维卡萨隆
Scalo Teverina (42.37548, 12.4431) 斯卡洛特韦里纳
Villa Motta (44.82543, 10.99744) 莫塔别墅
Gaiazza (44.50497, 8.87187) 盖亚扎
Patuzza (45.51283, 10.37869) 帕图扎
Cancello (38.94093, 16.43003) 坎切洛
Il Rigo (43.10399, 12.2997) 里戈
Nuraxi Figus (39.22271, 8.43313) 努拉克西菲古斯
S.Maria Fiumicello (40.03216, 15.84241) 圣玛丽亚菲乌米切洛
Lerca (44.40416, 8.6499) 勒尔卡
Via S. Giovanni (41.21337, 14.51131) 圣乔瓦尼街
Foiana (46.59227, 11.14725) 福亚纳
Ghiardo (44.66647, 10.5052) 吉亚尔多
Masella (37.96584, 15.75413) 马塞拉
Capalbio Scalo (42.40997, 11.37223) 卡帕尔比奥斯卡洛
Sedena (45.48651, 10.47285) 塞德纳
Campobernardo (45.69013, 12.53849) 坎波贝尔纳多
Dogana (43.6158, 10.95078) 多加纳
Piussogno (46.15183, 9.50687) 皮乌索尼奥
OlzaFogarole (45.10649, 9.9625) 奥尔扎福加罗莱
Ca' Fusino (43.90323, 12.2905) 卡富西诺
Ca' Corner (45.55899, 12.43434) 卡科尔内
La Vittoria (41.67248, 13.42559) 拉维多利亚
Scalera (40.85927, 15.71921) 斯卡莱拉
Valzemola (44.36393, 8.17376) 瓦尔泽莫拉
Prato Comune (40.27717, 15.6871) 普拉托科穆内
Bueriis (46.21253, 13.17911) 布埃里斯
Ponte Barizzo (40.4932, 15.01756) 巴里佐桥
Fossarmato (45.19383, 9.21996) 福萨尔马托
Caprona (43.70852, 10.50462) 卡普罗纳
Vasi (38.33741, 16.44794) 瓦西
Cesine (41.08471, 14.86247) 切西内
Variney Chez Roncoz (45.76882, 7.31051) 瓦里内伊切兹隆科兹
Mulazzano Ponte (44.60235, 10.26861) 穆拉扎诺桥
EvangelistiRubino (37.98412, 15.17324) 埃万杰利斯蒂鲁比诺
Lases (46.1456, 11.21932) 拉塞斯
Borgo Flora (41.54952, 12.83043) 弗洛拉村
Murta Maria (40.89034, 9.58783) 穆尔塔玛丽亚
Madonna (45.15226, 9.12499) 玛当娜
Pressano (46.15231, 11.10601) 普雷萨诺
Rivalta (45.65714, 10.89336) 里瓦尔塔
Lovoleto (44.58671, 11.42677) 洛沃莱托
Resina I (43.20258, 12.42619) 雷西纳一世
Fontana Vaglio (40.41571, 15.48893) 丰塔纳瓦廖
Gazzane (45.65758, 10.37942) 加扎内
Eia (44.83446, 10.26576) 埃亚
Fengo (45.18362, 9.88712) 费戈
Pianezze del Lago (45.47963, 11.56193) 皮亚内泽德尔拉戈
FrattaSanta Caterina (43.27558, 11.92544) 弗拉塔圣卡特琳娜
Vallegianno (39.19922, 16.30519) 瓦莱贾诺
Villa Grande (42.32862, 14.36377) 大别墅
Favaco (38.36094, 16.48502) 法瓦科
La Grande (45.32458, -118.08772) 拉格兰德
