Soumagne (50.61385, 5.74679) 苏马涅
SougneRemouchamps (50.48242, 5.70757) 苏涅雷穆尚
Sorinnes (50.25921, 4.98128) 索林
Soree (50.39917, 5.12398) 索雷
Somzee (50.29514, 4.48209) 索姆泽
Sommiere (50.27538, 4.84926) 索米耶尔
SommeLeuze (50.33699, 5.36705) 索姆勒兹
Sombreffe (50.52865, 4.60087) 索姆布雷夫
Solresur-Sambre (50.30809, 4.15429) 索尔勒叙尔桑布尔
SolreSaint-Gery (50.2164, 4.24828) 索尔勒圣热里
Soiron (50.59128, 5.79089) 索龙
Soignies (50.57904, 4.07129) 索尼
SoheitTinlot (50.48378, 5.38862) 索海特廷洛
Snellegem (51.16776, 3.11921) 斯内勒亨
Snaaskerke (51.17737, 2.93901) 斯纳斯克尔克
Smetlede (50.9662, 3.92796) 斯梅特莱德
SmeerebbeVloerzegem (50.81703, 3.92768) 斯梅雷贝弗洛泽亨
Sluizen (50.76524, 5.53136) 斯吕岑
Slins (50.72795, 5.56263) 斯林斯
Slijpe (51.1551, 2.8483) 斯莱佩
Sleidinge (51.13363, 3.67405) 斯莱丁厄
Sivry (50.1664, 4.18416) 锡夫里
Sirault (50.50546, 3.78908) 锡罗
SintUlriks-Kapelle (50.87899, 4.21884) 圣乌尔里克斯卡佩勒
SintTruiden (50.81679, 5.18647) 圣特鲁伊登
SintStevens-Woluwe (50.86838, 4.45195) 圣史蒂文斯沃卢韦
SintPieters-Rode (50.93247, 4.82245) 圣彼得斯罗德
SintPieters-Leeuw (50.77926, 4.24355) 圣彼得斯莱乌
SintPieters-Kapelle (50.70758, 3.98999) 圣彼得斯卡佩勒
SintPauwels (51.19391, 4.09649) 圣保尔斯
SintNiklaas (51.16509, 4.1437) 圣尼克拉斯
SintMichiels (51.18806, 3.21142) 圣米歇尔斯
SintMartens-Voeren (50.74846, 5.81288) 圣马尔滕斯福伦
SintMartens-Lierde (50.80371, 3.82541) 圣马尔滕斯利尔德
SintMartens-Lennik (50.81158, 4.16965) 圣马尔滕斯伦尼克
SintMartens-Leerne (51.01605, 3.5813) 圣马尔滕斯莱尔讷
SintMartens-Latem (51.01459, 3.63779) 圣马尔滕斯拉滕
SintMartens-Bodegem (50.86185, 4.21317) 圣马尔滕斯博德亨
SintMartens (50.83889, 4.92436) 圣马尔滕斯
SintMaria-Oudenhove (50.83364, 3.79556) 圣玛丽亚奥登霍夫
SintMaria-Lierde (50.81867, 3.84436) 圣玛丽亚利尔德
