Muang Khong (14.11785, 105.85469) 穆昂孔
Thakhek (17.41027, 104.83068) 他曲
Muang Kenthao (17.73289, 101.39815) 穆昂肯陶
Muang Kasi (19.22926, 102.25319) 穆昂卡西
Muang Hinboun (17.591, 104.60388) 穆昂欣本
Luang Prabang (19.8933, 102.1525) 琅勃拉邦
Luang Namtha (20.9486, 101.40188) 琅南塔
Muang Khamkeut (18.22572, 104.73119) 穆昂坎科特
Ban Donghen (16.70297, 105.28211) 班东亨
Champasak (14.89204, 105.87787) 占巴塞
Borikhan (18.56286, 103.72671) 博里坎
Lamam (15.41705, 106.69461) 拉马姆
Ban Nahin (18.24253, 104.21281) 班纳欣
Ban Houayxay (20.27, 100.4178) 班会晒
Ban Hatgnao (14.6803, 106.58212) 班哈特瑙
Ban Fangdeng (14.8132, 106.93434) 班方登
Attapeu (14.81071, 106.83184) 阿速坡
Ban Houakhoua (20.2467, 100.45401) 班华库阿
Ban Namnga (21.17193, 102.72562) 班南昂
Viangxai (20.40677, 104.22379) 万赛
Muang Nale (20.53212, 101.44678) 穆昂纳勒
Dak Cheung (15.46667, 107.26667) 达克章
Sanaxy (15.02207, 107.26016) 萨纳西
Huameung (20.14895, 103.85895) 华蒙
Viengxay (20.34222, 104.34464) 万象赛
Xamtay (19.94515, 104.51722) 桑泰
Viengthong (20.32792, 103.40856) 万通
Xaysetha (14.81444, 106.93444) 塞色塔
Zgharta (34.39739, 35.89493) 扎赫尔塔
Zahle (33.84675, 35.90203) 扎赫勒
Tyre (33.27333, 35.19389) 泰尔
Sir ed Danniye (34.38528, 36.03111) 西尔丹尼耶
Sidon (33.55751, 35.37148) 西顿
Ra's Bayrut (33.9, 35.48333) 贝鲁特角
Qana (33.20889, 35.29944) 卡纳
Marjayoun (33.36028, 35.59111) 马尔贾尤恩
Jounieh (33.98083, 35.61778) 朱尼耶
Joubb Jannine (33.62694, 35.78417) 朱布贾宁
Byblos (34.12111, 35.64806) 比布鲁斯
Jezzine (33.54167, 35.58444) 杰津
Hasbaya (33.39778, 35.685) 哈斯拜亚
Hrajel (34.01722, 35.79244) 赫拉杰尔
Halba (34.54278, 36.07972) 哈尔巴
Habbouch (33.40729, 35.48169) 哈布什
Fadous (34.22833, 35.65584) 法杜斯
Bsharri (34.25083, 36.01056) 巴沙里
Bent Jbail (33.11944, 35.43333) 本特杰拜勒
Bhamdoun el Mhatta (33.80861, 35.65972) 巴姆敦车站
Bhamdoun (33.795, 35.65111) 巴姆敦
Beit ed Dine (33.69417, 35.58083) 贝特丁
Beirut (33.89332, 35.50157) 贝鲁特
Baalbek (34.00583, 36.21806) 巴勒贝克
Baabda (33.83389, 35.54417) 巴卜达
Aaitanit (33.56139, 35.67028) 阿伊塔尼特
Ain Ebel (33.11023, 35.40251) 艾因埃贝尔
Sarafand (33.44948, 35.29948) 萨拉凡德
En Naqoura (33.11806, 35.13972) 纳库拉
Nabatiye et Tahta (33.37889, 35.48389) 纳巴蒂耶塔赫塔
Aanjar (33.72778, 35.93111) 安贾尔
Amioun (34.3, 35.80889) 阿米翁
Aalma ech Chaab (33.10417, 35.18194) 阿尔玛沙阿卜
Jdaidet el Matn (33.89056, 35.56639) 马特恩新城
El Hermel (34.39417, 36.38472) 赫尔梅尔
Ghazieh (33.5175, 35.36889) 加济耶
Batroun (34.25528, 35.65806) 巴特龙
Aajaltoun (33.96528, 35.68278) 阿贾尔通
Rachaiya el Ouadi (33.50089, 35.8437) 拉沙亚瓦迪
Tebnine (33.19399, 35.40967) 特布宁
Vieux Fort (13.71667, -60.95) 旧堡
Praslin (13.87545, -60.89717) 普拉斯林
Morne Doudon (14.00988, -60.97241) 莫恩杜东
Mon Repos (10.27979, -61.4459) 蒙雷波
Monchy (14.05319, -60.92987) 蒙奇
Micoud (13.81667, -60.9) 米库德
La Resource (13.74461, -60.95769) 拉鲁索斯
La Pointe (13.846, -60.90236) 拉波因特
Laborie (13.75, -60.98333) 拉博里
L'Abbayee (13.92715, -60.97193) 拉巴耶
Gros Islet (14.06667, -60.95) 大岛
Forestiere (13.95947, -60.96253) 福雷斯蒂耶尔
Dennery (13.91409, -60.89132) 丹尼里
Corinthe (14.04531, -60.9607) 科林斯
Ciceron (13.99009, -61.00806) 西塞隆
Choiseul (13.77273, -61.04931) 乔伊瑟尔
Cap Estate (14.09956, -60.94346) 卡普庄园
Cantonement (13.75263, -60.97529) 坎托内门特
Canaries (13.90224, -61.06459) 加纳里
Cabiche (14.00402, -60.94778) 卡比什
Bisee (14.02429, -60.97445) 比西
Bexon (13.95256, -60.97782) 贝克松
Balata (14.01397, -60.95598) 巴拉塔
Augier (13.76324, -60.97893) 奥吉尔
Anse La Raye (13.94619, -61.03879) 安斯拉雷
Anse Ger (13.79775, -60.9164) 安斯格尔
Bocage (13.98892, -60.97202) 博卡日
Grande Riviere (14.03252, -60.95331) 大河
La Clery (14.01683, -60.97897) 拉克莱里
Entrepot (14.00251, -60.97616) 恩特雷波
Bagatelle (14.00078, -60.98107) 巴加泰勒
Pavee (14.00437, -60.99139) 帕维
