Getahovit (40.89523, 45.1355) 格塔霍维特
Sverdlov (41.09653, 44.39839) 斯维尔德洛夫
Stepanavan (41.00995, 44.38531) 斯捷潘纳万
Spitak (40.83221, 44.26731) 斯皮塔克
Spandaryan (40.66105, 44.01551) 斯潘达良
Nubarashen (40.09075, 44.5519) 努巴拉申
Alashkert (40.10712, 44.05108) 阿拉什克特
Solak (40.46252, 44.70709) 索拉克
Sis (40.05829, 44.38892) 锡斯
Shoghakat (40.5015, 45.27368) 肖加卡特
Shnogh (41.14693, 44.84043) 什诺
Shirakavan (40.65216, 43.74541) 希拉卡万
Shirak (40.84042, 43.91582) 希拉克
Shgharshik (40.4057, 43.96668) 什加尔希克
Shenavan (40.48328, 44.38348) 申纳万
Shamlugh (41.16794, 44.72193) 沙姆卢格
Shamiram (40.27508, 44.1001) 沙米拉姆
Sevkar (41.01599, 45.14185) 塞夫卡尔
Sevan (40.5473, 44.94171) 塞凡
Sarukhan (40.29169, 45.13068) 萨鲁汉
Sarnaghbyur (40.52368, 43.91248) 萨尔纳赫比尔
Sarigyugh (41.03531, 45.14486) 萨里久赫
Sarchapet (41.196, 44.38432) 萨尔查佩特
Saratak (40.6709, 43.87231) 萨拉塔克
Saramej (40.77487, 44.2222) 萨拉梅杰
Saralanj (40.62116, 44.02041) 萨拉兰杰
Nor Khachakap (40.83822, 44.3567) 诺尔哈查卡普
Sarakap (40.55349, 43.73189) 萨拉卡普
Sarahart (40.87043, 44.21407) 萨拉哈特
Geghakert (40.18516, 44.24331) 格加克特
Rya Taza (40.65712, 44.30107) 里亚塔扎
Geghashen (40.22754, 44.72464) 格加申
Ranchpar (40.02789, 44.36951) 兰奇帕尔
Ptghni (40.25681, 44.58195) 普特赫尼
Ptghunk (40.16388, 44.36389) 普特洪克
Pshatavan (40.03888, 44.06671) 普沙塔万
Proshyan (40.24731, 44.41949) 普罗什扬
Privolnoye (41.14633, 44.44571) 普里沃尔诺耶
Pokr Masrik (40.25748, 45.72168) 波克尔马斯里克
Pokr Mantash (40.64026, 44.04666) 波克尔曼塔什
Zoravan (40.35553, 44.52228) 佐拉万
Ptghavan (41.22966, 44.8535) 普特哈万
Pemzashen (40.58612, 43.94311) 佩姆扎申
Parpi (40.32231, 44.31141) 帕尔皮
Paravakar (40.98248, 45.36696) 帕拉瓦卡尔
Parakar (40.16388, 44.4057) 帕拉卡尔
Panik (40.66388, 43.97089) 帕尼克
Hovuni (40.87081, 43.79792) 霍武尼
Hovit (40.76943, 43.99536) 霍维特
Oshakan (40.26392, 44.31671) 奥沙坎
Orgov (40.34729, 44.25568) 奥尔戈夫
Hobardzi (40.96027, 44.49471) 霍巴尔齐
Sardarapat (40.13206, 44.00969) 萨尔达拉帕特
Ohanavan (40.3485, 44.38717) 奥哈纳万
Odzun (41.05321, 44.61341) 奥兹恩
Nurnus (40.34577, 44.60277) 努尔努斯
Noyemberyan (41.17244, 44.99917) 诺延贝里安
Nor Kharberd (40.09168, 44.48053) 诺尔哈尔贝德
Nor Gyugh (40.26494, 44.65471) 诺尔久赫
Nor Geghi (40.31668, 44.57785) 诺尔格赫
Norashen (40.0013, 44.59296) 诺拉申
Nor Artik (40.46668, 43.70831) 诺尔阿尔蒂克
Nor Armavir (40.08612, 43.99451) 诺尔阿尔马维尔
Noramarg (40.02228, 44.42511) 诺拉马尔格
Norakert (40.19733, 44.3501) 诺拉克特
Noratus (40.37793, 45.18048) 诺拉图斯
Nor Hachn (40.30205, 44.58362) 诺尔哈奇恩
Nigavan (40.6163, 44.30118) 尼加万
Dashtadem (40.34168, 43.85828) 达什塔德姆
Nerkin Sasnashen (40.35553, 43.9917) 内尔金萨斯纳申
Nerkin Karmiraghbyur (40.94276, 45.43794) 内尔金卡尔米拉赫比尔
Nerkin Getashen (40.14172, 45.27087) 内尔金格塔申
Nerkin Bazmaberd (40.33893, 44.01392) 内尔金巴兹马贝尔德
Artsvanist (40.14857, 45.50874) 阿尔茨瓦尼斯特
Aknaghbyur (40.96393, 45.15832) 阿克纳赫比尔
Navur (40.86695, 45.34179) 纳武尔
Nalbandyan (40.0639, 43.98889) 纳尔班迪安
Shirakamut (40.85287, 44.16366) 希拉卡穆特
Nahapetavan (40.6075, 44.01621) 纳哈佩塔万
Basen (40.75767, 43.99274) 巴森
Kayk (40.58137, 44.37608) 凯克
Mughni (40.31198, 44.36671) 穆赫尼
Hovtamej (40.18249, 44.25383) 霍夫塔梅杰
Mrgastan (40.20007, 44.27789) 姆尔加斯坦
Mrgashen (40.28607, 44.54449) 姆尔加申
Mrgashat (40.13068, 44.08069) 姆尔加沙特
Mrganush (40.02642, 44.55953) 姆尔加努什
Yeghipatrush (40.53418, 44.47307) 叶吉帕特鲁什
Movses (40.90534, 45.48838) 莫夫塞斯
Mkhchyan (40.02228, 44.4917) 姆赫奇扬
Mikhayelovka (41.164, 44.2783) 米哈伊洛夫卡
Mets Sepasar (41.04773, 43.82739) 梅茨塞帕萨尔
Mets Parni (40.83472, 44.11108) 梅茨帕尔尼
Mets Masrik (40.21948, 45.76391) 梅茨马斯里克
Mets Mantash (40.64376, 44.05653) 梅茨曼塔什
Mets Ayrum (41.16656, 44.82533) 梅茨艾鲁姆
Metsavan (41.20156, 44.22877) 梅茨阿万
Metsamor (40.14447, 44.1167) 梅茨阿莫尔
Merdzavan (40.1814, 44.40033) 梅尔扎万
Melikgyugh (40.66545, 44.35358) 梅利克久赫
