Roclengesur-Geer (50.75688, 5.59444) 罗克朗日叙尔-盖尔
Rocherath (50.43706, 6.30049) 罗赫拉特
Rochefort (45.94304, -0.96774) 罗什福尔
Roborst (50.86655, 3.75302) 罗博尔斯特
Robertville (50.45406, 6.12205) 罗伯特维尔
Rixensart (50.71229, 4.52529) 里克桑萨尔
Riviere (50.23316, 2.692) 里维耶尔
Rillaar (50.97376, 4.89177) 里拉尔
Riksingen (50.80433, 5.46263) 里克辛根
Rijmenam (51.0016, 4.58405) 赖梅南
Rijkhoven (50.83294, 5.51497) 赖克霍芬
Rijkevorsel (51.34795, 4.76053) 赖克福瑟尔
Rijkel (50.80935, 5.26136) 赖克尔
Rienne (49.99277, 4.8847) 里恩
Riemst (50.80995, 5.60131) 里姆斯特
Richelle (50.71396, 5.69564) 里谢勒
Rhisnes (50.50682, 4.80592) 里内斯
Reves (50.53809, 4.41075) 雷夫
Retinne (50.63084, 5.69821) 雷廷
Retie (51.26652, 5.08242) 雷蒂
Resteigne (50.08304, 5.17692) 雷斯泰涅
Ressegem (50.89115, 3.91129) 雷瑟亨
Ressaix (50.42285, 4.19442) 雷赛
Reppel (51.15405, 5.5624) 雷佩尔
Renlies (50.1908, 4.26682) 伦利
Reningelst (50.81514, 2.77066) 雷宁赫尔斯特
Reninge (50.94781, 2.78892) 雷宁赫
Rendeux (50.23423, 5.50414) 朗德
Remicourt (50.68069, 5.32785) 雷米库尔
Relegem (50.89908, 4.27694) 雷勒亨
Rekkem (50.7837, 3.16346) 雷克姆
Rekem (50.92244, 5.6938) 雷克姆
Reet (51.10201, 4.41264) 雷特
Recogne (49.91232, 5.3537) 雷科涅
Recht (50.33801, 6.04883) 雷赫特
RebecqRognon (50.65147, 4.10683) 雷贝克罗尼翁
Rebaix (50.65996, 3.78307) 雷贝
Ravels (51.37274, 4.9921) 拉弗尔斯
Ranst (51.18983, 4.56533) 兰斯特
Ransberg (50.87493, 5.03955) 兰斯贝赫
Ransart (50.46166, 4.47616) 兰萨尔
Rance (50.14248, 4.27917) 朗斯
Ramskapelle (51.31511, 3.25057) 拉姆斯卡佩勒
Ramsel (51.0324, 4.83242) 拉姆塞尔
Ramsdonk (51.015, 4.33522) 拉姆斯东克
Ramillies (50.63395, 4.90119) 拉米利
RamegniesChin (50.65161, 3.33704) 拉梅尼耶-尚
Raeren (50.6672, 6.11535) 拉伦
Racour (50.73924, 5.02806) 拉库尔
Rachecourt (49.59195, 5.72528) 拉什库尔
Quievrain (50.40737, 3.68351) 基耶夫兰
Quevyle-Petit (50.36879, 3.93602) 小凯维尔
Quevyle-Grand (50.36074, 3.9489) 大凯维尔
Quevaucamps (50.51888, 3.68128) 凯沃坎
Queuedu-Bois (50.63759, 5.67993) 凯德博瓦
Quenast (50.66959, 4.15661) 克纳斯特
Quartes (50.65054, 3.51153) 卡尔特
Quaregnon (50.44067, 3.8653) 卡雷尼翁
Puurs (51.07409, 4.28844) 普尔斯
Putte (51.05337, 4.63263) 普特
Purnode (50.31201, 4.94411) 普尔诺德
Pulle (51.20317, 4.71434) 普勒
Pulderbos (51.2171, 4.69357) 普尔德博斯
Pry (50.27212, 4.43908) 普里
Proven (50.88976, 2.65721) 普罗文
Profondeville (50.37581, 4.86506) 普罗丰德维尔
Presles (50.38417, 4.57838) 普雷莱斯
Presgaux (50.02522, 4.42002) 普雷戈
Prayon (50.57795, 5.6753) 普雷永
Pousset (50.69504, 5.30399) 普塞
Poulseur (50.50907, 5.57864) 普尔瑟
Pottes (50.73294, 3.40703) 波特斯
Poppel (51.44565, 5.0433) 波佩尔
Poperinge (50.85386, 2.72659) 波佩林赫
Pontillas (50.54916, 5.02101) 蓬蒂拉斯
Pontde-Loup (50.41656, 4.54594) 蓬德卢
Ponta-Celles (50.50518, 4.36887) 蓬塔塞勒
Pondrome (50.09922, 5.00959) 蓬德罗姆
Pommeroeul (50.46188, 3.71252) 蓬梅勒
Pollinkhove (50.97118, 2.7326) 波林霍夫
Polleur (50.5394, 5.88078) 波勒尔
Pollare (50.81713, 4.006) 波拉尔
Poelkapelle (50.9179, 2.95677) 波尔卡佩勒
Poeke (51.0394, 3.44542) 波克
Poederlee (51.22769, 4.84034) 波德尔莱
Plombieres (50.73656, 5.95922) 普隆比耶尔
Ploegsteert (50.72659, 2.88019) 普卢赫斯特尔特
Plancenoit (50.66228, 4.42835) 普朗瑟努瓦
Plainevaux (50.54562, 5.52329) 普莱讷沃
Pittem (50.99279, 3.26317) 皮特姆
Pironchamps (50.43181, 4.52019) 皮龙尚
Piringen (50.78666, 5.41822) 皮林根
Pipaix (50.58297, 3.57956) 皮派
Pietrebais (50.72776, 4.76455) 皮特雷贝
Pietrain (50.72532, 4.92033) 皮特兰
Pieton (50.43972, 4.29752) 皮东
Philippeville (50.19612, 4.54374) 菲利普维尔
Peutie (50.92998, 4.45187) 佩蒂
PetitThier (50.30709, 5.96782) 小蒂耶尔
PetitRechain (50.61489, 5.83417) 小雷尚
