Oraovica (41.62583, 22.51333) 奥拉奥维察
Oktisi (41.2325, 20.60722) 奥克蒂西
Ohrid (41.11722, 20.80194) 奥赫里德
Ognjaci (41.92167, 21.58306) 奥格尼亚奇
Obrsani (41.28168, 21.3615) 奥布尔萨尼
Oblesevo (41.88333, 22.33389) 奥布莱塞沃
Novaci (44.30109, 25.98632) 诺瓦齐
Nospal (41.18319, 21.45129) 诺斯帕尔
Nizepole (41.01057, 21.24548) 尼泽波勒
Nikishtane (42.06722, 21.335) 尼基什塔内
Neraste (42.10711, 21.1081) 内拉斯特
Negotino (41.48456, 22.09056) 内戈蒂诺
Nakolec (40.89333, 21.10722) 纳科莱茨
Murtino (41.41537, 22.72589) 穆尔蒂诺
Demir Hisar (41.22097, 21.20302) 德米尔希萨尔
Mralino (41.95694, 21.60194) 姆拉利诺
Morani (41.90978, 21.54997) 莫拉尼
Mogila (41.10833, 21.37861) 莫吉拉
Mislesevo (41.185, 20.70861) 米斯莱塞沃
Miravci (41.30925, 22.43641) 米拉夫齐
Miletino (41.90753, 21.01601) 米莱蒂诺
Miladinovci (41.98029, 21.64982) 米拉迪诺夫齐
Meseista (41.23814, 20.77414) 梅塞伊斯塔
Merovo (41.93753, 21.17459) 梅罗沃
Melnica (41.64167, 21.59) 梅尔尼察
Mavrovi Anovi (41.70224, 20.75723) 马夫罗维阿诺维
Matejce (42.12556, 21.59778) 马泰伊采
Malo Konjari (41.33638, 21.46387) 马洛科尼亚里
Lukovo (41.35339, 20.60637) 卢科沃
Loznani (41.20778, 21.40389) 洛兹纳尼
Lopatica (41.15973, 21.25449) 洛帕蒂察
Lojane (42.23276, 21.6655) 洛亚内
Logovardi (41.03096, 21.40967) 洛戈瓦尔迪
Ljubojno (40.89417, 21.14083) 柳博伊诺
Ljubin (42.00139, 21.30917) 柳宾
Lisolaj (41.14832, 21.30251) 利索拉伊
Lisicani (41.46139, 21.05444) 利西察尼
Lipkovo (42.15639, 21.58528) 利普科沃
Lazani (41.44222, 21.31583) 拉扎尼
Lavci (41.01472, 21.3025) 拉夫齐
Laskarci (41.97502, 21.2109) 拉斯卡尔齐
Larce (41.93319, 21.12628) 拉尔采
Labunista (41.26861, 20.59611) 拉布尼斯塔
Kumanovo (42.13222, 21.71444) 库马诺沃
Kukurecani (41.09562, 21.32454) 库库雷察尼
Kuklis (41.40528, 22.66528) 库克利斯
Kuchkovo (42.05694, 21.305) 库奇科沃
Krusopek (41.99651, 21.34355) 克鲁索佩克
Kruseani (41.31186, 21.3487) 克鲁舍阿尼
Krklino (41.07357, 21.32959) 克尔克利诺
Krivogashtani (41.33611, 21.33306) 克里沃加什塔尼
Kriva Palanka (42.20088, 22.33244) 克里瓦帕兰卡
Kratovo (42.07838, 22.1807) 克拉托沃
Krani (40.93934, 21.10911) 克拉尼
Korito (41.80583, 21.02667) 科里托
Kopacin Dol (41.959, 21.13867) 科帕钦多尔
Kondovo (42.01151, 21.31427) 孔多沃
Konce (41.49511, 22.38359) 孔采
Kochani (41.91639, 22.41278) 科恰尼
Klecevce (42.11636, 21.85436) 克莱切夫采
Kicevo (41.51267, 20.95886) 基切沃
Kavadarci (41.43306, 22.01194) 卡瓦达尔齐
Katlanovo (41.89214, 21.68087) 卡特拉诺沃
Karbinci (41.81758, 22.23529) 卡尔宾齐
Karatmanovo (41.76288, 21.86779) 卡拉特马诺沃
Karamani (41.06472, 21.39389) 卡拉马尼
Kanatlarci (41.21028, 21.50333) 卡纳塔尔齐
Kamenjane (41.94568, 20.92894) 卡梅尼亚内
Makedonska Kamenica (42.02079, 22.5876) 马其顿卡梅尼察
Jurumleri (41.96722, 21.55694) 尤鲁姆莱里
Jegunovce (42.07238, 21.12367) 耶古诺夫采
Jankovec (41.11028, 21.01139) 扬科韦茨
Izvor (42.20322, 21.57812) 伊兹沃尔
Ivankovci (41.84889, 21.82028) 伊万科夫齐
Ivanjevci (41.20639, 21.35889) 伊万耶夫齐
Ilovica (41.47224, 22.8048) 伊洛维察
Idrizovo (41.96083, 21.57556) 伊德里佐沃
Gurgurnica (41.84508, 21.10538) 古尔古尔尼察
Grupcin (41.96749, 21.13053) 格鲁普钦
Grncari (41.01722, 21.05333) 格尔纳里
Grcec (41.98806, 21.33028) 格尔切茨
Gradsko (41.5775, 21.94278) 格拉茨科
Gradesnica (41.08399, 21.7628) 格拉德斯尼察
Gostivar (41.79601, 20.90819) 戈斯蒂瓦尔
Gorobinci (41.87507, 21.87599) 戈罗宾齐
Gorno Strogomiste (41.60611, 20.96556) 戈尔诺斯特罗戈米斯特
Gorno Orizari (41.05188, 21.34548) 戈尔诺奥里扎里
Gorno Kolicani (41.88023, 21.47228) 戈尔诺科利查尼
Gorno Jabolchishte (41.7225, 21.48583) 戈尔诺亚博尔奇什特
Gorna Bela Crkva (41.05028, 21.02806) 戈尔纳贝拉茨尔克瓦
Golemo Konjari (41.34306, 21.44028) 戈莱莫科尼亚里
Golema Recica (41.98803, 20.94517) 戈莱马雷奇察
Gevgelija (41.14166, 22.50141) 盖夫盖利亚
Erekovci (41.21345, 21.48277) 埃雷科夫齐
Edinakovci (41.26031, 21.24873) 埃迪纳科夫齐
Lozovo (41.78389, 21.90556) 洛佐沃
Dzepciste (42.03287, 20.99817) 杰普奇斯特
Drugovo (41.4849, 20.92636) 德鲁戈沃
Drenovo (41.41944, 21.89) 德雷诺沃
Drazevo (41.37356, 22.92063) 德拉热沃
