Dracevo (41.93667, 21.52167) - 德拉切沃
Dracevica (41.88217, 21.44213) - 德拉切维察
Dorfulija (41.76548, 21.8928) - 多尔富利亚
Gjorce Petro (42.00778, 21.35306) - 乔尔切·彼得罗
Dolno Sonje (41.94077, 21.37861) - 多尔诺·索涅
Dolno Palciste (41.96859, 20.92899) - 多尔诺·帕尔奇斯特
Dolno Orizari (41.05028, 21.37944) - 多尔诺·奥里扎里
Dolno Konjari (41.94288, 21.70917) - 多尔诺·科尼亚里
Dolno Kolicani (41.88639, 21.48556) - 多尔诺·科利查尼
Dolno Dupeni (40.87556, 21.11972) - 多尔诺·杜佩尼
Dolna Carlija (41.14132, 21.43847) - 多尔纳·查尔利亚
Dolneni (41.42579, 21.45402) - 多尔内尼
Dolna Lesnica (41.95667, 21.06028) - 多尔纳·莱斯尼察
Dolna Banjica (41.78611, 20.90611) - 多尔纳·班吉察
Dobrusevo (41.16861, 21.4825) - 多布鲁舍沃
Dobroste (42.10333, 21.07778) - 多布罗斯特
Dobromiri (41.06944, 21.45583) - 多布罗米里
Dobri Dol (41.8652, 20.89009) - 多布里·多尔
Dihovo (41.03028, 21.26389) - 迪霍沃
Desovo (41.46278, 21.49111) - 德索沃
Demir Kapija (41.40613, 22.24631) - 德米尔·卡皮亚
Delogozda (41.25728, 20.7218) - 德洛戈兹达
Delcevo (41.96722, 22.76944) - 德尔切沃
Debar (41.52444, 20.52421) - 德巴尔
Gavato (41.08224, 21.13654) - 加瓦托
Cvetovo (41.85773, 21.40985) - 茨韦托沃
Chucher Sandevo (42.10361, 21.38222) - 楚切尔·桑德沃
Crn Vrv (41.81194, 21.37778) - 茨恩·弗尔夫
Crnovec (41.15574, 21.22399) - 茨尔诺韦茨
Crnobuki (41.12356, 21.32229) - 茨尔诺布基
Crniliste (41.53025, 21.41416) - 茨尔尼利斯特
Cresevo (42.05083, 21.50972) - 切雷舍沃
Cesinovo (41.87148, 22.28961) - 切希诺沃
Celopek (41.93167, 21.01333) - 切洛佩克
Cegrane (41.83889, 20.97583) - 切格拉内
Caska (41.65056, 21.66222) - 查斯卡
Capari (41.05656, 21.17884) - 查帕里
Cajlane (41.96245, 21.25503) - 查伊拉内
Buzalkovo (41.73858, 21.67578) - 布扎尔科沃
Bulacani (42.07056, 21.50278) - 布拉查尼
Bukovik (41.97103, 21.23905) - 布科维克
Bucin (41.27377, 21.31692) - 布钦
Brvenica (41.96722, 20.98083) - 布尔韦尼察
Brusnik (41.02306, 21.28528) - 布鲁斯尼克
Makedonski Brod (41.51361, 21.21528) - 马其顿斯基·布罗德
Brajcino (40.90639, 21.15917) - 布拉伊奇诺
Bosilovo (41.44056, 22.72778) - 博西洛沃
Bojane (42.00009, 21.19265) - 博亚内
Bogovinje (41.92361, 20.91361) - 博戈维涅
Bogomila (41.59306, 21.47167) - 博戈米拉
Bogdanci (41.20306, 22.57556) - 博格丹齐
Bitola (41.03143, 21.33474) - 比托拉
Bistrica (40.97892, 21.3658) - 比斯特里察
Berovo (41.70306, 22.85778) - 贝罗沃
Beranci (41.15969, 21.35963) - 贝兰齐
Belcista (41.30278, 20.83028) - 贝尔奇斯塔
Bela Crkva (44.8975, 21.41722) - 贝拉·茨尔克瓦
Bedinje (42.14167, 21.69639) - 贝丁耶
Batinci (41.91909, 21.47978) - 巴廷奇
Basino Selo (41.7484, 21.75971) - 巴西诺·塞洛
Bac (40.93173, 21.55763) - 巴奇
Arvati (40.94443, 21.1152) - 阿尔瓦蒂
Arnakija (41.98616, 21.28682) - 阿尔纳基亚
Arangel (41.59547, 21.02348) - 阿兰杰尔
Arachinovo (42.02679, 21.56276) - 阿拉奇诺沃
Amzabegovo (41.81169, 21.99379) - 阿姆扎贝戈沃
Poroj (42.02913, 20.99266) - 波罗伊
Star Karaorman (41.78167, 22.20361) - 斯塔尔·卡拉奥尔曼
Falise (41.98103, 21.00647) - 法利塞
Strimnica (41.96719, 21.03598) - 斯特里姆尼察
Dobarce (41.9553, 21.08875) - 多巴尔采
Sveta Petka (41.94122, 21.33365) - 斯维塔·佩特卡
Saracino (41.98188, 21.04163) - 萨拉奇诺
Suto Orizare (42.04, 21.425) - 舒托·奥里扎雷
Butel (42.03083, 21.44667) - 布特尔
Cair (42.01528, 21.44111) - 恰伊尔
Ilinden (41.99451, 21.58002) - 伊林登
Gorni Dlapkin Dol (41.55917, 20.93528) - 戈尔尼·德拉普金·多尔
Rakotinci (41.94089, 21.41371) - 拉科廷齐
Kisela Voda (41.94889, 21.50278) - 基塞拉·沃达
Prevalec (41.69833, 21.75472) - 普雷瓦莱茨
Centar Zupa (41.47849, 20.55945) - 森塔尔·祖帕
Zegoua (10.48804, -5.64943) - 泽古阿
Youwarou (15.3684, -4.2628) - 尤瓦鲁
Yorosso (12.35811, -4.77688) - 约罗索
Yelimane (15.11868, -10.57729) - 叶利马内
Yanfolila (11.18333, -8.15) - 扬福利拉
Toubakoura (13.4637, -7.38278) - 图巴库拉
Tominian (13.28737, -4.59317) - 托米尼安
Timbuktu (16.77348, -3.00742) - 汤布图
Tessalit (20.20126, 1.01186) - 特萨利特
Tenenkou (14.45722, -4.9169) - 特嫩库
Taoudenni (22.67443, -3.97891) - 陶登尼
Siribala Coro (14.0432, -6.1067) - 西里巴拉·科罗
Sirakoro Meguetana (12.56439, -7.91551) - 西拉科罗·梅格塔纳
Sikasso (11.31755, -5.66654) - 锡卡索
Sagala (14.11266, -6.72865) - 萨加拉
Segou (13.44032, -6.25947) - 塞古
Sagalo (12.2, -10.7) - 萨加洛
Ntossoni (12.5304, -5.77003) - 恩托索尼
