Olmen (51.14228, 5.14999) 奥尔门
Olloysur-Viroin (50.07295, 4.60811) 奥洛伊叙尔-维鲁安
Ollignies (50.68794, 3.86229) 奥利尼
Oleye (50.71396, 5.28133) 奥莱耶
Olen (51.14391, 4.8598) 奥伦
Okegem (50.85559, 4.05516) 奥克亨
Oizy (49.89259, 5.00741) 奥伊齐
Oisquercq (50.67015, 4.21984) 奥伊斯克尔克
Oigniesen-Thierache (50.02285, 4.63941) 奥涅叙尔-蒂耶拉什
Ohey (50.4357, 5.12375) 奥埃
Ohain (50.69885, 4.4698) 奥安
Ogy (50.7207, 3.78049) 奥吉
Offagne (49.88501, 5.17378) 奥法涅
Oevel (51.13789, 4.90471) 奥弗尔
Oeudeghien (50.67813, 3.71235) 奥德亨
Oetingen (50.77318, 4.0635) 奥廷根
Oeselgem (50.93789, 3.43185) 奥瑟尔亨
Oelegem (51.2131, 4.59832) 奥勒亨
Oekene (50.91794, 3.15676) 奥克内
Oedelem (51.17033, 3.33762) 奥德勒姆
Odeur (50.70642, 5.41578) 奥德尔
Ocquier (50.39577, 5.39409) 奥克耶
Ochamps (49.92453, 5.27679) 奥尚
Obourg (50.47384, 4.00881) 奥布尔
Obigies (50.66184, 3.36412) 奥比吉
Obaix (50.52996, 4.36089) 奥贝
Nukerke (50.79564, 3.59492) 努克尔克
Novillesur-Mehaigne (50.60868, 4.89213) 诺维尔叙尔-梅海涅
Novilleles-Bois (50.55702, 4.98466) 诺维尔莱博瓦
Noville (50.06386, 5.76104) 诺维尔
Nothomb (49.77156, 5.78773) 诺通
Nossegem (50.88181, 4.50817) 诺瑟亨
Noorderwijk (51.14122, 4.84061) 诺德尔韦克
Nokere (50.88541, 3.5101) 诺克尔
Noiseux (50.29976, 5.37506) 诺伊瑟
Noduwez (50.72863, 4.96779) 诺杜韦
Nodebais (50.77278, 4.73691) 诺德贝
Nobressart (49.73895, 5.72012) 诺布雷萨尔
Nives (49.91276, 5.60141) 尼夫
Nivelles (50.59833, 4.32848) 尼韦勒
Nismes (50.07523, 4.54767) 尼斯姆
Ninove (50.82776, 4.02657) 尼诺夫
Nimy (50.47668, 3.95516) 尼米
Nijlen (51.16096, 4.67008) 尼伦
Nieuwrode (50.95, 4.83333) 尼乌罗德
Nieuwpoort (51.13008, 2.75135) 尼乌波特
NieuwkerkenWaas (51.19358, 4.17776) 尼乌克尔肯瓦斯
Nieuwkerke (50.74709, 2.8286) 尼乌克尔克
Nieuwerkerken (50.8638, 5.19467) 尼乌韦尔克尔肯
Nieuwenrode (50.97961, 4.35282) 尼乌文罗德
Nielbij-Sint-Truiden (50.7404, 5.14204) 尼尔比圣特吕登
Nielbij-As (51.01851, 5.60526) 尼尔比阿斯
Niel (51.11096, 4.33428) 尼尔
Nevele (51.03531, 3.54574) 内弗勒
Neuvilleen-Condroz (50.55293, 5.45076) 新城-孔德罗兹
Neuville (46.69823, -71.58275) 新城
NeuMoresnet (50.71575, 6.02119) 新莫雷斯内
Neufvilles (50.57107, 4.00041) 新维尔
Neufmaison (50.52914, 3.79406) 新梅松
Neufchateau (48.35557, 5.69602) 新沙托
Nethen (50.7832, 4.67503) 内滕
Nessonvaux (50.57337, 5.73641) 内松沃
Nerem (50.76347, 5.50993) 内雷姆
Neigem (50.80271, 4.0599) 内亨
Neerwinden (50.76756, 5.04021) 内尔温登
Neerpelt (51.22807, 5.4427) 内尔佩尔特
Neeroeteren (51.09156, 5.69933) 内尔厄特伦
Neerlinter (50.83971, 5.02287) 内尔林特
Neerijse (50.81722, 4.62361) 内尔伊瑟
Neerheylissem (50.75839, 4.9883) 内尔海利瑟姆
Neerharen (50.90964, 5.68027) 内尔哈伦
Neerglabbeek (51.08911, 5.61606) 内尔格拉贝克
NederzwalmHermelgem (50.88333, 3.68333) 内德兹瓦尔姆赫梅尔亨
Nederokkerzeel (50.91943, 4.56388) 内德奥克尔泽尔
Nederhasselt (50.84646, 3.97497) 内德哈瑟尔特
Brakel (51.7175, 9.18596) 布拉克尔
Nederboelare (50.77596, 3.87148) 内德布拉勒
Nechin (50.66702, 3.26649) 内欣
Nazareth (32.70056, 35.29722) 拿撒勒
Natoye (50.34294, 5.058) 纳托耶
Nassogne (50.12849, 5.34274) 纳索涅
Naninne (50.41888, 4.92634) 纳宁
Nandrin (50.50675, 5.41905) 南德兰
Namur (50.4669, 4.86746) 那慕尔
Nameche (50.47239, 4.99756) 纳梅什
Nalinnes (50.32434, 4.44572) 纳利内斯
Nadrin (50.16387, 5.67761) 纳德兰
Naast (50.55413, 4.10082) 纳斯特
Mussyla-Ville (49.57009, 5.66191) 穆西拉维尔
Musson (49.55835, 5.70525) 缪松
Munte (50.94443, 3.74273) 蒙特
Munsterbilzen (50.88939, 5.52647) 蒙斯特比尔岑
Muno (49.71637, 5.17205) 缪诺
Munkzwalm (50.87676, 3.73503) 蒙克兹瓦尔姆
Mullem (50.89673, 3.60535) 穆勒姆
Muizen (51.01111, 4.51427) 缪岑
Moxhe (50.63079, 5.08341) 莫克斯
Moustier (50.65599, 3.61966) 穆斯捷
Moustiersur-Sambre (50.46668, 4.69614) 穆斯捷叙尔-桑布尔
Mouscron (50.74497, 3.20639) 穆斯克龙
