Paraje Nuevo (18.87886, -96.86066) 新地点
Miguel Aguilar (18.93976, -96.90017) 米格尔·阿吉拉尔
Ejido los Naranjos (18.96694, -96.85806) 洛斯纳兰霍斯集体农场
Trapiche Viejo (18.84306, -96.94556) 老甘蔗磨坊
Cotlaixco (18.7675, -96.94944) 科特莱斯科
El Campanario (18.77167, -97.19361) 钟楼
Cuesta del Mexicano (18.80472, -96.98972) 墨西哥人的坡道
San Jose de Tapia (18.84722, -96.95389) 塔皮亚的圣何塞
El Palenque Palotal (18.96778, -96.97917) 帕洛塔尔斗鸡场
Tecamilla (18.99694, -96.98556) 特卡米利亚
Monte Salas (18.93722, -97.01833) 萨拉斯山
Zapoapan (18.84018, -96.99297) 萨波阿潘
Campo Chico (18.83639, -97.02802) 小田野
Moyoapan (18.91681, -97.04559) 莫约阿潘
Rincon Grande (18.94527, -97.09813) 大角落
Cumbre del Espanol (18.97194, -97.14806) 西班牙人的山顶
Tlilapan (18.8056, -97.09867) 特利拉潘
Rancho de Pala (18.88278, -97.1375) 帕拉牧场
Agua Escondida (19.97893, -99.57829) 隐藏的水
San Isidro el Berro (18.92722, -97.20556) 圣伊西德罗·埃尔贝罗
San Jose Suchil (18.88778, -97.23722) 苏奇尔的圣何塞
Cecilio Teran (18.8148, -97.22526) 塞西里奥·特兰
Zacamitla (19.05085, -96.92424) 萨卡米特拉
Frijol Colorado (19.58872, -97.35237) 红豆
Loma de la Palma (18.24476, -94.98789) 棕榈山
Encino Amarillo (18.28946, -94.79211) 黄栎树
Cuilonia Nuevo (18.1548, -94.91447) 新奎洛尼亚
La Estribera (18.11675, -94.88851) 马鞍架
Pitalillo (18.0839, -94.91757) 皮塔利略
Ixtagapa (18.05601, -94.93966) 伊斯塔加帕
Comejen (18.06126, -94.88552) 白蚁
San Andres Chamilpa (18.09178, -94.85375) 查米尔帕的圣安德烈斯
Amamaloya (18.14913, -94.80811) 阿马马洛亚
Jicacal (18.21413, -94.61251) 希卡卡尔
Jose F. Gutierrez (18.02526, -94.61028) 何塞·F·古铁雷斯
Calzadas (18.10121, -94.45524) 卡尔萨达斯
El Veinticinco (18.02235, -94.33803) 二十五号
Mundo Nuevo (18.08831, -94.39024) 新世界
Guillermo Prieto (18.16077, -94.27658) 吉列尔莫·普列托
Tlacuilolapan (17.97778, -94.26306) 特拉奎洛拉潘
