Leon Guzman (25.49986, -103.65924) 莱昂·古斯曼
Leon de los Aldama (21.12908, -101.67374) 莱昂·德洛斯·阿尔达马
Leandro B. Flores (21.7757, -105.1722) 莱安德罗·B·弗洛雷斯
La Zarzamora (19.70278, -102.41361) 拉·萨尔萨莫拉
La Zarca (25.83426, -104.74253) 拉·萨尔卡
La Yesca (21.31871, -104.01161) 拉·耶斯卡
La Yerbabuena (21.03337, -100.35298) 拉·耶尔巴布埃纳
La Villita (36.10336, -106.04808) 拉·维利塔
La Ventilla (21.77389, -101.03028) 拉·文蒂利亚
La Ventana (23.01039, -100.2642) 拉·文塔纳
La Union del Cuatro (20.53148, -103.36812) 拉·乌尼翁·德尔·夸特罗
Union de Corrientes (21.97644, -105.43026) 乌尼翁·德·科连特斯
La Troje (21.73158, -101.90371) 拉·特罗赫
La Tehua (25.71258, -103.4267) 拉·特瓦
Las Zarquillas (20.04526, -102.52493) 拉斯·萨尔基利亚斯
Trincheras (30.39806, -111.53019) 特林切拉斯
San Jose Tepuzas (20.35417, -100.37528) 圣何塞·特普萨斯
Las Taponas (20.41747, -100.38421) 拉斯·塔波纳斯
Las Ranas (20.2086, -101.4781) 拉斯·拉纳斯
Las Quemazones (25.68583, -108.45243) 拉斯·克马索内斯
Las Pintas de Arriba (20.57376, -103.32345) 拉斯·平塔斯·德·阿里巴
Las Pilas (22.84, -102.61278) 拉斯·皮拉斯
Las Parras (26.83903, -109.71629) 拉斯·帕拉斯
Soledad de Abajo (22.40834, -102.28608) 索莱达·德·阿巴霍
Las Milpas (26.79657, -109.7711) 拉斯·米尔帕斯
Las Lagunillas (19.7171, -104.28836) 拉斯·拉古尼利亚斯
Las Juntas (20.70131, -105.24585) 拉斯·洪塔斯
Jicamas (20.27602, -101.35916) 希卡马斯
La Sinaloa (24.76647, -107.62356) 拉·锡那罗亚
Los Herrera (25.16194, -105.50306) 洛斯·埃雷拉
Las Fuentes (20.15899, -102.21836) 拉斯·富恩特斯
Flores de Begona (20.87016, -100.79555) 弗洛雷斯·德·贝戈尼亚
Las Estacas (19.91129, -102.53567) 拉斯·埃斯塔卡斯
Villa Las Esperanzas (27.74274, -101.35295) 维拉·拉斯·埃斯佩兰萨斯
Las Cieneguitas (20.24884, -102.24505) 拉斯·谢内吉塔斯
Las Cenizas (20.60631, -100.07359) 拉斯·塞尼萨斯
Las Canas (20.29586, -101.41823) 拉斯·卡纳斯
Las Bocas (26.58821, -109.33622) 拉斯·博卡斯
La Sabila (26.76528, -109.62472) 拉·萨比拉
La Sauceda (20.89831, -101.19124) 拉·索塞达
Las Arenitas (24.37245, -107.53612) 拉斯·阿雷尼塔斯
La Sardina (20.88118, -101.6644) 拉·萨尔迪纳
Daniel Camarena (21.34624, -102.8935) 丹尼尔·卡马雷纳
Las Americas (25.58665, -108.31029) 拉斯·阿美利卡斯
La Salada (23.44641, -102.88076) 拉·萨拉达
Las Adjuntas (21.06056, -100.41361) 拉斯·阿洪塔斯
Rumorosa (32.52396, -116.05397) 鲁莫罗萨
La Rosita (25.41274, -103.23212) 拉·罗西塔
Rosa Blanca (21.12454, -104.35811) 罗莎·布兰卡
La Ribera (20.34908, -102.28273) 拉·里韦拉
La Rinconoda (20.04363, -102.2885) 拉·林科诺达
Rinconada del Mimbre (31.34644, -106.04827) 林科纳达·德尔·明布雷
