Cuastecomate (21.04333, -104.75306) - 瓜斯特科马特
Cuarenteno (21.45804, -105.02988) - 瓜伦特诺
Cuaracurio (20.06102, -101.14774) - 瓜拉库里奥
Cuanajo (19.48485, -101.50794) - 瓜纳霍
Cuamio (20.0339, -101.15167) - 瓜米奥
Cruz Vieja (20.49536, -103.57371) - 老十字架
Cruz de Piedra (27.95143, -110.67652) - 石头十字架
Cruz de Aguilar (20.81504, -101.59438) - 阿吉拉尔十字架
Creel (27.75054, -107.6352) - 克里尔
Coyuca de Catalan (18.32614, -100.69898) - 科尤卡德卡塔兰
Coyuca de Benitez (17.00895, -100.08714) - 科尤卡德贝尼特斯
Coyotitan (23.79416, -106.6008) - 科约蒂坦
Coyame (29.46141, -105.09404) - 科亚梅
El Coto (20.39491, -100.13465) - 埃尔科托
Cotija de la Paz (19.80922, -102.70198) - 科蒂哈德拉帕斯
Villa de Costa Rica (24.59167, -107.38836) - 哥斯达黎加别墅
Costa Azul (25.10183, -108.13735) - 蓝色海岸
Cospita (24.1046, -107.12959) - 科斯皮塔
Cosio (22.36625, -102.30008) - 科西奥
Cosala (24.41501, -106.69073) - 科萨拉
Cortijo Nuevo (19.78292, -101.70108) - 新科尔蒂霍
Cortazar (20.48362, -100.96237) - 科尔塔萨尔
Corraleno (27.81124, -105.16805) - 科拉莱诺
Coroneo (20.20001, -100.36546) - 科罗内奥
La Corona (25.58401, -103.2602) - 皇冠
Corerepe (25.62786, -108.71488) - 科雷雷佩
Corcovado (18.45856, -66.77629) - 科尔科瓦多
El Corcovado (19.84525, -104.28566) - 埃尔科尔科瓦多
Coquimatlan (19.20625, -103.80952) - 科基马特兰
Jopopaco (26.73801, -109.27321) - 霍波帕科
Copandaro de Galeana (19.89254, -101.21394) - 科潘达罗德加莱亚纳
Contepec (19.95432, -100.16385) - 孔特佩克
Estacion Consuelo (28.33118, -105.59471) - 康苏埃洛站
Santiago Conguripo (20.18735, -101.7055) - 圣地亚哥孔古里波
Congregacion Ortiz (28.25375, -105.51922) - 奥尔蒂斯教区
Coneto de Comonfort (24.98089, -104.77055) - 科内托德科蒙福特
Condembaro (19.29292, -102.30401) - 孔登巴罗
Estacion Conchos (27.97326, -105.28843) - 孔乔斯站
Concepcion del Oro (24.61326, -101.41844) - 黄金的构思
Compuertas (25.74681, -103.3025) - 堤坝
Compostela (7.67306, 126.08889) - 孔波斯特拉
Comonfort (20.72278, -100.75946) - 科蒙福特
Comanjilla (21.0651, -101.47303) - 科曼希利亚
Comanja de Corona (21.3252, -101.71379) - 科罗纳的科曼哈
Comanja (19.74696, -101.6908) - 科曼哈
Comala (19.32717, -103.75926) - 科马拉
Comachuen (19.57132, -101.90433) - 科马丘恩
Colotlan (22.11299, -103.26707) - 科洛特兰
Colotitlan (20.09567, -104.15327) - 科洛蒂特兰
Colorines (19.17829, -100.21817) - 科洛里内斯
Colonia Plenitud (23.2325, -103.075) - 普莱尼图德殖民地
Mesa Tres Rios (29.84063, -108.7124) - 三河桌
Colonia La Puerta (32.32939, -115.33044) - 拉普埃尔塔殖民地
Jecopaco (27.19831, -109.76946) - 杰科帕科
Colonia Esperanza (28.44722, -105.45444) - 埃斯佩兰萨殖民地
Coina Grande (20.52403, -102.74282) - 大科伊纳
Ejido Cohuibampo (25.94094, -109.1588) - 科伊班波集体农场
Cofradia de Cuyutlan (22.0545, -105.1156) - 库尤特兰兄弟会
Cocucho (19.69477, -102.18925) - 科库乔
Corupo (19.60912, -102.23479) - 科鲁波
Cocorit (27.57519, -109.9591) - 科科里特
Coatlancillo (19.8935, -103.96479) - 科阿特兰西略
Cuamiles (21.92347, -105.25405) - 瓜米莱斯
Coahuayana Viejo (18.75119, -103.66798) - 老科阿瓦亚纳
Cloete (27.92347, -101.17597) - 克洛埃特
Siviral (27.10145, -109.50236) - 西维拉尔
Ciudad Obregon (27.48642, -109.94083) - 奥夫雷贡市
Ciudad Lerdo (25.53718, -103.52456) - 莱尔多市
Ciudad Juarez (31.72024, -106.46084) - 华雷斯市
Jose Mariano Jimenez (27.13076, -104.92391) - 何塞·马里亚诺·希门尼斯
Ciudad Guzman (19.70466, -103.4617) - 古兹曼市
Ciudad Delicias (28.19013, -105.47012) - 德利西亚斯市
Ciudad Constitucion (25.0321, -111.66256) - 宪法市
Ciudad Altamirano (18.3582, -100.66965) - 阿尔塔米拉诺市
Ciudad Acuna (29.32322, -100.95217) - 阿库尼亚市
Citala (20.10409, -103.26181) - 西塔拉
Cieneguitas (22.71363, -102.49317) - 小沼泽
Cienega Grande (22.19434, -102.0194) - 大沼泽
Cienega de Flores (25.95467, -100.16695) - 花沼泽
Cibuta (31.06136, -110.89818) - 西布塔
Churintzio (20.15056, -102.06469) - 楚林齐奥
Chupicuaro (20.00392, -101.17047) - 楚皮夸罗
Chucarit (27.03157, -109.58421) - 楚卡里特
Chucandiro (19.90008, -101.3338) - 楚坎迪罗
Chorohui (25.51659, -108.46184) - 乔罗伊
Choix (26.70901, -108.32545) - 乔伊克斯
Jitonhueca (27.06167, -109.605) - 希通韦卡
Churipitzeo (20.41185, -101.74206) - 楚里皮特塞奥
Chiquimitio (19.79507, -101.25208) - 奇基米蒂奥
Chiquilistlan (20.08776, -103.86071) - 奇基利斯特兰
Chiquihuitillo (19.00907, -102.3447) - 奇基维蒂略
Chiqueritos (24.17974, -107.0389) - 奇克雷托斯
Chinotahueca (27.02457, -109.53124) - 奇诺塔韦卡
Chinobampo (26.39, -108.3644) - 奇诺班波
Chinipas (27.39502, -108.5373) - 奇尼帕斯
Chinampas (21.83686, -101.81564) - 奇南帕斯
Chilchota (19.84654, -102.11716) - 奇尔乔塔
Chicalote (22.01139, -102.25275) - 奇卡洛特
Chibucu (27.11645, -109.39909) - 奇布库
Chiapa (19.33711, -103.6539) - 奇亚帕
