Cherato (19.62965, -102.35208) 切拉托
Cheran (19.68536, -101.95368) 切兰
Chele (23.20471, -105.89339) 切莱
Chehuayo Grande (19.89679, -101.06758) 切瓦约格兰德
Chavinda (20.00625, -102.46015) 查温达
Chavarria Nuevo (23.64999, -105.59084) 查瓦里亚努埃沃
Chavarin (19.20214, -104.5589) 查瓦林
Charo (19.74966, -101.04571) 查罗
Charco de Pantoja (20.38949, -101.35436) 潘托哈的查尔科
Charco Blanco (23.86306, -103.6575) 查尔科布兰科
Charcas (23.12943, -101.11346) 查尔卡斯
Charay (26.0214, -108.8309) 查雷
Charapendo (19.26383, -102.0661) 查拉彭多
Charapan (19.65112, -102.2519) 查拉潘
Chaparaco (19.96061, -102.26092) 查帕拉科
Chapalilla (21.18852, -104.63783) 查帕利利亚
Chapala (20.29616, -103.19123) 查帕拉
Chandiablo (19.19883, -104.33933) 昌迪亚布洛
Chametla (24.09926, -110.37395) 查梅特拉
Chamacuaro (20.10444, -100.82756) 查马夸罗
Chalchihuites (23.47498, -103.88293) 查尔奇维特斯
Chacala (19.32741, -104.28313) 查卡拉
Cerros Blancos (23.33775, -100.18897) 塞罗斯布兰科斯
Cerro Santa Fe (20.52599, -103.08448) 圣塔菲山
Cerro de San Pedro (22.2178, -100.79961) 圣佩德罗山
Cerro de Ortega (18.7508, -103.72155) 奥尔特加山
Cerro Agudo (25.59796, -107.9631) 阿古多山
Cerrito de Zavala (22.5369, -100.97683) 萨瓦拉的小山
Cerrito de Cotijaran (20.01128, -102.64292) 科蒂哈兰的小山
Cerrito Colorado (20.62501, -100.24919) 科罗拉多小山
Cerocahui (27.29906, -108.055) 塞罗卡维
Cenobio Moreno (19.09629, -102.50415) 塞诺比奥莫雷诺
Los Cedros (20.3898, -103.2325) 洛斯塞德罗斯
Cedral (23.82099, -100.72527) 塞德拉尔
Sebampo (26.87979, -109.572) 塞班波
Ceballos (26.5258, -104.1295) 塞瓦略斯
Castro Urdiales (20.59754, -103.82046) 卡斯特罗乌尔迪亚莱斯
