Telolotla (20.21306, -97.91167) 特洛洛特拉
Nuevo Resplandor (15.96306, -92.30083) 新光辉
Plan de Pierna (16.77417, -98.20083) 皮耶尔纳计划
Yitic (16.85722, -92.62639) 伊蒂克
Chamacuero (20.20972, -101.40167) 查马库埃罗
San Jose la Costa (19.43167, -99.64333) 圣何塞拉科斯塔
Tantocoy Uno (21.53083, -98.99139) 坦托科伊一号
Ixteamel (21.28278, -98.79667) 伊克斯特梅尔
Bolanos (21.83167, -103.78056) 博拉诺斯
Barrio Morelos (17.13889, -96.77306) 莫雷洛斯区
Tianguispicula (21.19056, -98.70611) 蒂安吉斯皮库拉
Xonotla (18.74361, -97.15111) 索诺特拉
El Panuelito (29.20694, -111.79333) 小手帕
Mexcalcingo (17.38556, -98.99944) 梅斯卡尔辛戈
Los Alamos II (19.72472, -99.13806) 洛斯阿拉莫斯二号
Ejido el Maritimo (32.2375, -115.15389) 埃希多海事
Otilio Montano (18.87972, -97.37222) 奥蒂略蒙塔诺
Tres M (Perez) (32.50194, -116.79083) 三M（佩雷斯）
Los Alvarez (20.55167, -100.14) 洛斯阿尔瓦雷斯
Corea (20.80167, -100.45) 高丽
Cuauhtemoc Barreal (17.42722, -92.72306) 库奥特莫克巴雷亚尔
Plan del Manantial (19.21972, -96.37333) 泉水计划
Colonia Erendira (19.82, -101.87306) 埃伦迪拉殖民地
Poxcuatzingo (19.95861, -97.97833) 波克斯夸津戈
Pepexta (20.04049, -97.46141) 佩佩克斯塔
Valle Dorado Dos Mil (20.52889, -100.47139) 金色山谷二千
La Caudalosa (17.82083, -95.0675) 丰盈之地
Mequeja (16.95778, -92.23583) 梅克哈
Barranca Prieta (19.85516, -99.21326) 黑色峡谷
San Jose del Reparo (20.20778, -101.52028) 圣何塞德尔雷帕罗
El Paisano (19.57361, -97.09944) 同乡
San Jose Loma Grande (18.99472, -96.93694) 圣何塞洛马格兰德
Sombra Carrizal (17.2975, -92.74667) 芦苇阴影
Cuarto Canton (15.09083, -92.44222) 第四区
Tasajillo (21.21417, -100.20472) 塔萨希略
Llano Nuevo (16.60139, -97.50833) 新平原
Tepecuitlapa (18.48917, -97.07056) 特佩库伊特拉帕
San Juan Tepepa (18.97389, -98.15444) 圣胡安特佩帕
Emilio Rabasa (17.69694, -92.16889) 埃米利奥拉巴萨
Polintotla (20.76472, -98.5075) 波林托特拉
Zapotal 5ta. Seccion (18.01778, -93.75139) 萨波塔尔第五区
San Juan Tetelcingo (17.92194, -99.51833) 圣胡安特特尔辛戈
Ahuatempa (21.09889, -98.38306) 阿华滕帕
Eytepequez (19.93972, -97.23472) 埃伊特佩克斯
Paseo de las Reynas (20.08611, -98.71) 女王大道
Ojo de Agua Autopan (19.36111, -99.69167) 奥托潘水眼
Atlantongo (20.2648, -98.11855) 阿特兰通戈
Campo Lo de Beltran (24.81556, -107.61306) 贝尔特兰的田野
Barranca Grande (19.38528, -99.47611) 大峡谷
El Alambrado (18.16139, -92.79083) 铁丝网
Amate Amarillo (17.58667, -99.20444) 黄色阿马特
Colonia el Naranjo (18.86528, -99.16194) 橙树殖民地
La Mocha (20.40583, -100.99833) 拉莫查
El Sobrado (19.51444, -101.46278) 索布拉多
Guascuaro de Mugica (19.79778, -102.51944) 穆吉卡的瓜斯夸罗
Chuparrosa (16.46, -98.04861) 吸蜜鸟
San Francisco Yovego (17.55139, -96.22389) 圣弗朗西斯科约韦戈
Nueva Tenochtitlan (15.19389, -92.415) 新特诺奇蒂特兰
Ejido la Purisima (19.55444, -99.72222) 埃希多拉普里西玛
Rincon de Maravillas (18.78417, -96.9975) 奇迹角落
Leoncillos (14.76778, -92.40633) 小狮子
Ocota (19.81944, -97.49722) 奥科塔
Tzinacantepec (19.815, -97.49611) 齐纳坎特佩克
Colonia la Purisima (19.57722, -99.675) 拉普里西玛殖民地
Gonzalo Vazquez Vela (19.05667, -97.05194) 冈萨洛巴斯克斯维拉
Tlaltenango Arriba (19.4725, -99.59528) 上塔尔特南戈
Santa Ana de Nahola (22.9925, -99.87083) 纳霍拉的圣安娜
Nuevo Cuyutlan (19.01972, -104.11778) 新库尤特兰
Jech Chentic (16.73028, -92.73778) 杰赫切恩蒂克
Cinco Caminos (18.99777, -99.4229) 五路口
Xilita (19.92083, -97.58528) 希利塔
Pablo Cuin (19.22111, -101.66139) 巴勃罗奎因
Analco (19.81833, -97.39972) 阿纳尔科
Putaxcat (20.09348, -97.62508) 普塔克斯卡特
