Sankera (7.5353, 9.65223) 桑克拉
Sandamu (12.96163, 8.36017) 桑达穆
Samamiya (11.34873, 9.63989) 萨马米亚
Sakaba (11.06513, 5.5961) 萨卡巴
Sagbama (5.15915, 6.19666) 萨格巴马
Safana (12.41075, 7.41456) 萨法纳
Sade (11.3595, 10.6732) 萨德
Sabuwa (11.17372, 7.12113) 萨布瓦
SabongidaOra (6.90231, 5.93117) 萨邦吉达奥拉
Sabon Birni (13.56387, 6.32355) 萨邦比尔尼
Runka (12.44788, 7.30918) 伦卡
Ruma (45.00806, 19.82222) 鲁马
Roni (12.65862, 8.26505) 罗尼
Rogo (11.55237, 7.82253) 罗戈
Riyom (9.63681, 8.75694) 里约姆
Riti (7.90844, 9.61688) 里提
Ririwai (10.74025, 8.74128) 里里瓦伊
Ringim (12.15143, 9.16216) 林吉姆
Rimin Gado (11.9672, 8.2476) 里明加多
Rimi (12.8503, 7.70974) 里米
Rijau (11.10389, 5.25556) 里贾乌
Ribah (11.39637, 5.48631) 里巴
Rano (11.55684, 8.58065) 拉诺
Rann (12.26938, 14.46552) 兰恩
Saminaka (10.41227, 8.68748) 萨米纳卡
Rabah (13.12257, 5.50762) 拉巴
Potiskum (11.71391, 11.08108) 波蒂斯库姆
Port Harcourt (4.77742, 7.0134) 哈科特港
Pindiga (9.98433, 10.95229) 平迪加
Patigi (8.72851, 5.75561) 帕蒂吉
Patani (5.22885, 6.19139) 帕塔尼
Panyam (9.40756, 9.21481) 潘亚姆
Pantisawa (8.94504, 11.51176) 潘蒂萨瓦
Pankshin (9.32541, 9.4352) 潘克辛
Paiko (9.43685, 6.63357) 派科
Ozubulu (5.95753, 6.85305) 奥祖布卢
OyeEkiti (7.79976, 5.33242) 奥耶埃基蒂
Oyan (8.05, 4.76667) 奥扬
OwuIsin (8.2809, 5.0194) 奥乌伊辛
Owode (6.94851, 3.50561) 奥沃德
Owo (7.1962, 5.58681) 奥沃
Owerri (5.48363, 7.03325) 奥韦里
OwaOyibu (6.18267, 6.19902) 奥瓦奥伊布
Otuocha (6.33908, 6.84636) 奥图奥查
OtunEkiti (7.98858, 5.12291) 奥通埃基蒂
Otukpa (7.10168, 7.65945) 奥图克帕
OtuJeremi (5.43818, 5.87829) 奥图杰雷米
OtorUdu (5.45341, 5.8693) 奥托尔乌杜
Otu (8.20639, 3.40786) 奥图
Otan Ayegbaju (7.94783, 4.78836) 奥坦阿耶格巴朱
Osogbo (7.77104, 4.55698) 奥索博
Oshodi (6.55504, 3.34363) 奥肖迪
AforOru (5.5411, 7.26845) 阿福尔奥鲁
Oron (4.82171, 8.23504) 奥龙
Orodo (5.61667, 7.03333) 奥罗多
Orlu (5.79565, 7.03513) 奥尔卢
OritaEruwa (7.55632, 3.44107) 奥里塔埃鲁瓦
Orerokpe (5.63747, 5.89013) 奥雷罗克佩
Ore (6.74716, 4.8761) 奥雷
Oporoma (4.80604, 6.08016) 奥波罗马
Opobo (4.51388, 7.53794) 奥波博
Ikot Abasi (4.56851, 7.55262) 伊科特阿巴西
Onyedega (6.88209, 6.67585) 奥涅德加
Onitsha (6.14978, 6.78569) 奥尼查
Ondo (7.09316, 4.83528) 翁多
OmuoEkiti (7.75833, 5.72227) 奥穆奥埃基蒂
OmuAran (8.13385, 5.10029) 奥穆阿兰
Omoku (5.34388, 6.65684) 奥莫库
Olupona (7.60039, 4.19264) 奥卢波纳
Oleh (5.46186, 6.20624) 奥莱
Okpoga (7.03911, 7.81225) 奥克波加
Okwe (5.77743, 7.21794) 奥克韦
Okuta (9.21866, 3.20117) 奥库塔
Okrika (4.74215, 7.08368) 奥克里卡
Okpoma (6.59679, 8.63728) 奥克波马
Okpo (7.21626, 7.56022) 奥克波
Okoroete (4.54077, 7.74858) 奥科罗埃特
Okopedi (4.84918, 8.12564) 奥科佩迪
Oko Ita (5.192, 7.89531) 奥科伊塔
Okigwe (5.82917, 7.35056) 奥基格韦
OkeOyi (8.58263, 4.71622) 奥克奥伊
Okene (7.55122, 6.23589) 奥克内
Oke Mesi (7.81667, 4.91667) 奥克梅西
Oke Ila (7.95, 4.98333) 奥克伊拉
Okeho (8.03453, 3.34759) 奥克霍
Okehi (5.13895, 7.13915) 奥克希
OkeAgbe (7.64314, 5.75943) 奥克阿格贝
Okada (6.73488, 5.39447) 奥卡达
Oju (6.84526, 8.41914) 奥朱
Ojoto (6.05842, 6.86124) 奥乔托
Oji River (6.25563, 7.27025) 奥吉河
OhafiaIfigh (5.61455, 7.81191) 奥哈菲亚伊菲格
OgwashiUku (6.17811, 6.52461) 奥格瓦什乌库
Oguta (5.71044, 6.80936) 奥古塔
Ogurugu (6.78636, 6.95017) 奥古鲁古
Oguma (7.89635, 7.06229) 奥古马
Ogu (4.72247, 7.19859) 奥古
Ogoja (6.6584, 8.79923) 奥戈贾
Ogidi (6.15209, 6.86343) 奥吉迪
Ogbomoso (8.13373, 4.24014) 奥博莫索
