Gwadabawa (13.35819, 5.23812) 瓜达巴瓦
Guyuk (9.90663, 11.92753) 古尤克
Gusau (12.17024, 6.66412) 古绍
Guri (12.7281, 10.41989) 古里
Gummi (12.14484, 5.11776) 古米
Gumel (12.6269, 9.38807) 古梅尔
Gulma (12.64231, 4.35545) 古尔马
Gulak (10.8053, 13.45824) 古拉克
Gujba (11.49959, 11.93396) 古杰巴
Gudumbali (12.94284, 13.17831) 古杜姆巴利
Gubio (12.49749, 12.78089) 古比奥
Goronyo (13.44226, 5.67234) 戈罗尼奥
Gorgoram (12.63958, 10.70422) 戈尔戈拉姆
Gora (51.66638, 16.53494) 戈拉
Goniri (11.48451, 12.31264) 戈尼里
Gombi (10.16756, 12.73684) 冈比
Gombe (10.28969, 11.16729) 冈贝
Giwa (11.31568, 7.44957) 吉瓦
Girei (9.36526, 12.54621) 吉雷
Gidan Madi (13.29575, 4.97467) 吉丹马迪
Giade (11.39083, 10.19987) 吉亚德
Gezawa (12.10157, 8.75029) 格扎瓦
Gembu (6.72556, 11.25652) 根布
Gella (10.15738, 13.30004) 格拉
Geidam (12.89439, 11.92649) 盖达姆
Buruku (7.45961, 9.20455) 布鲁库
Gbongan (7.47734, 4.35351) 博甘
Gboko (7.32275, 9.00108) 博科
Gbajimba (7.8204, 8.85955) 巴金巴
Gassol (8.53535, 10.44615) 加索尔
Gashua (12.87398, 11.04057) 加舒阿
Garun Malam (11.68566, 8.36986) 加伦马拉姆
Garko (10.17506, 11.16458) 加尔科
Garki (51.53763, 17.64293) 加尔基
Garaku (8.84717, 8.13021) 加拉库
Ganye (8.43497, 12.05107) 甘耶
Gantsa (11.66312, 9.72639) 甘察
Gamboru (12.37299, 14.2069) 甘博鲁
Gamawa (12.13379, 10.53785) 加马瓦
Gakem (6.76963, 8.9912) 加克姆
Gajiram (12.49149, 13.21191) 加吉拉姆
Gagarawa (12.40848, 9.52881) 加加拉瓦
Gada (13.7543, 5.65723) 加达
Gabarin (11.1093, 10.4441) 加巴林
Funtua (11.52351, 7.31174) 丰图阿
Fugar (7.09076, 6.49828) 富加尔
Fufu (8.44838, 4.72077) 富富
Fufore (9.22175, 12.64975) 富福雷
Fika (11.28674, 11.30772) 菲卡
Fiditi (7.71393, 3.91665) 菲迪蒂
Faskari (11.72108, 7.02991) 法斯卡里
EzzaOhu (6.44094, 8.08432) 埃扎奥胡
Ezzamgbo (6.39895, 7.96155) 埃扎姆博
Etinan (4.84262, 7.85252) 埃蒂南
Esuk Oron (4.80293, 8.25341) 埃苏克奥龙
Eruwa (7.53906, 3.42453) 埃鲁瓦
Epe (6.58412, 3.98336) 埃佩
Enwang (4.65643, 8.25206) 恩旺
Umunze (5.96694, 7.23664) 乌蒙泽
EnuguUkwu (6.17146, 7.00525) 恩乌古乌库
EnuguEzike (6.9827, 7.45534) 恩乌古埃齐克
Enugu (6.44132, 7.49883) 恩乌古
Enagi (9.12734, 5.54387) 恩阿吉
EmureEkiti (7.43636, 5.45925) 埃穆雷埃基蒂
Emuoha (4.884, 6.8601) 埃穆奥哈
Elele (5.1009, 6.81411) 埃莱莱
Ekpoma (6.743, 6.14029) 埃克波马
Eket (4.64231, 7.92438) 埃凯特
Ekeremor (5.05805, 5.78048) 埃克雷莫尔
Ejirin (6.61423, 3.90019) 埃吉林
Ejigbo (7.90303, 4.31364) 埃吉博
Ehor (6.6155, 5.98238) 埃霍尔
Eha Amufu (6.65915, 7.75961) 埃哈阿穆富
Egbeda (7.3772, 4.04975) 埃格贝达
Egbe (8.21896, 5.50757) 埃格贝
Effurun (5.55629, 5.78459) 埃夫伦
EfonAlaaye (7.65649, 4.92235) 埃丰阿拉耶
Effium (6.63105, 8.05814) 埃菲乌姆
Effraya (5.85926, 8.72301) 埃弗拉亚
Ede (52.03333, 5.65833) 埃德
EbuteMetta (6.48799, 3.38166) 埃布特梅塔
Ebute Ikorodu (6.60086, 3.48818) 埃布特伊科罗杜
Eberi (5.09117, 7.2337) 埃贝里
Ebem Ohafia (5.63108, 7.83024) 埃贝姆奥哈菲亚
DutsinMa (12.45392, 7.49723) 杜辛马
Dutsi (12.82862, 8.1398) 杜茨
Dutsen Wai (10.85009, 8.199) 杜森瓦伊
Dutse (11.75618, 9.33896) 杜塞
Malam Madori (12.56473, 9.88084) 马拉姆马多里
Dukku (10.82379, 10.77221) 杜库
Donga (7.72175, 10.04526) 东加
Disina (11.48135, 9.91903) 迪西纳
Dindima (10.22629, 10.15132) 丁迪马
Dikwa (12.03609, 13.91815) 迪夸
Dikenafai (5.77015, 7.15473) 迪克纳法伊
Dengi (9.36872, 9.96223) 邓吉
Demsa (9.45566, 12.15249) 德姆萨
Dekina (7.68967, 7.0438) 德基纳
Degema (4.74807, 6.76618) 德盖马
Dawakin Tofa (12.10452, 8.32999) 达瓦金托法
