Schin op Geul (50.85417, 5.86944) 辛奥普赫尔
Schinnen (50.94333, 5.88889) 辛嫩
Schimmert (50.90667, 5.82361) 辛默特
Schildwolde (53.23327, 6.81566) 斯希尔德沃尔德
Schilberg (51.09917, 5.88611) 斯希尔贝赫
Schijndel (51.6225, 5.43194) 斯亨代尔
Schijf (51.49917, 4.56111) 斯赫伊夫
Schiermonnikoog (53.48025, 6.15209) 斯希尔蒙尼科赫
Schiedam (51.91917, 4.38889) 斯希丹
Schiebroek (51.95838, 4.47124) 斯希布鲁克
Scheveningen (52.10461, 4.27557) 斯海弗宁恩
Scherpenzeel (52.08, 5.48889) 斯赫尔彭泽尔
Scherpenisse (51.54667, 4.10556) 斯赫尔佩尼斯
Schermerhorn (52.60083, 4.89167) 斯赫尔默霍恩
Schelluinen (51.84333, 4.92639) 斯赫尔吕嫩
Schellinkhout (52.635, 5.12083) 斯赫林克豪特
Scheemda (53.17333, 6.97222) 斯赫姆达
Scharsterbrug (52.94414, 5.77889) 斯哈尔斯特尔布鲁赫
Scharnegoutum (53.06051, 5.67822) 斯哈尔内豪特姆
Scharn (50.85, 5.73333) 斯哈尔恩
Scharmer (53.205, 6.70556) 斯哈尔默
Scharendijke (51.73583, 3.84306) 斯哈尔恩代克
Schalkhaar (52.26833, 6.19444) 斯哈尔克哈尔
Schaijk (51.74583, 5.63194) 斯海克
Schagerbrug (52.8025, 4.75833) 斯哈赫尔布鲁赫
Schagen (52.7875, 4.79861) 斯哈亨
Sauwerd (53.29333, 6.53472) 索沃尔德
Sas van Gent (51.2275, 3.79861) 亨特的萨斯
Sassenheim (52.225, 4.52222) 萨森海姆
Sappemeer (53.16417, 6.79028) 萨佩梅尔
Saasveld (52.33167, 6.80694) 萨斯费尔德
Ruurlo (52.08833, 6.45) 鲁尔洛
Rumpt (51.88417, 5.17639) 伦普特
Ruinerwold (52.72333, 6.24861) 鲁伊内尔沃尔德
Ruinen (52.7625, 6.35417) 鲁伊嫩
Rucphen (51.53167, 4.55833) 鲁克芬
Rozendaal (52.00583, 5.9625) 罗森达尔
Rozenburg (51.90417, 4.24861) 罗曾堡
Rottum (52.93659, 5.89447) 罗特姆
Rottevalle (53.14523, 6.10411) 罗特瓦勒
Rotterdam (51.9225, 4.47917) 鹿特丹
Rotsterhaule (52.91956, 5.85176) 罗特斯特豪勒
Rothem (50.87667, 5.73889) 罗特姆
Rossum (51.80083, 5.33333) 罗瑟姆
Roosteren (51.08333, 5.81806) 罗斯特伦
Roosendaal (51.53083, 4.46528) 鲁森达尔
Reduzum (53.11775, 5.78765) 雷德赞姆
Roodeschool (53.42083, 6.76667) 罗德斯霍尔
Rolde (52.98417, 6.64861) 罗尔德
Roermond (51.19417, 5.9875) 鲁尔蒙德
Roelofarendsveen (52.20333, 4.63333) 罗洛法伦斯费恩
Rockanje (51.87167, 4.07083) 罗坎耶
De Rips (51.55, 5.80972) 德里普斯
Rinsumageast (53.29695, 5.94931) 林苏马赫斯特
Rimburg (50.91583, 6.08472) 林堡
Rijswijk (52.03634, 4.32501) 莱斯韦克
Rijsoord (51.85083, 4.59583) 莱索尔德
Rijsbergen (51.5175, 4.69722) 莱斯贝亨
Rijpwetering (52.1925, 4.58333) 莱普韦特林
Ryptsjerk (53.22238, 5.91717) 里普特谢克
Rijnsburg (52.19, 4.44167) 莱恩斯堡
Rijnsaterwoude (52.19583, 4.67083) 莱恩萨特沃德
Rijen (51.59083, 4.91944) 莱恩
Rijckholt (50.79917, 5.73194) 莱克霍尔特
Rietmolen (52.14083, 6.6625) 里特莫伦
Riethoven (51.35417, 5.3875) 里特霍芬
Ridderkerk (51.8725, 4.60278) 里德克尔克
Rhoon (51.8575, 4.42222) 伦
Rhenoy (51.88333, 5.15278) 雷诺伊
Rhenen (51.95917, 5.56806) 雷嫩
Rheezerveen (52.56583, 6.525) 雷泽费恩
Reuver (51.28417, 6.07778) 勒弗尔
Reusel (51.3625, 5.16528) 勒瑟尔
Renswoude (52.07333, 5.54028) 伦斯沃德
Renkum (51.97667, 5.73333) 伦库姆
Renesse (51.7325, 3.775) 勒内瑟
Reijmerstok (50.79917, 5.8375) 雷梅尔斯托克
Reeuwijk (52.04667, 4.725) 雷乌维克
Reek (51.74583, 5.68194) 雷克
Ravenstein (51.79667, 5.65) 拉文斯泰因
Raerd (53.09763, 5.75993) 拉尔德
Ransdaal (50.865, 5.89167) 兰斯达尔
Randwijk (51.95333, 5.70833) 兰德韦克
Radewijk (52.57167, 6.70972) 拉德韦克
Raamsdonksveer (51.69667, 4.87361) 拉姆斯东克斯费尔
Raamsdonk (51.6875, 4.90833) 拉姆斯东克
Raam (51.65967, 5.63637) 拉姆
Raalte (52.38583, 6.275) 拉尔特
Quirijnstok (51.5843, 5.0981) 奎里因斯托克
Putten (52.25917, 5.60694) 普滕
Puth (50.95417, 5.87361) 普特
Purmerend (52.505, 4.95972) 普尔默伦德
Puiflijk (51.87833, 5.59028) 普伊夫莱克
Prinsenbeek (51.59833, 4.7125) 普林森贝克
Princenhage (51.57632, 4.73906) 普林森哈赫
Pottenberg (50.85135, 5.65668) 波滕贝赫
Posterholt (51.12333, 6.03472) 波斯特霍尔特
Poortvliet (51.54417, 4.14306) 波特弗利特
Poeldijk (52.02417, 4.21944) 波尔代克
Poederoijen (51.78667, 5.08056) 波德罗耶恩
