Niekerk (53.225, 6.35278) 尼克尔克
Niebert (53.16083, 6.32778) 尼贝特
Netersel (51.40333, 5.20833) 内特塞尔
Nes (53.44502, 5.774) 内斯
Neerkant (51.36833, 5.86667) 内尔坎特
Neerbeek (50.95, 5.81528) 内尔贝克
Neede (52.13417, 6.61389) 内德
Nederwoud (52.10083, 5.57083) 内德沃德
Nederwetten (51.49167, 5.52361) 内德韦滕
Nederweert (51.28583, 5.74861) 内德韦尔特
NederhemertNoord (51.76322, 5.17305) 北内德赫默特
Nederhemert (51.76518, 5.16817) 内德赫默特
NederHardinxveld (51.82879, 4.85489) 内德哈丁克斯费尔德
Nederasselt (51.77167, 5.74444) 内德阿塞尔特
Naastenbest (51.50484, 5.38579) 纳斯滕贝斯特
Naarden (52.29583, 5.1625) 纳尔登
Naaldwijk (51.99417, 4.20972) 纳尔德韦克
Mussel (52.955, 7.03889) 穆塞尔
Munstergeleen (50.975, 5.86389) 明斯特赫伦
Muiderberg (52.32583, 5.12083) 缪德贝赫
Muiden (52.33, 5.06944) 缪登
De Mortel (51.54, 5.70833) 德莫特尔
Mook (51.7525, 5.88194) 莫克
Montfort (51.12583, 5.94861) 蒙福特
Montfoort (52.04583, 4.95278) 蒙福尔特
Monster (52.02583, 4.175) 蒙斯特
Monnickendam (52.45833, 5.0375) 蒙尼克丹
Molenschot (51.5725, 4.88194) 莫伦斯霍特
Molenhoek (51.71113, 5.36809) 莫伦霍克
Munein (53.25269, 5.92026) 缪宁
Moesel (51.23828, 5.71778) 莫塞尔
Moerdijk (51.70167, 4.62639) 穆尔代克
Minnertsga (53.25104, 5.59513) 明纳茨加
Milsbeek (51.725, 5.94861) 米尔斯贝克
Mill (51.68833, 5.77917) 米尔
Milheeze (51.50167, 5.77917) 米尔赫泽
Mildam (52.93555, 6.00154) 米尔丹
Mijnsheerenland (51.79667, 4.4875) 明斯赫伦兰
Mijdrecht (52.20667, 4.8625) 米德雷赫特
Mierlo (51.44, 5.61944) 米尔洛
Midwoud (52.71667, 5.075) 米德沃德
Midwolda (53.195, 7.01389) 米德沃尔达
Midsland (53.38215, 5.28528) 米兹兰
Middenmeer (52.80667, 4.99861) 米登梅尔
Middenbeemster (52.54917, 4.9125) 米登贝姆斯特
Middelstum (53.34667, 6.64167) 米德尔斯图姆
Middelsluis (51.7425, 4.44167) 米德尔斯卢伊斯
Middelrode (51.66417, 5.41944) 米德尔罗德
Middelie (52.53233, 5.01835) 米德利
Middelharnis (51.7575, 4.16528) 米德尔哈尼斯
Middelbeers (51.46667, 5.25) 米德尔贝尔斯
Mheer (50.78, 5.79167) 米尔
Mitselwier (53.35987, 6.06703) 米策尔维尔
Meterik (51.455, 6.025) 梅特里克
Merum (51.17333, 5.95972) 梅鲁姆
Merselo (51.53, 5.92778) 梅尔塞洛
Merkelbeek (50.95389, 5.94069) 梅克尔贝克
Merenwijk (52.17655, 4.50885) 梅伦韦克
Meppel (52.69583, 6.19444) 梅珀尔
Menaam (53.21797, 5.66124) 梅纳姆
Meliskerke (51.51417, 3.50972) 梅利斯凯克
Melick (51.15917, 6.01667) 梅利克
Melderslo (51.46167, 6.08611) 梅尔德斯洛
Mekkelholt (52.23645, 6.89058) 梅克尔霍尔特
Meijel (51.34417, 5.88472) 梅耶尔
Megen (51.82167, 5.5625) 梅亨
Megchelen (51.83833, 6.39306) 梅赫伦
Meezenbroek (50.8968, 5.99051) 梅曾布鲁克
Meerveldhoven (51.41705, 5.41618) 梅尔费尔德霍芬
Meerssen (50.8875, 5.75) 梅尔森
Meers (50.96167, 5.74167) 梅尔斯
Meerlo (51.51333, 6.08472) 梅尔洛
Meeden (53.14, 6.92639) 梅登
Medemblik (52.77167, 5.10556) 梅德姆布利克
Meddo (52.01333, 6.70694) 梅多
Maurik (51.96083, 5.42222) 毛里克
Marum (53.14417, 6.2625) 马鲁姆
Martenshoek (53.16333, 6.73056) 马滕斯霍克
Marsum (53.2105, 5.72637) 马尔苏姆
Marrum (53.32277, 5.80198) 马鲁姆
Marknesse (52.70833, 5.87083) 马克内瑟
Markelo (52.235, 6.49861) 马克洛
Mariarade (50.92906, 5.92738) 玛丽亚拉德
Mariahout (51.54083, 5.57222) 玛丽亚豪特
Mariaheide (51.63333, 5.58056) 玛丽亚海德
Margraten (50.82083, 5.82083) 马尔赫拉滕
MarenKessel (51.79583, 5.39306) 马伦凯瑟尔
Mantgum (53.12865, 5.71924) 曼特胡姆
Malburgen West (51.96811, 5.89743) 马尔堡西
Makkum (53.05458, 5.40231) 马库姆
Makkinga (52.9809, 6.2174) 马金加
Magele (52.46917, 6.52083) 马赫勒
Macharen (51.80583, 5.54444) 马哈伦
Maastricht (50.84833, 5.68889) 马斯特里赫特
Maassluis (51.92333, 4.25) 马斯卢伊斯
Maasland (51.93417, 4.27222) 马斯兰德
Maaskantje (51.65833, 5.37083) 马斯坎特耶
Maasdijk (51.95917, 4.21389) 马斯代克
Maasdam (51.78917, 4.55556) 马斯丹
Maasbree (51.3575, 6.04861) 马斯布雷
