Maasbracht (51.13929, 5.88627) 马斯布拉赫特
Maartensdijk (52.155, 5.175) 马尔滕斯代克
Maarsseveen (52.14092, 5.07337) 马尔瑟费恩
Maarssen (52.13917, 5.04167) 马尔森
Maarsbergen (52.05833, 5.40556) 马尔斯贝亨
Maarn (52.06417, 5.37083) 马恩
Maarheeze (51.31167, 5.61667) 马尔赫泽
Luyksgestel (51.28917, 5.32361) 吕克斯赫斯特尔
Luttelgeest (52.74333, 5.85278) 吕特尔赫斯特
Lutjegast (53.23417, 6.25833) 吕特赫斯特
Lutjebroek (52.6975, 5.20417) 吕特布鲁克
Lunteren (52.085, 5.62222) 伦特伦
Loven (51.5648, 5.09748) 洛芬
Lottum (51.46167, 6.16111) 洛特姆
Losser (52.26083, 7.00417) 洛瑟尔
Loppersum (53.33167, 6.74722) 洛珀瑟姆
Lopikerkapel (51.99167, 5.04583) 洛皮克尔卡佩尔
Lopik (51.9725, 4.94861) 洛皮克
Loosbroek (51.67833, 5.50694) 洛斯布鲁克
Loon op Zand (51.6275, 5.075) 隆奥普赞德
Lombardijen (51.8738, 4.52192) 隆巴尔迪恩
Loil (51.95333, 6.14167) 洛伊尔
Loenen (52.1175, 6.01944) 洛嫩
Lochem (52.15917, 6.41111) 洛赫姆
Lobith (51.8625, 6.11806) 洛比特
Lithoijen (51.8025, 5.46389) 利托亨
Lith (51.80583, 5.43889) 利特
Lisserbroek (52.25667, 4.57222) 利瑟布鲁克
Lippenhuizen (53.01835, 6.09346) 利彭赫伊曾
Linschoten (52.0625, 4.91528) 林斯霍滕
Linne (51.155, 5.93889) 林讷
Lindenholt (51.8327, 5.7934) 林登霍尔特
Lindenheuvel (50.98509, 5.81667) 林登赫费尔
Limmen (52.56917, 4.69444) 林门
Limmel (50.86718, 5.70719) 林梅尔
Limbricht (51.01167, 5.8375) 林布里赫特
Lijnden (52.3525, 4.75694) 莱恩登
Lievendaal (51.44219, 5.43405) 列文达尔
Liesveld (51.9325, 4.83194) 列斯费尔德
Liessel (51.41333, 5.82083) 列瑟尔
Lieshout (51.52036, 5.59479) 列斯豪特
Lierop (51.41917, 5.67917) 列罗普
Lieren (52.1625, 5.98889) 列伦
Lienden (51.94833, 5.51806) 列登
Liempde (51.56917, 5.37222) 列姆德
Lichtenvoorde (51.98667, 6.56667) 利赫滕福尔德
Leveroy (51.24917, 5.84722) 莱弗罗伊
Leuth (51.83917, 5.99167) 勒特
Leusden (52.1325, 5.43194) 勒斯登
Leunen (51.51, 5.97917) 勒嫩
Leuken (51.25288, 5.7346) 勒肯
Lepelstraat (51.54833, 4.27639) 莱佩尔斯特拉特
Lennisheuvel (51.5725, 5.31528) 莱尼斯赫费尔
Lemmer (52.84618, 5.70912) 莱默尔
Lemiers (50.78583, 5.99306) 莱米尔斯
Lelystad (52.50833, 5.475) 莱利斯塔德
Leimuiden (52.22417, 4.66944) 莱默登
Leiderdorp (52.15833, 4.52917) 莱德多普
Leiden (52.15833, 4.49306) 莱顿
Leeuwen (51.21032, 5.99862) 勒乌文
Leeuwarden (53.20139, 5.80859) 吕伐登
Leesten (52.1279, 6.23217) 莱斯滕
Leersum (52.01167, 5.42778) 莱尔瑟姆
Leerdam (51.89333, 5.09167) 莱尔丹
Leens (53.36, 6.37917) 莱恩斯
Leende (51.35083, 5.55417) 莱恩德
Lauradorp (50.91229, 6.04591) 劳拉多普
Lathum (51.98667, 6.01944) 拉图姆
Langweer (52.95836, 5.72173) 朗韦尔
Langezwaag (52.98257, 6.0024) 朗厄兹瓦赫
Langeweg (51.64833, 4.66528) 朗厄韦赫
Langeraar (52.19333, 4.71111) 朗赫拉尔
Langenoord (52.18768, 5.38034) 朗赫诺德
Langenboom (51.70417, 5.73056) 朗亨博姆
Langeheit (52.492, 4.75849) 朗赫海特
Landsmeer (52.43083, 4.91528) 兰茨梅尔
Lammerenburg (51.46667, 3.55833) 拉默伦堡
Lage Mierde (51.40583, 5.14722) 拉赫米尔德
LaagSoeren (52.08417, 6.075) 拉赫索伦
Kwintsheul (52.01333, 4.25556) 昆特斯赫尔
Kwadijk (52.52833, 4.98056) 夸代克
Kunrade (50.87769, 5.93107) 昆拉德
Kuinre (52.7875, 5.84028) 库因勒
Kudelstaart (52.23417, 4.75139) 库德尔斯塔尔特
Kruisstraat (51.73167, 5.39444) 克鲁斯特拉特
Kruisland (51.56917, 4.40972) 克鲁伊斯兰
Kruisberg (50.94234, 5.96519) 克鲁伊斯贝赫
Krooswijk (51.64665, 4.59203) 克罗斯韦克
Kronenberg (51.41583, 6) 克罗嫩贝赫
Kreileroord (52.84167, 5.08194) 克雷勒奥尔德
Krakeel (52.72339, 6.51146) 克拉克尔
Kraggenburg (52.6625, 5.9) 克拉亨堡
Koudum (52.91551, 5.44834) 考杜姆
Koudekerke (51.48167, 3.55417) 考德克尔克
Korvel (51.54954, 5.07079) 科尔费尔
Korteraar (52.17333, 4.73194) 科特拉尔
Kortenhoef (52.23917, 5.10694) 科滕霍夫
Korrewegwijk (53.23235, 6.56804) 科雷韦赫维克
Kornhorn (53.18167, 6.24306) 科恩霍恩
Kootwijkerbroek (52.15083, 5.66944) 科特韦克布鲁克
