Avennes (50.6287, 5.11687) 阿文内斯
Avelgem (50.77618, 3.44502) 阿弗尔海姆
Auvelais (50.4504, 4.63228) 奥弗莱
AutreEglise (50.66921, 4.90381) 奥特雷格利斯
Autelbas (49.64813, 5.86799) 奥特尔巴
Aulnois (50.34009, 3.90409) 奥诺伊
Audregnies (50.38324, 3.72128) 奥德雷尼
Auderghem (50.81667, 4.43333) 奥德赫姆
Aubel (50.70189, 5.85812) 奥贝尔
Aubange (49.56652, 5.80492) 奥邦日
Attre (50.60732, 3.83921) 阿特尔
Attert (49.75035, 5.78634) 阿特尔
Attenrode (50.87782, 4.92438) 阿滕罗德
Attenhoven (50.76591, 5.09296) 阿滕霍芬
Athus (49.56475, 5.83736) 阿图斯
Ath (50.62937, 3.77801) 阿特
Astene (50.98512, 3.56654) 阿斯特内
Assesse (50.36934, 5.02204) 阿塞斯
Assent (50.95187, 5.01473) 阿森特
Assenois (49.80244, 5.46371) 阿瑟努瓦
Assenede (51.22598, 3.75085) 阿瑟内德
Assebroek (51.19367, 3.2623) 阿瑟布鲁克
Asse (50.91011, 4.19836) 阿瑟
Asper (50.9137, 3.65126) 阿斯珀
Aspelare (50.84189, 3.95743) 阿斯佩拉尔
As (50.22387, 12.19499) 阿斯
Arville (50.03203, 5.31665) 阿尔维尔
Arsimont (50.42859, 4.63872) 阿尔西蒙
Arquennes (50.56765, 4.27341) 阿尔肯
Arlon (49.68333, 5.81667) 阿尔隆
Argenteau (50.70211, 5.68448) 阿尔让托
Arendonk (51.32267, 5.08289) 阿伦东克
Ardooie (50.9757, 3.19736) 阿尔多伊
Archennes (50.75261, 4.66962) 阿尔谢讷
ArcAinieres (50.70151, 3.55433) 阿尔卡尼耶尔
Arbre (50.61037, 3.81517) 阿尔布尔
AppelterreEichem (50.81597, 3.97808) 阿佩尔特雷艾赫姆
Appels (51.03225, 4.06141) 阿佩尔斯
Anzegem (50.837, 3.47786) 安泽海姆
Anvaing (50.68318, 3.56144) 安万
Antwerpen (51.22047, 4.40026) 安特卫普
Antoing (50.56765, 3.4492) 安托因
Anthisnes (50.48323, 5.519) 安蒂内斯
Antheit (50.54927, 5.24022) 安泰
Anseroeul (50.72739, 3.5237) 安瑟勒
Anseremme (50.23996, 4.89904) 安瑟雷姆
Ans (50.6623, 5.52029) 安斯
AnnevoieRouillon (50.34776, 4.84961) 安讷瓦鲁永
Anhee (50.31039, 4.87827) 安赫
Angre (50.36583, 3.69535) 昂格尔
Angleur (50.6113, 5.59942) 昂勒尔
Andrimont (50.61298, 5.88294) 安德里蒙
Anderlues (50.40704, 4.27136) 安德尔吕
Anderlecht (50.83619, 4.31454) 安德莱赫特
Andenne (50.48941, 5.09513) 安登
Ampsin (50.54153, 5.2779) 安普辛
Amougies (50.74446, 3.50675) 阿穆吉
Ambresin (50.63068, 5.03097) 安布雷桑
Ambleve (50.35357, 6.17002) 安布勒夫
Amberloup (50.03123, 5.52981) 安贝尔卢
Amay (50.54829, 5.30974) 阿梅
Alveringem (51.01238, 2.71117) 阿尔弗林赫姆
Alsemberg (50.74134, 4.33754) 阿尔瑟姆贝赫
Alleur (50.67465, 5.51316) 阿勒尔
Alle (47.42542, 7.13018) 阿莱
Alken (50.87553, 5.30558) 阿尔肯
Aisemont (50.40491, 4.65185) 艾瑟蒙
Aiseau (50.41158, 4.58671) 艾瑟
Aischeen-Refail (50.60009, 4.83775) 艾什昂雷费尔
Agimont (50.1659, 4.79579) 阿吉蒙
Adinkerke (51.07409, 2.59914) 阿丁克尔克
Adegem (51.20509, 3.4954) 阿德海姆
Acoz (50.35904, 4.53263) 阿科兹
Achet (50.33346, 5.17516) 阿谢
Achene (50.26701, 5.04539) 阿谢讷
Achel (51.253, 5.47977) 阿赫尔
Abee (50.47328, 5.3555) 阿贝
Aartselaar (51.13412, 4.38678) 阿尔特塞拉尔
Aarsele (50.99663, 3.41954) 阿尔塞勒
Aarschot (50.98715, 4.83695) 阿尔斯霍特
Aalterbrug (51.1093, 3.43378) 阿尔特布鲁赫
Aalter (51.09017, 3.44693) 阿尔特
Aalst (50.93604, 4.0355) 阿尔斯特
Aalbeke (50.77848, 3.22952) 阿尔贝克
Aaigem (50.88921, 3.93674) 阿伊亨
Frasneslez-Anvaing (50.69211, 3.63562) 弗拉讷莱安万
Jandrain (50.67438, 4.98024) 让德兰
RamilliesOffus (50.63651, 4.91535) 拉米利奥菲斯
Chastre (50.60067, 4.634) 沙斯特尔
Lennik (50.80903, 4.16219) 伦尼克
Laakdal (51.08067, 5.00556) 拉克达尔
ScherpenheuvelZichem (51.01041, 4.97492) 斯赫尔彭赫费尔齐赫姆
TieltWinge (50.91743, 4.88368) 蒂尔特温赫
Reuland (50.19553, 6.13548) 罗伊兰
Mozet (50.44461, 4.98539) 莫泽
Aartrijke (51.11915, 3.09076) 阿尔特赖克
Terkoest (50.89832, 5.27623) 特尔库斯特
Negenmanneke (50.80458, 4.28506) 内亨曼内克
Zorgo (12.24922, -0.61527) 佐尔戈
Zitenga (12.74846, -1.30989) 齐滕加
