Risor (58.72057, 9.23422) - 里瑟尔
Rindal (63.05547, 9.21151) - 林达尔
Reinsvoll (60.67977, 10.62175) - 雷因斯沃尔
Rensvik (63.09843, 7.82026) - 伦斯维克
Reine (67.93249, 13.08955) - 雷讷
Raufoss (60.72604, 10.6133) - 劳福斯
Raudeberg (61.98501, 5.13796) - 劳德贝格
Ranemsletta (64.49447, 11.94912) - 拉内姆斯莱塔
Randaberg (58.99955, 5.61871) - 兰达贝格
Rakkestad (59.42513, 11.34535) - 拉克斯塔
Raholt (60.27513, 11.17901) - 拉霍尔特
Prestfoss (60.04343, 9.6352) - 普雷斯特福斯
Prestestranda (59.09773, 9.05866) - 普雷斯特斯特兰达
Porsgrunn (59.14054, 9.6561) - 波尔斯格伦
Oystese (60.38825, 6.19251) - 奥伊斯特塞
Farnes (61.3085, 7.79694) - 法尔内斯
Otta (61.7712, 9.53529) - 奥塔
Osoyro (60.18385, 5.4638) - 奥瑟于勒
Oslo (59.91273, 10.74609) - 奥斯陆
Os (62.49647, 11.22326) - 奥斯
Ornes (66.86878, 13.70579) - 奥尔内斯
Orkanger (63.30668, 9.85025) - 奥尔康厄尔
Orje (59.48023, 11.66016) - 奥尔耶
Oppdal (62.59431, 9.6912) - 奥普达尔
Oltedal (58.8286, 6.03687) - 奥尔特达尔
Odda (60.06912, 6.54565) - 奥达
Notodden (59.55936, 9.25853) - 诺托登
Norheimsund (60.37089, 6.14562) - 诺尔海姆松德
Noresund (60.17985, 9.62411) - 诺雷松德
Nordkisa (60.18578, 11.26302) - 诺尔德基萨
Nordfjordeid (61.9122, 5.98557) - 诺尔德菲尤尔德
Nodeland (58.15517, 7.83576) - 诺德兰
Nesttun (60.31821, 5.35317) - 内斯通
Nesna (66.19817, 13.01844) - 内斯纳
Nesbyen (60.56809, 9.10274) - 内斯比恩
Naustdal (61.51108, 5.71694) - 瑙斯达尔
Narvik (68.43838, 17.4272) - 纳尔维克
Namsskogan (64.92886, 13.15954) - 纳姆斯科根
Namsos (64.46624, 11.49572) - 纳姆索斯
Naerbo (58.66546, 5.63788) - 纳尔博
Mysen (59.55354, 11.32578) - 米森
Myre (68.914, 15.07843) - 米勒
Myra (58.74921, 8.86254) - 米拉
Mosterhamn (59.69919, 5.38585) - 莫斯特哈姆恩
Mosjoen (65.83599, 13.19076) - 莫舍恩
Moldjord (67.00601, 14.5743) - 莫尔约德
Molde (62.73752, 7.15912) - 莫尔德
Fyresdal (59.18343, 8.0921) - 费勒斯达尔
Mo i Rana (66.31278, 14.14278) - 莫伊拉纳
Moi (58.45674, 6.55184) - 莫伊
Moelv (60.93333, 10.7) - 莫尔夫
Mo (60.81625, 5.80575) - 莫
Mjondalen (59.75075, 10.02477) - 米约达伦
Midsund (62.67387, 6.67412) - 米德松德
Meraker (63.41406, 11.74298) - 梅拉克尔
Melsomvik (59.22394, 10.33616) - 梅尔松维克
Melhus (63.28555, 10.27806) - 梅尔胡斯
Melbu (68.50246, 14.79962) - 梅尔布
Maura (60.2583, 11.03192) - 毛拉
Masfjorden (60.79887, 5.30418) - 马斯峡湾
Manger (60.64145, 5.04136) - 曼格尔
Malvik (63.43333, 10.68333) - 马尔维克
Maloy (61.93535, 5.11362) - 马勒伊
Malm (64.07534, 11.22398) - 马尔姆
Magnor (59.95092, 12.20151) - 马格诺尔
Lysaker (59.90994, 10.63545) - 吕萨克尔
Lyngdal (58.1376, 7.07002) - 吕恩达尔
Lunde (59.29832, 9.10268) - 吕恩德
Lundamo (63.15216, 10.28555) - 吕恩达莫
Loten (60.81941, 11.34209) - 洛滕
Lorenfallet (60.01976, 11.23003) - 洛伦法莱特
Lopsmarka (67.31343, 14.44934) - 洛普斯马克
Lonevag (60.52556, 5.49563) - 洛内瓦格
Fossbergom (61.83772, 8.56842) - 福斯贝尔戈姆
Lokken Verk (63.12582, 9.70518) - 洛肯韦尔克
Loken (59.79553, 11.46597) - 洛肯
Lofthus (60.33263, 6.66167) - 洛夫图斯
Lodingen (68.41373, 15.99626) - 洛丁根
Loding (67.30055, 14.73852) - 洛丁
Lindeberg (60.03831, 11.12421) - 林德贝里
Lindas (60.73639, 5.16102) - 林达斯
Lillestrom (59.95597, 11.04918) - 利勒斯特罗姆
Lillesand (58.24879, 8.3778) - 利勒桑
Lillehammer (61.11514, 10.46628) - 利勒哈默尔
Liknes (58.31216, 6.9618) - 利克内斯
Levanger (63.74644, 11.29963) - 勒旺厄尔
Lervik (59.27119, 10.7461) - 勒维克
Leland (34.25628, -78.04471) - 利兰
Leknes (68.14746, 13.61151) - 莱克内斯
Leirsund (59.99682, 11.08746) - 莱尔松德
Leira (60.97006, 9.29488) - 莱拉
Lauvsnes (64.50061, 10.89396) - 劳夫斯内斯
Larvik (59.05328, 10.03517) - 拉尔维克
Larsnes (62.20282, 5.57729) - 拉尔斯内斯
Larkollen (59.33196, 10.66687) - 拉尔科伦
Langevag (59.60726, 5.2343) - 朗厄瓦格
Langesund (59.00071, 9.74876) - 朗厄松
Langangen (59.08769, 9.8046) - 朗安根
Laerdalsoyri (61.10001, 7.47374) - 莱达尔瑟于里
Kyrksaeterora (63.29057, 9.08909) - 居尔克赛特奥拉
