Lobuche (27.94806, 86.81017) 洛布切
Lamjung (28.20992, 84.3638) 蓝毡
Lahan (26.72022, 86.48258) 拉汉
Kodari (27.96057, 85.95667) 科达里
Kirtipur (27.67872, 85.2775) 基尔蒂普尔
Kharpu (30.04651, 82.15714) 卡尔普
Khadbari (27.37604, 87.20767) 卡德巴里
Kathmandu (27.70169, 85.3206) 加德满都
Kalika Bajar (29.10201, 81.67982) 卡利卡巴扎尔
Jumla (29.27472, 82.18383) 朱姆拉
Janakpur (26.72882, 85.92628) 贾纳克普尔
Itahari (26.66371, 87.27403) 伊塔哈里
Hetauda (27.42839, 85.03219) 赫陶达
Gulariya (28.2058, 81.34532) 古拉里亚
Ghorahi (28.04324, 82.48625) 戈拉希
Gaur (26.76448, 85.27841) 高尔
Dhulikhel (27.6221, 85.54281) 杜利凯尔
Dharan (26.81436, 87.27972) 达兰
Dhankuta (26.98333, 87.33333) 丹库塔
Dhangadhi (28.70137, 80.58975) 当加迪
Darchula (29.83, 80.55) 达尔楚拉
Dailekh (28.84434, 81.71011) 戴莱克
Amargadhi (29.29922, 80.58333) 阿玛加迪
Chhibro (29.92786, 81.83956) 奇布罗
Chainpur (29.55637, 81.19858) 切恩普尔
Butwal (27.70055, 83.44836) 布特瓦尔
Birganj (27.01709, 84.8808) 比尔根杰
Biratnagar (26.45505, 87.27007) 比拉特纳加尔
Bhojpur (27.1715, 87.04607) 博杰普尔
Bhaktapur (27.67298, 85.43005) 巴克塔普尔
Siddharthanagar (27.5, 83.45) 悉达多纳加尔
Bhadrapur (26.54404, 88.09436) 巴德拉普尔
Bardiya (28.30058, 81.3536) 巴迪亚
Banepa (27.63245, 85.52192) 巴内帕
Baglun (28.26728, 83.59956) 巴格伦
Achham (29.05, 81.3) 阿查姆
Besisahar (28.23111, 84.3775) 贝西萨哈尔
Birendranagar (28.59669, 81.61658) 比伦德拉纳加尔
Dipayal (29.26083, 80.94) 迪帕亚尔
Nepalgunj (28.05, 81.61667) 尼泊尔根杰
Chame (8.58148, -79.88433) 查梅
Khudi (28.28216, 84.35912) 库迪
Chitre (7.96082, -80.42944) 奇特雷
Surkhet (28.51746, 81.7787) 苏尔凯特
Jomsom (28.78436, 83.73513) 乔姆索姆
Nawal (28.64831, 84.10279) 纳瓦尔
Inaruwa (26.60675, 87.1478) 伊纳鲁瓦
kankrabari Dovan (27.62881, 85.45934) 坎克拉巴里多万
Triyuga (26.7919, 86.699) 特里尤加
Madhyapur Thimi (27.68056, 85.3875) 马德亚普尔提米
Chapali Bhadrakali (27.7821, 85.37426) 查帕利巴德拉卡利
Bhattarai Danda (27.88333, 83.93333) 巴特拉伊丹达
Dihi (27.87552, 83.92759) 迪希
Sundar Basti (27.88316, 83.93274) 孙达尔巴斯蒂
Chhetrapa1 (27.67633, 86.11662) 切特拉帕1
Yangor (-0.53536, 166.91048) 扬戈尔
Uaboe (-0.51393, 166.92384) 乌阿博
Baiti (-0.50803, 166.92945) 拜提
Ijuw (-0.521, 166.95813) 伊久
Anibare (-0.52792, 166.95249) 阿尼巴雷
Anabar (-0.50845, 166.95326) 阿纳巴尔
Yaren (-0.55085, 166.9252) 亚伦
Arijejen (-0.52545, 166.91247) 阿里杰恩
Denigomodu (-0.52574, 166.91259) 德尼戈莫杜
Alofi (-19.05294, -169.91957) 阿洛菲
Arthur's Pass (-42.95, 171.56667) 亚瑟通道
Yaldhurst (-43.51667, 172.51667) 亚尔德赫斯特
Wingatui (-45.88333, 170.38333) 温加图伊
Wigram (-43.55, 172.55) 维格拉姆
Whitianga (-36.83333, 175.7) 惠蒂安加
Whangarei Heads (-35.81667, 174.5) 旺阿雷角
Whangaparaoa (-36.63333, 174.76667) 旺阿帕拉奥阿
Whangamata (-37.2, 175.86667) 旺阿马塔
Whakatu (-39.6, 176.88333) 瓦卡图
Whakarongo (-40.33333, 175.66667) 瓦卡隆戈
West Melton (-43.51667, 172.36667) 西梅尔顿
West Eyreton (-43.35, 172.38333) 西艾尔顿
Wellsford (-36.28333, 174.51667) 韦尔斯福德
Washdyke (-44.35, 171.23333) 沃什代克
Whanganui (-39.93333, 175.05) 旺阿努伊
Wallaceville (-41.13333, 175.05) 华莱士维尔
Wallacetown (-46.33333, 168.28333) 华莱士镇
Waiuku (-37.24806, 174.73489) 怀乌库
Waitoa (-37.61667, 175.63333) 怀托阿
Waitati (-45.75, 170.56667) 怀塔蒂
Waitangi (-35.27025, 174.08062) 怀唐伊
Waitakere (-36.85126, 174.54477) 怀塔克雷
Wairau Valley (-41.56667, 173.53333) 怀劳谷
Wairakei (-38.63333, 176.1) 怀拉凯
Waipu (-35.98333, 174.45) 怀普
Waiouru (-39.47753, 175.66834) 怀乌鲁
Wainuiomata (-41.26667, 174.95) 怀努伊奥马塔
Wainui (-38.68873, 178.07048) 怀努伊
Waimauku (-36.75, 174.5) 怀毛库
Waimate North (-35.31667, 173.88333) 怀马特北
Waimana (-38.15, 177.08333) 怀马纳
Waikuku Beach (-43.28333, 172.71667) 怀库库海滩
Waikowhai (-43.45, 169.88333) 怀科怀
Waikiwi (-46.38333, 168.33333) 怀基维
Waikawa (-41.26667, 174.05) 怀卡瓦
