Canazas Abajo (8.14693, -80.71882) 卡纳萨斯阿瓦霍
Canas Gordas (8.74716, -82.9172) 卡纳斯戈尔达斯
Cambutal (7.26573, -80.48725) 坎布塔尔
Camaron Arriba (8.38774, -81.9965) 卡马龙阿里巴
Calovebora (8.78703, -81.21056) 卡洛韦博拉
Calobre (8.32078, -80.84104) 卡洛布雷
Calidonia (7.95756, -81.38633) 卡利多尼亚
Caldera (-11.08617, -77.45899) 卡尔德拉
Calabacito (8.24545, -81.07978) 卡拉巴西托
Caimitillo (9.15912, -79.53656) 卡伊米蒂略
Cacique (9.6118, -79.61581) 卡西克
Cabuya (8.57656, -79.92335) 卡布亚
Cabra Numero Uno (9.1121, -79.33447) 卡布拉努梅罗乌诺
Caballero (8.54507, -80.19718) 卡瓦列罗
Burunga (8.96185, -79.67228) 布伦加
Bugabita Arriba (8.52573, -82.63834) 布加比塔阿里巴
Bugaba (8.48606, -82.62023) 布加巴
Buen Retiro (8.41774, -80.23462) 布恩雷蒂罗
Brujas (8.5861, -78.53145) 布鲁哈斯
Brenon (8.62626, -82.81349) 布雷农
Boquete (8.78024, -82.44136) 博克特
Boqueron (18.02691, -67.16907) 博克龙
Bocas del Toro (9.34031, -82.24204) 博卡斯德尔托罗
Boca de Parita (8.01114, -80.45065) 博卡德帕里塔
Boca de Rio Indio (9.19273, -80.19068) 博卡德里奥印第奥
Boca de Rio Chiriqui (8.84065, -81.56461) 博卡德里奥奇里基
Boca de Cupe (8.03464, -77.58614) 博卡德库佩
Bisvalles (8.18465, -81.22107) 比斯瓦列斯
Bisira (8.9008, -81.86358) 比西拉
Bijagual (8.37399, -80.26105) 比哈瓜尔
Bayano (7.6381, -80.38466) 巴亚诺
Isla Bastimentos (9.3, -82.13333) 巴斯蒂门托斯岛
Bastimentos (9.34862, -82.21091) 巴斯蒂门托斯
Barranco Colorado (8.38777, -80.63673) 巴兰科科罗拉多
Barranco (9.51984, -82.70424) 巴兰科
Barnizal (8.4046, -80.77765) 巴尔尼萨尔
Bajos de Gueera (7.54424, -80.62623) 巴霍斯德格埃拉
Bajo Corral (7.60637, -80.25857) 巴霍科拉尔
Bajo Boquete (8.77058, -82.43306) 巴霍博克特
Bahia Azul (9.14176, -81.89425) 巴伊亚阿苏尔
Bagala (8.46711, -82.52688) 巴加拉
Ave Maria (7.32481, -80.45361) 阿维玛丽亚
Aserrio de Gariche (8.48641, -82.78932) 阿塞里奥德加里切
Arraijan (8.9398, -79.64038) 阿赖汉
Arosemena (8.97343, -79.96527) 阿罗塞梅纳
Armila (8.66269, -77.45142) 阿尔米拉
La Arenosa (9.04223, -79.94958) 拉阿雷诺萨
Ancon (8.96015, -79.5514) 安孔
Altos de Gueera (7.53123, -80.62094) 阿尔托斯德格埃拉
Alto Quiel (8.80773, -82.47073) 阿尔托基尔
Alto Lino (8.80043, -82.4365) 阿尔托利诺
Alto del Espino (8.8472, -79.84105) 阿尔托德尔埃斯皮诺
Alto de La Estancia (8.59234, -80.17643) 阿尔托德拉埃斯坦西亚
Alto Caballero (8.29324, -81.67511) 阿尔托卡瓦列罗
Alto Boquete (8.73615, -82.43331) 阿尔托博克特
Almirante (9.30091, -82.4018) 阿尔米兰特
Alcalde Diaz (9.12273, -79.55667) 阿尔卡尔德迪亚斯
Alanje (8.39997, -82.55873) 阿兰赫
Ailigandi (9.2281, -78.02778) 艾利甘迪
Agua de Salud (8.5, -81.464) 阿瓜德萨卢德
Aguacatal (8.4667, -82.45559) 阿瓜卡塔尔
Achutupo (9.19827, -77.98729) 阿楚图波
Achiote (9.22237, -80.01889) 阿乔特
Pasiga (8.94079, -78.90895) 帕西加
Ipeti Choco (8.96991, -78.51469) 伊佩蒂乔科
Jingurudo (7.87747, -78.08388) 金古鲁多
Santa Rita Arriba (9.33263, -79.79159) 圣丽塔阿里巴
Lajas Blancas (8.415, -77.80872) 拉哈斯布兰卡斯
Union Choco (8.08404, -77.53507) 乌尼翁乔科
Sambu (8.0254, -78.20927) 桑布
Puerto Indio (8.02171, -78.20528) 印第奥港
La Tollosa (7.99016, -81.32575) 拉托约萨
Villa Lourdes (7.80985, -80.4723) 露德斯别墅
Cedro Arriba (7.78146, -80.53109) 塞德罗阿里巴
Oria Arriba (7.50749, -80.20603) 奥里亚阿里巴
Nuevo Tonosi (9.55576, -79.61259) 努埃沃托诺西
Villa Unida (9.19176, -79.62368) 乌尼达别墅
Gonzalillo (9.09779, -79.51313) 冈萨利略
Nuevo Belen (9.08929, -79.39177) 努埃沃贝伦
Las Tablas Abajo (7.79376, -80.25254) 拉斯塔布拉斯阿瓦霍
Union de Azuero (9.15771, -79.16783) 阿苏埃罗联合
Torti (8.92151, -78.39845) 托尔蒂
Barriales (8.59396, -78.38409) 巴里亚莱斯
Zapallal (8.64945, -78.12862) 萨帕亚尔
Quebrada Honda (8.63607, -78.11224) 克布拉达翁达
Villa Darien (8.54518, -78.00797) 达连别墅
Camoganti (8.04171, -77.88682) 卡莫甘蒂
Agua Fria Numero Uno (8.85957, -78.19776) 阿瓜弗里亚努梅罗乌诺
Bayamon (18.39856, -66.15572) 巴亚蒙
Union Santena (8.83502, -78.6489) 桑特纳联合
Contadora (8.62483, -79.03748) 孔塔多拉
Cayo de Agua (9.15247, -82.05801) 卡约德阿瓜
Norteno (9.00308, -82.31476) 诺尔特诺
Barranco Adentro (9.53163, -82.72867) 巴兰科阿登特罗
Quebrada del Rosario (7.71238, -80.74222) 克布拉达德尔罗萨里奥
La Bonita (8.61903, -82.76392) 拉博尼塔
Paso Canoas Arriba (8.56516, -82.82214) 帕索卡诺阿斯阿里巴
Cuervito Abajo (8.46397, -82.84121) 库埃尔维托阿瓦霍
Chuchupate (8.43592, -82.86219) 丘丘帕特
Finca Balsa (8.42891, -82.89726) 芬卡巴尔萨
