Radnevo (42.3, 25.93333) 拉德内沃
Parvomaytsi (43.15, 25.65) 帕尔沃马伊齐
Parvomay (42.1, 25.21667) 帕尔沃马伊
Provadia (43.18333, 27.43333) 普罗瓦迪亚
Primorsko (42.26791, 27.75611) 普里莫尔斯科
Veliki Preslav (43.16667, 26.81667) 大普雷斯拉夫
Pravets (42.89163, 23.91525) 普拉韦茨
Porominovo (42.07641, 23.08592) 波罗米诺沃
Pordim (43.38333, 24.85) 波尔迪姆
Popovo (43.35, 26.23333) 波波沃
Pomorie (42.56326, 27.62986) 波莫里耶
Polski Trambesh (43.37233, 25.63525) 波尔斯基特兰贝什
Plovdiv (42.15, 24.75) 普罗夫迪夫
Pliska (43.36667, 27.11667) 普利斯卡
Pleven (43.41667, 24.61667) 普列文
Pirdop (42.7, 24.18333) 皮尔多普
Petrich (41.39846, 23.20702) 佩特里奇
Peshtera (42.03372, 24.29995) 佩什特拉
Perushtitsa (42.05, 24.55) 佩鲁什蒂察
Pernik (42.6, 23.03333) 佩尔尼克
Iskar (43.45963, 24.25739) 伊斯卡尔
Pazardzhik (42.2, 24.33333) 帕扎尔吉克
Pavlikeni (43.24278, 25.32194) 帕夫利克尼
Pavel Banya (42.6, 25.2) 帕维尔巴尼亚
Panagyurishte (42.49518, 24.19021) 帕纳久里什泰
Oryahovo (43.73805, 23.95874) 奥里亚霍沃
Opan (42.21667, 25.7) 奥潘
Opaka (43.45, 26.16667) 奥帕卡
Omurtag (43.1, 26.41667) 奥穆尔塔格
Obzor (42.81998, 27.88007) 奥布佐尔
Novi Pazar (43.13667, 20.51222) 新帕扎尔
Nova Zagora (42.48333, 26.01667) 新扎戈拉
Nikopol (47.56826, 34.39126) 尼科波尔
NikolaKozlevo (43.56667, 27.23333) 尼古拉科兹列沃
Nikolaevo (42.63333, 25.8) 尼古拉耶沃
Nevestino (42.25465, 22.84899) 内韦斯蒂诺
Nesebar (42.65921, 27.73602) 内塞巴尔
Nedelino (41.45602, 25.08008) 内德利诺
Rupite (41.44245, 23.24168) 鲁皮特
Maglizh (42.6, 25.55) 马格利日
Mizia (43.68623, 23.85371) 米齐亚
Mirkovo (42.7, 23.98333) 米尔科沃
Mineralni Bani (41.91667, 25.35) 矿泉浴场
Montana (43.4125, 23.225) 蒙大拿
Tsarevo (42.16955, 27.84541) 察雷沃
Mezdra (43.15, 23.7) 梅兹德拉
Medovene (43.76667, 26.51667) 梅多韦内
Medkovets (43.62403, 23.16876) 梅德科韦茨
Malko Tarnovo (41.97958, 27.52477) 马尔科塔尔诺沃
Makresh (43.76794, 22.66406) 马克雷什
Madzharovo (41.63461, 25.86439) 马贾罗沃
Madan (41.49869, 24.93973) 马丹
Lyubimets (41.84432, 26.08115) 柳比梅茨
Lyaskovets (43.11111, 25.72833) 利亚斯科韦茨
Lukovit (43.2, 24.16667) 卢科维特
Laki (41.85, 24.81667) 拉基
Loznitsa (43.36667, 26.6) 洛兹尼察
Lovech (43.13333, 24.71667) 洛维奇
Lom (43.8317, 23.23793) 洛姆
Levski (43.36667, 25.13333) 列夫斯基
Letnitsa (43.31167, 25.07333) 列特尼察
Lesichovo (42.35626, 24.1119) 列西乔沃
Lakatnik (43.05, 23.4) 拉卡特尼克
Kyustendil (42.28389, 22.69111) 居斯滕迪尔
Kardzhali (41.65, 25.36667) 卡尔贾利
Kula (38.54726, 28.64976) 库拉
Kubrat (43.79658, 26.50063) 库布拉特
Krushari (43.81675, 27.75552) 克鲁沙里
Krumovgrad (41.47127, 25.65485) 克鲁莫夫格勒
Krivodol (43.37444, 23.48444) 克里沃多尔
Krichim (42.05, 24.46667) 克里钦
Kresna (41.73333, 23.15) 克雷斯纳
Kranevo (43.34157, 28.05759) 克拉内沃
Kozloduy (43.77691, 23.73001) 科兹洛杜伊
Koynare (43.35, 24.13333) 科伊纳雷
Kotel (42.88333, 26.45) 科特尔
Kostinbrod (42.81667, 23.21667) 科斯廷布罗德
Koprivshtitsa (42.63333, 24.35) 科普里夫什蒂察
Kolarovo (47.92294, 17.98467) 科拉罗沃
Kocherinovo (42.08439, 23.0571) 科切里诺沃
Knezha (43.5, 24.08333) 克内扎
Klisura (42.69334, 24.45019) 克利苏拉
Kiten (43.08333, 27.31667) 基滕
Kirkovo (41.32715, 25.36379) 基尔科沃
Kilifarevo (42.98333, 25.63333) 基利法雷沃
Tsar Kaloyan (43.61667, 26.25) 察尔卡洛扬
Hisarya (42.5, 24.7) 希萨里亚
Hayredin (43.60193, 23.66135) 哈伊雷丁
Haskovo (41.93415, 25.55557) 哈斯科沃
Harmanli (41.93233, 25.90172) 哈尔曼利
Hadzhidimovo (41.52222, 23.86861) 哈吉迪莫沃
Kermen (42.5, 26.25) 克尔门
Kazanlak (42.61667, 25.4) 卡赞勒克
Kaynardzha (43.99278, 27.50713) 卡伊纳尔贾
Kavarna (43.43601, 28.33953) 卡瓦尔纳
Kaspichan (43.31667, 27.16667) 卡斯皮昌
Karnobat (42.65, 26.98333) 卡尔诺巴特
Karlovo (42.63333, 24.8) 卡尔洛沃
Kaolinovo (43.61667, 27.11667) 卡奥利诺沃
Kameno (42.57084, 27.29875) 卡梅诺
