Tabogon (10.9412, 124.0282) 塔博贡
Taboc (8.87833, 124.7975) 塔博克
Tablac (17.21568, 120.45428) 塔布拉克
Tabinay (13.4871, 120.9566) 塔比奈
Tabina (7.4669, 123.4081) 塔比纳
Tabid (8.1085, 123.7801) 塔比德
Tabiauan (6.02806, 121.89355) 塔比亚万
Tabango (11.3077, 124.373) 塔邦戈
Tabalong (9.62157, 123.81231) 塔巴隆
Tabaco (13.35861, 123.73361) 塔巴科
Tabaan (16.3, 120.51667) 塔巴安
Taal (13.87992, 120.92311) 塔尔
Suyan (6.06028, 125.38528) 苏延
Suso (17.3594, 120.4611) 苏索
Surup (6.39035, 126.14558) 苏鲁普
Surigao (9.789, 125.495) 苏里高
Surallah (6.37527, 124.74521) 苏拉拉
Sungai (8.45139, 124.40278) 松盖
Sumpong (8.16333, 125.11833) 松蓬
Sumisip (6.41972, 121.97139) 苏米西普
Sumilao (8.28722, 124.94556) 苏米劳
Sumagui (12.79532, 121.47401) 苏马圭
Sumag (10.60139, 122.91924) 苏马格
Sumabnit (16.0303, 120.5832) 苏马布尼特
Sulucan (14.79448, 120.92594) 苏鲁坎
Sultan Kudarat (7.22889, 124.25778) 苏丹库达拉特
Sulop (6.59861, 125.34361) 苏洛普
Sulit (6.23611, 125.02056) 苏利特
Sulat (11.81028, 125.45444) 苏拉特
Sulangan (11.1373, 123.7228) 苏兰干
Sugpon (16.8434, 120.5157) 苏贡
Sugod (12.987, 124.0805) 苏戈德
Sugcad (13.36667, 123.7) 苏格卡德
Sugbongkogon (8.95694, 124.79111) 苏邦科贡
Sugal (5.66222, 125.46167) 苏加尔
Sudipen (16.9056, 120.4617) 苏迪彭
Suklayin (15.7574, 121.5503) 苏克拉因
Subusub (16.22689, 120.49513) 苏布苏布
Subic (14.8787, 120.23194) 苏比克
Saaban (13.13049, 121.36872) 萨阿班
Suba (10.82512, 121.0069) 苏巴
Suay (10.0533, 122.8423) 苏艾
Suzon (7.66278, 125.63833) 苏宗
Sual (16.06682, 120.09414) 苏阿尔
Soyung (16.7001, 121.6655) 苏永
South Upi (6.83333, 124.15) 南乌皮
Sorsogon (12.97389, 123.99333) 索索贡
Songculan (9.62965, 123.82897) 松库兰
Solo (13.74691, 120.90119) 索洛
Solana (17.6528, 121.691) 索拉纳
Sogod (10.3847, 124.9814) 索戈德
Sitangkai (4.66115, 119.39647) 西坦凯
Sison (16.17389, 120.51528) 西松
Siruma (14, 123.25) 西鲁马
Sirib (7.13333, 125.40722) 西里布
Siraway (7.58528, 122.13972) 西拉威
Siquijor (9.2142, 123.515) 锡基霍尔
Sipocot (13.768, 122.9762) 锡波科特
Sipalay (9.75194, 122.40417) 锡帕莱
Siocon (7.70611, 122.13528) 锡奥孔
Sinuknipan (13.8894, 122.6375) 锡努克尼潘
Sinubong (8.0684, 125.9308) 锡努邦
Sinonoc (8.3096, 123.8461) 锡诺诺克
Sinolon (6.24389, 124.81444) 锡诺隆
Sinisian (13.9156, 120.84401) 锡尼西安
Siniloan (14.4216, 121.4463) 锡尼洛安
Sinilian First (15.69327, 120.45936) 锡尼利安第一
Sindon (17.06034, 122.01514) 辛顿
Sindangan (8.2376, 122.9974) 辛达安
Sinayawan (6.7125, 125.30944) 辛亚万
Sinawilan (6.75444, 125.24639) 辛纳维兰
Sinamar (16.9, 121.56667) 辛纳马尔
Sinala (13.8057, 120.97463) 辛纳拉
Sinait (17.8664, 120.4583) 辛艾特
Sinacaban (8.2864, 123.8399) 辛纳卡班
Simunul (4.89833, 119.84944) 锡穆努尔
Simimbaan (17.11856, 121.58138) 锡明巴安
Simanu Sur (17.48523, 121.83426) 锡马努南
Silway 7 (6.17711, 125.12068) 锡尔韦7
Silvino Lobos (12.3, 124.83333) 锡尔维诺洛博斯
Silongin (13.2999, 122.5217) 锡隆金
Sillon (11.199, 123.7675) 锡隆
Sillawit (16.87316, 121.75924) 锡拉维特
Silanga (11.81806, 124.84306) 锡兰加
Silang (14.21567, 120.97137) 锡朗
Silago (10.5291, 125.1618) 锡拉戈
Silae (8.15889, 125.2825) 锡莱
Silab (9.4383, 123.1792) 锡拉布
Sikatuna (9.6883, 123.9751) 锡卡图纳
Sigma (11.4214, 122.6662) 西格玛
Sigay (17.08333, 120.6) 西盖
Cigaras (14.2266, 121.4298) 西加拉斯
Sierra Bullones (9.8081, 124.2921) 谢拉布洛内斯
Sico Uno (13.8301, 121.37123) 西科乌诺
Siclong (15.5808, 121.2239) 西克隆
Sibutao (8.5916, 123.4859) 锡布陶
Sibulan (9.3584, 123.285) 锡布兰
Sibul (15.169, 121.0616) 锡布尔
Sibuco (7.29111, 122.06556) 锡布科
Sibucao (10.4179, 122.887) 锡布考
