Mogpog (13.47444, 121.86139) 莫格波格
Mobo (12.3363, 123.6574) 莫博
Moalboal (9.94333, 123.39917) 莫阿尔博阿尔
Minuyan (10.51366, 123.1049) 米努扬
Minuri (16.53233, 121.85532) 米努里
Minolos (10.1019, 123.4727) 米诺洛斯
Minlagas (8.87833, 125.03889) 米拉加斯
Minien East (15.97723, 120.48127) 米尼恩东
Mindupok (6.09056, 124.42333) 明杜波克
Minapasoc (10.69885, 123.349) 米纳帕索克
Minapan (6.815, 124.85861) 米纳潘
Minante Segundo (16.9022, 121.76191) 米南特塞贡多
Minanga Norte (17.45233, 121.78533) 米南加北
Minallo (16.98685, 121.85394) 米纳洛
Minalin (14.9676, 120.6828) 米纳林
Minalabac (13.5687, 123.1838) 米纳拉巴克
Mileb (6.89861, 124.58389) 米莱布
Milaor (13.5961, 123.1772) 米拉奥尔
Midsayap (7.19083, 124.53028) 米德萨亚普
Midsalip (8, 123.26667) 米德萨利普
Miaray (7.57472, 125.04444) 米亚雷
Mianay (11.4716, 122.7011) 米亚奈
Miagao (10.6442, 122.2352) 米阿高
Miaga (12.2376, 123.8167) 米阿加
Meycauayan (14.73694, 120.96083) 梅考阿延
Mexico (15.0646, 120.7198) 墨西哥
MendezNunez (14.12861, 120.90583) 门德斯努涅斯
McKinley (10.0844, 123.2592) 麦金利
Maypangdan (11.65194, 125.45028) 马伊庞丹
Mayngaran (12.3492, 123.5996) 马英加兰
Maygatasan (8.70944, 125.71833) 马伊加塔桑
Maydolong (11.50021, 125.49811) 马伊多隆
Mayapusi (9.6241, 123.0188) 马亚普西
Mayantoc (15.6199, 120.377) 马扬托克
Mayana (9.75611, 124.35222) 马亚纳
Mayabon (9.0961, 123.1738) 马亚邦
Maxingal (18.21488, 121.66815) 马辛加尔
Mawab (7.56667, 125.98333) 马瓦布
Mauraro (13.1494, 123.5953) 毛拉罗
Maulawin (14.26667, 121.43333) 毛拉温
Mauhao (12.29015, 121.30071) 毛豪
Maugat West (13.8613, 121.28276) 毛加特西
Mauban (14.191, 121.7309) 毛班
Maturanoc (15.6571, 120.7921) 马图拉诺克
Matungao (8.13611, 124.16417) 马通高
Matti (6.77056, 125.30861) 马蒂
Matnog (12.5878, 124.0875) 马特诺格
Matlang (10.8902, 124.4554) 马特朗
Matiompong (6.69611, 124.56611) 马蒂翁蓬
Matingain (13.9129, 120.88006) 马廷盖因
Malinao (7.56029, 124.70839) 马利瑙
Maticmatic (15.9863, 120.45192) 马蒂克马蒂克
Matiao (7.0828, 125.9362) 马蒂奥
Mati (6.95508, 126.21655) 马蒂
Mataywanac (14.0311, 120.7296) 马塔瓦纳克
Matayumtayum (15.5166, 120.7098) 马塔尤姆塔尤姆
Matanog (7.51611, 124.25639) 马塔诺格
Matangad (8.57694, 124.37) 马唐加德
Matanao (6.67917, 125.255) 马塔瑙
Matalom (10.28306, 124.78778) 马塔洛姆
Matalam (7.08639, 124.90056) 马塔拉姆
Matagbak (14.13056, 120.83472) 马塔格巴克
Matacon (13.3284, 123.4356) 马塔孔
Matabao (8.95722, 125.39944) 马塔包
Mataas Na Kahoy (13.9589, 121.1138) 马塔阿斯纳卡霍伊
Masoli (13.3593, 123.3898) 马索利
Maslog (12.15, 125.23333) 马斯洛格
Masiu (7.81167, 124.3175) 马修
Masipi West (17.37933, 121.83861) 马西皮西
Masinloc (15.5363, 119.9502) 马辛洛克
Masiga (13.3607, 121.8278) 马西加
Masbate (12.37169, 123.62494) 马斯巴特
Masaya Sur (16.50017, 121.74743) 马萨亚苏尔
Masarayao (11.08972, 124.6175) 马萨拉瑶
Masaraway (13.2268, 123.6148) 马萨拉威
Masapang (14.1971, 121.3423) 马萨邦
Masantol (14.896, 120.7092) 马桑托尔
Masalukot Uno (13.95533, 121.41887) 马萨卢科特乌诺
Masalipit (15.1481, 121.0373) 马萨利皮特
Masaling (9.9818, 122.5369) 马萨林
Masaguisi (12.75452, 121.44841) 马萨吉西
Masaba (10.53333, 123.96667) 马萨巴
Marupit (13.6269, 123.1663) 马鲁皮特
Marogong (7.66667, 124.15) 马罗贡
Mariveles (14.43385, 120.48569) 马里韦莱斯
Miliroc (13.3449, 123.702) 米利罗克
Maripipi (11.77917, 124.34917) 马里皮皮
Marintoc (12.28554, 123.72281) 马林托克
Marilao (14.75778, 120.94833) 马里劳
Marikina City (14.6481, 121.1133) 马里基纳市
Marihatag (8.8059, 126.2966) 马里哈塔格
Maricalom (9.7049, 122.4188) 马里卡隆
Maricaban (11.1516, 123.7679) 马里卡班
Maribong (11.1, 122.53333) 马里邦
Maribojoc (9.7417, 123.8446) 马里博霍克
Mariano Marcos (6.73333, 124.66667) 马里亚诺马科斯
Mariano (8.83333, 125.11667) 马里亚诺
Maria Cristina (8.16604, 124.20396) 玛丽亚克里斯蒂娜
Maria Aurora (15.7967, 121.4737) 玛丽亚奥罗拉
Margosatubig (7.5777, 123.1658) 马戈萨图比格
