Magnaga (7.1694, 125.8931) 曼加纳
Maglamin (8.05194, 125.26167) 马格拉明
Magdug (6.54764, 126.09508) 马格杜格
Magdiwang (12.48372, 122.51472) 马格迪旺
Magbay (12.41014, 121.08991) 马格拜
Magay (10.4719, 124.0132) 马盖
Magatos (7.55556, 125.72667) 马加托斯
Magarao (13.6604, 123.1869) 马加劳
Magapit (18.13741, 121.66942) 马加皮特
Magapit, Aguiguican (18.10788, 121.67705) 马加皮特, 阿吉吉坎
Maganoy (6.86472, 124.44167) 马加诺伊
Magallon Cadre (10.2885, 123.0922) 马加隆干部
Magalang (15.2151, 120.6596) 马加朗
Magalalag (17.57732, 121.73497) 马加拉拉格
Madulao (13.5684, 122.3413) 马杜拉奥
Maddela (16.3414, 121.6849) 马德拉
Maddarulug Norte (17.60732, 121.6767) 马达鲁卢格北
Madamba (7.83889, 124.11029) 马丹巴
Madalum (7.8542, 124.12048) 马达鲁姆
Madalag (10.89944, 122.9828) 马达拉格
Macrohon (10.07972, 124.94306) 马克罗洪
Macayug (16.09376, 120.43201) 马卡尤格
Makato (11.712, 122.2922) 马卡托
Macatbong (15.5048, 121.0791) 马卡特邦
MacArthur (10.83472, 124.99528) 麦克阿瑟
Macarse (15.42495, 120.77476) 马卡尔塞
Macapsing (15.6783, 121.1319) 马卡普辛
Macalva Norte (16.3485, 120.3866) 马卡尔瓦北
Macalong (16.0137, 120.6586) 马卡隆
Macalelon (13.74694, 122.13861) 马卡莱隆
Macalaya (12.88944, 123.77111) 马卡拉亚
Macalamcam A (13.8566, 121.32814) 马卡兰卡姆A
Macabugos (13.2362, 123.3053) 马卡布戈斯
Macabuboni (16.1909, 119.7802) 马卡布博尼
Macabebe (14.9089, 120.7155) 马卡贝贝
Macaas (10.69885, 124.01154) 马卡阿斯
Mabuttal East (18.3762, 121.5147) 马布塔尔东
Mabusag (17.9261, 120.4976) 马布萨格
Mabunga (13.8634, 122.0677) 马布加
Mabuhay (7.41778, 122.83667) 马布海
Mabua (9.8039, 125.4409) 马布阿
Mabiton (12.8334, 123.2612) 马比顿
Mabitac (14.4259, 121.429) 马比塔克
Mabini (15.6, 120.98333) 马比尼
Mabinay (9.72722, 122.90167) 马比奈
Mabilog (15.39485, 120.66573) 马比洛格
Mabilbila Sur (17.50709, 120.441) 马比尔比拉南
Mabilao (16.15351, 120.42494) 马比劳
Mabilang (15.67511, 120.48835) 马比朗
Mabayo (14.7318, 120.2781) 马巴约
Mabay (6.05772, 124.46661) 马拜
Mabasa (16.321, 121.1262) 马巴萨
Mabalacat City (15.22303, 120.57117) 马巴拉卡特市
Mababanaba (15.49715, 120.46053) 马巴巴纳巴
Maayong Tubig (9.1672, 123.2469) 马阿永图比格
Maayon (11.3867, 122.7859) 马阿永
Maasin (10.13272, 124.84082) 马阿辛
Maasim (5.8575, 125.00611) 马阿西姆
Maao (10.4896, 122.9907) 马奥
Maanas (8.89389, 125.03083) 马阿纳斯
Maagnas (13.7192, 123.6675) 马阿格纳斯
Lusong (16.867, 120.442) 卢松
Luuk Datan (4.81194, 119.84528) 卢克达坦
Luuk (5.9684, 121.3122) 卢克
Lutod (10.25722, 123.62944) 卢托德
Lutayan (6.6189, 124.88156) 卢塔扬
Kabayan (16.62388, 120.83994) 卡巴扬
Lusacan (13.95523, 121.34477) 卢萨坎
Lurugan (8.01667, 124.96667) 卢鲁甘
Lupon (6.89814, 126.00961) 卢蓬
Lupi Viejo (13.7897, 122.9098) 卢皮维耶霍
Lupi (13.53333, 123.15) 卢皮
Lapase (8.1924, 123.8632) 拉帕塞
Lupao (15.8793, 120.8983) 卢帕奥
Luntal (14.0292, 120.7174) 伦塔尔
Lun Pequeno (6.03778, 125.28389) 伦佩克诺
Lungog (17.4645, 120.4784) 伦戈格
Lungaog (7.52944, 125.68778) 伦加奥格
Lunen (6.35911, 124.90477) 伦嫩
Lunec (15.95395, 120.48949) 伦内克
Lunao (8.85028, 125.05639) 伦瑙
Lumuyon (5.91583, 124.78694) 卢穆永
Lumil (14.18144, 121.00989) 卢米尔
Lumbia (8.39583, 124.59389) 卢比亚
Lumbayao (8.01667, 125.16667) 卢姆巴亚奥
Lumbayanague (7.7825, 124.28) 卢姆巴亚纳格
Lumbayan (6.94722, 122.14111) 卢姆巴扬
Lumbatan (7.785, 124.25639) 卢姆巴坦
Lumbangan (14.0524, 120.6667) 卢姆邦安
Lumbang (14.2973, 121.4598) 卢姆邦
Lumatil (5.87472, 124.88833) 卢马蒂尔
Lumazal (5.88528, 124.84944) 卢马扎尔
Lumangbayan (13.0483, 121.49872) 卢芒巴扬
Luksuhin (14.09667, 120.88083) 卢克苏欣
Luklukan (14.3254, 122.7124) 卢克卢坎
Lugus (5.70361, 120.82028) 卢古斯
Lugui (14.1131, 122.7935) 卢圭
Lugait (8.34111, 124.25917) 卢盖特
Lucsuhin (13.88186, 120.64131) 卢克苏欣
Locmayan (10.4726, 122.519) 洛克马扬
