Diplahan (7.71667, 123.01667) 迪普拉汉
Dipolo (7.7828, 123.1158) 迪波洛
Dingras (18.1032, 120.6967) 丁拉斯
Dinganen (7.32833, 124.37833) 丁加嫩
Dingalan (15.3897, 121.3929) 丁加兰
Dinalupihan (14.87827, 120.45221) 迪纳卢皮汉
Dinalongan (16.1404, 121.9573) 迪纳隆甘
Dinaig (7.02556, 124.315) 迪奈格
Dinahican (14.71667, 121.71667) 迪纳希坎
Dinagat (9.95611, 125.59333) 迪纳加特
Dimiao (9.6064, 124.1633) 迪米奥
Dimayon (8.06667, 124.15) 迪马永
Dimataling (7.5344, 123.3738) 迪马塔林
Dimasalang (12.1923, 123.8592) 迪马萨朗
Dimaluna (8.1218, 123.7995) 迪马卢纳
Diliman Primero (15.0247, 120.95208) 迪利曼普里梅罗
Dilan (16.0879, 120.5207) 迪兰
Digos (6.74972, 125.35722) 迪戈斯
Digkilaan (8.25111, 124.31722) 迪吉拉安
Digdig (15.949, 120.9778) 迪格迪格
Digal (6.75306, 124.79639) 迪加尔
Diffun (16.59, 121.5057) 迪芬
Dicayong (8.2206, 123.0338) 迪卡永
Dicamay (16.75606, 122.00374) 迪卡迈
Dicabisagan (17.08184, 122.41574) 迪卡比萨甘
Dibuluan (16.51907, 121.76472) 迪布鲁安
Diaz (15.8463, 120.8347) 迪亚兹
Dianay (10.83333, 123.55) 迪亚奈
Diadi (16.7262, 121.3589) 迪亚迪
Del Rosario (13.3057, 123.3133) 德尔罗萨里奥
Del Pilar (15.03601, 120.69935) 德尔皮拉尔
Daliciasao (9.9859, 122.7618) 达利西亚绍
Del Gallego (13.9223, 122.5954) 德尔加列戈
Del Carmen (15.00544, 120.53412) 德尔卡门
Daykitin (13.27073, 121.91086) 戴基廷
Dayapan (13.93723, 120.9162) 戴亚潘
Dayap (14.18014, 121.33335) 戴亚普
DawaDawa (7.46833, 122.83694) 达瓦达瓦
Davila (18.4726, 120.5763) 达维拉
Davao (7.07306, 125.61278) 达沃
Dauis (9.62528, 123.86583) 道伊斯
Dauin (9.1914, 123.2654) 道因
Davan (6.91487, 126.15323) 达万
Datu Piang (7.02833, 124.5025) 达图皮昂
Datu Paglas (6.76667, 124.85) 达图帕格拉斯
Datagon (9.4461, 123.0891) 达塔贡
Dassun (17.74517, 121.71137) 达松
Dasol (15.9902, 119.8828) 达索尔
Dasmarinas (14.32944, 120.93667) 达斯马里尼亚斯
Darapidap (17.20007, 120.41802) 达拉皮达普
Daram (11.6341, 124.7947) 达拉姆
Daraitan (14.6028, 121.4319) 达拉伊坦
Daragutan (17, 122.03333) 达拉古坦
Daraga (13.1483, 123.7124) 达拉加
Dapitan (8.6561, 123.4227) 达皮坦
Dapdapan (11.4943, 122.6314) 达普达潘
Dapdap (12.062, 125.4881) 达普达普
Dapawan (12.40694, 122.02778) 达帕万
Dapa (9.75606, 126.05164) 达帕
Dao (11.3937, 122.6856) 达奥
Tobias Fornier (10.515, 121.9461) 托比亚斯·福尼尔
Dansuli (6.64075, 124.58258) 丹苏利
Dorsalanam (8.30667, 124.58556) 多萨拉南
Danglas (17.7009, 120.6556) 当拉斯
Dangcalan (12.9168, 123.5838) 当卡兰
Dancagan (7.60917, 125.00417) 丹卡甘
Dancalan (9.9821, 122.7386) 丹卡兰
Danao (10.52083, 124.02722) 达瑙
Damulog (7.48361, 124.94306) 达穆洛格
Damortis (16.24051, 120.40565) 达莫蒂斯
Damolog (10.77271, 124.00639) 达莫洛格
Damilag (8.35472, 124.81222) 达米拉格
Damayan (11.4936, 122.5531) 达马扬
Damawato (6.7, 124.78333) 达马瓦托
Damatulan (7.03889, 124.48278) 达马图兰
Dalwangan (8.20056, 125.04056) 达尔旺安
Dalupirip (16.32603, 120.72414) 达卢皮里普
Dalupaon (13.5517, 122.9457) 达卢帕翁
Dalumangcob (7.21667, 124.3) 达卢芒科布
Dalorong (7.58583, 125.13278) 达洛隆
Dalirig (8.37722, 124.90139) 达利里格
Dalipuga (8.31583, 124.25472) 达利普加
Dalipey (16.8, 120.71667) 达利佩
Dalican (6.96667, 124.4) 达利坎
Daliao (5.86111, 124.95333) 达利奥
Dalaoig (17.94917, 121.7148) 达劳伊格
Dalaguete (9.7612, 123.5349) 达拉盖特
Dahay (6.39067, 124.71464) 达海
Dagupan (16.04313, 120.33325) 达古潘
Dagup (16.63722, 120.44556) 达古普
Daguit (14.1895, 122.7266) 达吉特
Daguioman (17.45093, 120.91505) 达圭奥曼
Dagumbaan (8.15306, 124.59083) 达贡班
Dagohoy (9.90016, 124.28322) 达戈霍伊
Dagatan (14.0017, 121.3767) 达加坦
Dagami (11.06083, 124.90278) 达加米
Daet (14.1122, 122.9553) 达埃特
Dadus (7.0575, 124.32167) 达杜斯
Dacudao (7.21528, 125.47139) 达库道
Daan Sur (11.2612, 122.4202) 达安苏尔
