Cabacao (13.3356, 120.6588) 卡巴考
Caba (16.4316, 120.3446) 卡巴
Caabiangan (16.0874, 119.9245) 卡阿比安干
Buyuan (10.67086, 122.3574) 布尤安
Buyabod (13.4666, 122.0526) 布亚博德
Buug (7.7294, 123.0598) 布乌格
Butulan (5.61444, 125.43167) 布图兰
Butubut Norte (16.8034, 120.4344) 布图布特北
Butuan (8.94917, 125.54361) 布图安
Butigui (17.11534, 121.43304) 布蒂圭
Butig (7.72444, 124.30083) 布蒂格
Butazon (11.3072, 124.462) 布塔宗
Butag (12.6292, 123.9335) 布塔格
Busuanga (12.15847, 119.91781) 布苏安加
Bustos (14.95806, 120.91778) 布斯托斯
Busing (13.15139, 122.97139) 布辛
Busilak (16.4775, 121.1241) 布西拉克
Busdi (8.27611, 125.25139) 布斯迪
Busay (10.5378, 122.886) 布赛
Boroon (8.18278, 124.17701) 博隆
Barurao (6.89806, 124.5975) 巴鲁劳
Buruanga (11.84428, 121.88841) 布鲁安加
Burirao (9.2, 118.1) 布里劳
Burias (11.4463, 122.5497) 布里亚斯
Burdeos (14.84302, 121.96906) 布尔德奥斯
Buray (10.715, 122.45944) 布雷
Burauen (10.97556, 124.89278) 布劳恩
Buracan (13.6, 123.5) 布拉坎
Burabod (13.2686, 123.4162) 布拉博德
Bukid (5.57167, 125.40556) 布基德
Bunog (9.14028, 117.78167) 布诺格
Bungoy (13.99779, 121.36564) 布戈伊
Bunguiao (7.10444, 122.19639) 布吉奥
Bungahan (13.94286, 120.66178) 布加汉
Bunga (11.4838, 124.5918) 布加
Bundoc (15.48575, 120.71743) 布多克
Buawan (8.31667, 124.30306) 布阿万
Bunawan (8.16722, 125.99083) 布纳万
Bumbaran (7.8, 124.65) 布姆巴兰
Bulusan (12.74936, 124.12087) 布鲁桑
Buluangan (10.38707, 123.3381) 布鲁安甘
Buluang (13.3068, 123.3425) 布鲁昂
Buluan (6.72028, 124.80194) 布鲁安
Bulualto (15.22127, 120.95326) 布鲁阿尔托
Bulog (15.9602, 120.4017) 布洛格
Bulod (9.68333, 123.15) 布洛德
Buliwao (16.48333, 121.23333) 布利瓦奥
Bulit (7.11528, 124.78944) 布利特
Buliran Segundo (15.26667, 120.86667) 布利兰塞贡多
Buliran (15.54602, 120.95959) 布利兰
Buliok (7.01667, 124.7) 布里奥克
Bulihan (14.2782, 120.99503) 布利汉
Buldon (7.50972, 124.37139) 布尔登
Bulaon (15.08262, 120.66288) 布拉翁
Bulatukan (6.9025, 125.16083) 布拉图坎
Bulata (9.8599, 122.4016) 布拉塔
Bulasa (9.93206, 123.61802) 布拉萨
Bularit (15.56824, 120.62167) 布拉里特
Bolanon (10.9171, 123.4734) 博拉农
Bulan (12.67139, 123.875) 布兰
Bulalacao (12.32535, 121.34351) 布拉拉考
Bulad (10.2548, 122.9983) 布拉德
Bulacnin (13.9903, 121.139) 布拉克宁
Bulacan (14.79278, 120.87889) 布拉干
Bukal Sur (13.93806, 121.38556) 布卡尔南
Bukal (13.9132, 121.5264) 布卡尔
Buhi (13.4322, 123.517) 布希
Buhatan (12.9755, 124.0478) 布哈坦
Buhangin (6.49111, 125.5475) 布杭因
Buguias (16.72267, 120.82834) 布吉亚斯
Buguey (18.28823, 121.8331) 布盖
Bugsoc (9.7834, 124.2712) 布格索克
Bugo (8.50833, 124.75944) 布戈
Bugko (12.5356, 124.7923) 布格科
Bugcaon (8.04583, 125.11278) 布格考恩
Bugasong (11.04464, 122.06463) 布加松
Bugasan (7.44083, 124.25917) 布加桑
Bugas (9.89804, 123.40492) 布加斯
Bugang (10.74185, 123.3933) 布冈
Bugallon (15.9528, 120.2155) 布加隆
Bugaan (14.03987, 120.93609) 布加安
Buensuseso (15.19333, 120.67314) 布恩苏塞索
Buenlag (15.62743, 120.58199) 布恩拉格
Bued (16.16086, 119.9988) 布埃德
Budta (7.20417, 124.43972) 布达
Bucloc (17.44113, 120.85885) 布克洛克
Buclad (7.52778, 125.75056) 布克拉德
Bukay Pait (6.56161, 124.76706) 布凯派特
Bucay (17.5404, 120.7188) 布凯
Babug (12.37325, 121.04171) 巴布格
Buayan (6.11639, 125.23472) 布阿扬
Buanoy (10.46746, 123.6999) 布阿诺伊
Buang (13.3115, 123.6421) 布昂
Bualan (7.75, 124.26667) 布阿兰
Bual (6.79583, 124.91083) 布阿尔
Buagsong (10.25302, 123.93909) 布阿格松
BuadiposoBuntong (7.96667, 124.38333) 布阿迪波索本通
Brookes Point (8.77201, 117.8371) 布鲁克斯角
Boton (12.9287, 124.0479) 博顿
Botolan (15.2896, 120.0245) 博托兰
