Sanjwal (33.76105, 72.43315) 桑吉瓦尔
Sangla Hill (31.71667, 73.38333) 桑格拉山
Sanghar (26.04694, 68.94917) 桑哈尔
Sambrial (32.47835, 74.35338) 桑布里亚尔
Samaro (25.28143, 69.39623) 萨马罗
Sakrand (26.13845, 68.27444) 萨克兰德
Saidu Sharif (34.74655, 72.35568) 赛杜沙里夫
Sahiwal (30.66595, 73.10186) 萨希瓦尔
Saddiqabad (28.3091, 70.12652) 萨迪卡巴德
Rustam (27.96705, 68.80386) 鲁斯塔姆
Rojhan (28.68735, 69.9535) 罗贾恩
Rohri (27.69203, 68.89503) 罗赫里
Renala Khurd (30.87878, 73.59857) 雷纳拉胡尔德
Rawalpindi (33.59733, 73.0479) 拉瓦尔品第
Ratodero (27.80227, 68.28902) 拉托德罗
Rasulnagar (32.32794, 73.7804) 拉苏尔纳加尔
Rajo Khanani (24.98391, 68.8537) 拉乔卡纳尼
Rajanpur (29.10408, 70.32969) 拉贾恩普尔
Raja Jang (31.22078, 74.25483) 拉贾江
Raiwind (31.24895, 74.21534) 赖温德
Rahim Yar Khan (28.41987, 70.30345) 拉希姆亚尔汗
Goth Radhan (27.19846, 67.95348) 哥特拉丹
Rabwah (31.75511, 72.91403) 拉布瓦
Quetta (30.18414, 67.00141) 奎达
Qila Saifullah (30.70077, 68.35984) 奇拉赛富拉
Qila Abdullah (30.72803, 66.66117) 奇拉阿卜杜拉
Kambar (27.58753, 68.00066) 坎巴尔
Qadirpur Ran (30.29184, 71.67164) 卡迪尔普尔兰
Pithoro (25.51122, 69.37803) 皮托罗
Pishin (30.58176, 66.99406) 皮辛
Pir Mahal (30.76663, 72.43455) 皮尔马哈尔
Pindi Gheb (33.24095, 72.2648) 平迪盖布
Pindi Bhattian (31.89844, 73.27339) 平迪巴蒂安
Pind Dadan Khan (32.58662, 73.04456) 平达丹汗
Goth Phulji (26.88099, 67.68239) 哥特普尔吉
Phalia (32.43104, 73.579) 法利亚
Peshawar (34.008, 71.57849) 白沙瓦
Pattoki (31.02021, 73.85333) 帕托基
Pasrur (32.26286, 74.66327) 帕斯鲁尔
Pasni (25.26302, 63.46921) 帕斯尼
Parachinar (33.89968, 70.10012) 帕拉奇纳尔
Pano Aqil (27.85619, 69.11111) 帕诺阿基尔
Panjgur (26.97186, 64.09459) 潘吉古尔
Pallandri (33.71527, 73.68366) 帕兰德里
Pakpattan (30.34314, 73.38944) 帕克帕坦
Bhagowal (32.43751, 74.66939) 巴戈瓦尔
Pad Idan (26.77455, 68.30094) 帕德伊丹
Pabbi (34.00968, 71.79445) 帕比
Ormara (25.21018, 64.63626) 奥尔马拉
Okara (30.81029, 73.45155) 奥卡拉
Nushki (29.55218, 66.02288) 努什基
Nowshera (34.01583, 71.98123) 瑙谢拉
New Mirpur (33.14782, 73.75187) 新米尔普尔
Nawabshah (26.23939, 68.40369) 纳瓦布沙
Naushahro Firoz (26.8401, 68.12265) 瑙沙罗菲罗兹
Naushahra Virkan (31.96258, 73.97117) 瑙沙赫拉维尔坎
Naudero (27.66684, 68.3609) 瑙德罗
Narowal (32.10197, 74.87303) 纳罗瓦尔
Narang Mandi (31.90376, 74.51587) 纳朗曼迪
Naukot (24.85822, 69.40153) 瑙科特
Nankana Sahib (31.4501, 73.70653) 南卡纳萨希卜
Nagir (36.27542, 74.71959) 纳吉尔
Nabisar (25.06717, 69.6434) 纳比萨尔
Muzaffargarh (30.07258, 71.19379) 穆扎法尔加尔
Muzaffarabad (34.37002, 73.47082) 穆扎法拉巴德
Musa Khel Bazar (30.85944, 69.82208) 穆萨凯尔巴扎尔
Murree (33.90836, 73.3903) 穆里
Muridke (31.80258, 74.25772) 穆里德克
Multan (30.19679, 71.47824) 木尔坦
Mithi (24.73701, 69.79707) 米蒂
Mitha Tiwana (32.2454, 72.10615) 米塔蒂瓦纳
Mirwah Gorchani (25.30981, 69.05019) 米尔瓦戈尔查尼
Mirpur Sakro (24.54692, 67.62797) 米尔普尔萨克罗
Mirpur Mathelo (28.02136, 69.54914) 米尔普尔马特洛
Mirpur Khas (25.5276, 69.01255) 米尔普尔卡斯
Mirpur Bhtoro (24.72852, 68.2601) 米尔普尔布托罗
Miro Khan (27.75985, 68.09195) 米罗汗
Mirdad Muafi (30.67676, 72.92855) 米尔达德穆阿菲
Miran Shah (33.00059, 70.07117) 米兰沙
Mingora (34.7795, 72.36265) 明戈拉
Minchianabad (30.16356, 73.56858) 明恰纳巴德
Mianwali (32.57756, 71.52847) 米安瓦利
Mian Sahib (28.15341, 68.64182) 米安萨希卜
Mian Channun (30.44067, 72.35679) 米安查努
Mehrabpur (28.10773, 68.02554) 迈赫拉布普尔
Mehar (27.18027, 67.82051) 迈赫尔
Matli (25.0429, 68.65591) 马特利
Matiari (25.59709, 68.4467) 马蒂亚里
Mastung (29.79966, 66.84553) 马斯通
Mardan (34.19794, 72.04965) 马尔丹
Mansehra (34.33023, 73.19679) 曼塞赫拉
Mankera (31.38771, 71.44047) 曼克拉
Mangla (31.89306, 72.38167) 曼格拉
Mandi Bahauddin (32.58704, 73.49123) 曼迪巴豪丁
Mananwala (31.58803, 73.68927) 马南瓦拉
Mamu Kanjan (30.83044, 72.79943) 马穆坎詹
Malir Cantonment (24.94343, 67.20591) 马利尔坎顿门
Malakwal (32.55449, 73.21274) 马拉克瓦尔
Malakand (34.56561, 71.93043) 马拉坎德
Mailsi (29.80123, 72.17398) 迈尔西
