Chlewiska (51.24376, 20.76871) 切莱维斯卡
Chelmiec (49.63051, 20.66425) 赫乌姆涅茨
Chelm (51.14312, 23.4716) 赫乌姆
Checiny (50.80021, 20.46229) 赫钦尼
Ceranow (52.63082, 22.22826) 采拉努夫
Celestynow (52.06093, 21.39107) 切莱斯蒂努夫
Ceglow (52.14782, 21.73739) 采格鲁夫
Bystrzyca (50.96048, 17.39702) 比斯特日察
Bystra (49.76042, 19.05973) 比斯特拉
Bychawa (51.01608, 22.53296) 比哈瓦
BuskoZdroj (50.47078, 20.71884) 布斯科-兹德鲁伊
Bulkowo (52.54087, 20.11889) 布尔科沃
Bukowsko (49.48039, 22.06329) 布科夫斯科
Bukowina Tatrzanska (49.34302, 20.10807) 布科维纳塔特尚斯卡
Bukowiec Opoczynski (51.41682, 20.26583) 布科维茨奥波钦斯基
Brzyska (49.82226, 21.39004) 布日斯卡
Brzozowa Gac (51.39771, 22.17942) 布若佐瓦加茨
Brzozow (49.69501, 22.01926) 布若佐夫
Brzoza Stadnicka (50.19965, 22.28233) 布若扎斯塔德尼茨卡
Brzoza Krolewska (50.23908, 22.32559) 布若扎克罗莱夫斯卡
Brzostowa (50.89058, 21.48273) 布若斯托瓦
Brzostek (49.87954, 21.41102) 布若斯泰克
Brzezowa (49.85697, 20.05623) 布热佐瓦
Brzeznica Bychawska (51.52776, 22.75123) 布热日尼察比哈夫斯卡
Brzeznica (50.10065, 21.48025) 布热日尼察
Brzeziny (51.80023, 19.75144) 布热津尼
Brzesko (49.96911, 20.60606) 布热斯科
Brzaczowice (49.87478, 20.03709) 布扎乔维采
Brwinow (52.14269, 20.71697) 布尔维努夫
Nowe Brusno (50.24545, 23.31848) 诺韦布鲁斯诺
Brok (52.69948, 21.85704) 布罗克
Brody (50.08791, 25.15027) 布罗迪
Brochow (52.3195, 20.26257) 布罗胡夫
Branszczyk (52.62931, 21.58745) 布兰什奇克
Bransk (52.7444, 22.83774) 布兰斯克
Borzecin (50.0654, 20.71103) 博热青
Borzechow (51.09258, 22.28414) 博热胡夫
Borowie (51.94908, 21.7658) 博罗维耶
Borowa (50.38548, 21.3515) 博罗瓦
Borkowice (50.94104, 18.15787) 博尔科维采
Borki (51.72161, 22.52129) 博尔基
Bolimow (52.07671, 20.16352) 博利穆夫
Boleslaw (50.29729, 19.48073) 博莱斯瓦夫
Bojanow (50.42531, 21.95111) 博亚努夫
BogutyPianki (52.7168, 22.41546) 博古蒂皮安基
Bogumilowice (50.00724, 20.8669) 博古米洛维采
Boguchwala (49.98473, 21.94528) 博古胡瓦拉
Bogoria (50.65175, 21.26) 博戈里亚
Bodzentyn (50.94115, 20.95719) 博津廷
Bodzechow (50.90715, 21.43715) 博杰胡夫
Bodzanow (52.49992, 20.02945) 博扎努夫
Bocki (52.65155, 23.04485) 博茨基
Bochnia (49.96905, 20.43028) 博赫尼亚
Bobrowniki (50.37985, 18.98661) 博布罗夫尼基
Bobowa (49.70866, 20.94767) 博博瓦
Stara Blotnica (51.54676, 20.97479) 斯塔拉布沃特尼察
Blonie (52.19849, 20.61709) 布沃涅
Blizyn (51.10778, 20.75935) 布利津
Blizne (49.75332, 21.97351) 布利兹内
Bledow (51.77767, 20.69798) 布莱杜夫
Blazowa (49.88521, 22.10037) 布瓦佐瓦
Bisztynek (54.08633, 20.90192) 比什特内克
Biszcza (50.40146, 22.65063) 比什恰
Biskupiec (53.86467, 20.95692) 比斯库皮茨
Biskupice Radlowskie (50.12069, 20.85943) 比斯库皮采拉德沃夫斯基
Bircza (49.69173, 22.47854) 比尔恰
Binarowa (49.75621, 21.22816) 比纳罗瓦
Bilgoraj (50.54114, 22.72204) 比尔戈拉伊
Bieniewice (52.18268, 20.56306) 比涅维采
Bienczyce (50.08809, 20.02786) 比涅奇采
Bielsk Podlaski (52.76512, 23.18647) 比尔斯克波德拉斯基
Bieliny (50.84947, 20.94149) 比耶利尼
Bielawa (50.69075, 16.623) 比耶拉瓦
Bielany (52.29242, 20.93531) 比耶拉尼
Biecz (49.73596, 21.26301) 别奇
Bialystok (53.13333, 23.16433) 比亚韦斯托克
Bialy Dunajec (49.3738, 20.00898) 比亚韦杜纳耶茨
Bialowieza (52.7, 23.86667) 比亚沃维耶扎
Bialopole (50.98604, 23.73124) 比亚沃波莱
Bialoleka (52.32127, 20.97204) 比亚沃莱卡
Bialobrzegi (51.64695, 20.95041) 比亚沃布热吉
Bialka (49.69306, 19.67033) 比亚尔卡
Bialka Tatrzanska (49.38975, 20.10507) 比亚尔卡塔特尚斯卡
Biala Rawska (51.80779, 20.47259) 比亚瓦拉夫斯卡
Biala Podlaska (52.03238, 23.11652) 比亚瓦波德拉斯卡
Biala Piska (53.61191, 22.06321) 比亚瓦皮斯卡
Bialaczow (51.29815, 20.29724) 比亚瓦乔夫
Besko (49.58757, 21.95292) 贝斯科
Bemowo (52.2546, 20.90844) 贝莫沃
Belzyce (51.17415, 22.28027) 贝尔日采
Belsk Duzy (51.82561, 20.80847) 贝尔斯克杜日
Bejsce (50.23903, 20.59834) 贝伊采
Batorz (50.8505, 22.49313) 巴托日
Bartoszyce (54.25354, 20.80819) 巴尔托什采
Barglow Koscielny (53.77367, 22.8229) 巴尔格乌夫科希尔内
Barczewo (53.83055, 20.69112) 巴尔切沃
Barciany (54.21993, 21.35347) 巴尔恰尼
Baranow Sandomierski (50.49912, 21.54204) 巴拉努夫桑多梅尔斯基
Baranowo (52.43525, 16.78631) 巴拉诺沃
Baranow (51.55786, 22.13625) 巴拉努夫
