Baniocha (52.01653, 21.13984) 班尼奥哈
Banie Mazurskie (54.24662, 22.03617) 马祖尔斯基巴涅
Baltow (51.01845, 21.54385) 巴尔托夫
Baligrod (49.3309, 22.28566) 巴利格罗德
Bakalarzewo (54.09398, 22.65218) 巴卡拉热沃
Baczkow (50.03366, 20.44127) 巴奇科夫
Backowice (50.79194, 21.23211) 巴茨科维采
Baboszewo (52.6807, 20.25527) 巴博舍沃
Babica (49.93476, 21.87035) 巴比察
Augustowka (51.98598, 21.49608) 奥古斯托夫卡
Augustow (53.84321, 22.97979) 奥古斯图夫
Annopol (50.88551, 21.85678) 安诺波尔
Andrzejewo (52.83098, 22.20277) 安德热耶沃
Aleksandrow (50.4663, 22.89225) 亚历山德鲁夫
Albigowa (50.01425, 22.22414) 阿尔比戈瓦
Adamowka (50.25857, 22.69595) 亚当夫卡
Adamow (51.74335, 22.26414) 亚当夫
Abramow (51.45647, 22.31521) 阿布拉莫夫
Pasiecznik (50.9568, 15.57209) 帕谢奇尼克
Zywiec (49.68529, 19.19243) 日维茨
Zytno (50.92722, 19.62776) 日特诺
Zychlin (52.24404, 19.62613) 日赫林
Zwierzyn (52.83212, 15.56763) 兹维日恩
Zwardon (49.50387, 18.97622) 兹瓦尔东
Zuromin (53.06611, 19.90894) 朱罗明
Zukowo (54.3422, 18.36476) 祖科沃
Zukowice (51.67274, 15.98339) 祖科维采
Zubrzyca Gorna (49.56174, 19.64973) 祖布日察戈尔纳
Zubrzyca Dolna (49.52688, 19.67342) 祖布日察多尔纳
Zory (50.04523, 18.70062) 若里
Zorawina (50.9808, 17.03671) 若拉维纳
Zoltnica (53.67404, 16.80925) 若尔特尼察
Zoledowo (53.2186, 18.05608) 若莱多沃
Znin (52.84958, 17.71992) 日宁
Zmigrod (51.46672, 16.90564) 日米格罗德
Zloty Stok (50.44472, 16.87586) 兹洛蒂斯托克
Zlotow (53.36346, 17.04082) 兹沃托夫
Zlotoryja (51.12637, 15.91979) 兹沃托里亚
Zlotniki Kujawskie (52.89943, 18.14564) 兹沃特尼基库亚夫斯基
Zlotniki (51.13769, 16.88923) 兹沃特尼基
Zloczew (51.41719, 18.60363) 兹沃切夫
Zlocieniec (53.53286, 16.01132) 兹沃切涅茨
Zlawies Wielka (53.09562, 18.32897) 兹瓦维耶斯维尔卡
Zielonki (50.12091, 19.92156) 泽隆基
Zielona Gora (51.93548, 15.50643) 泽洛纳古拉
Ziebice (50.60122, 17.04065) 泽比采
Zgorzelec (51.14942, 15.00835) 兹戈热莱茨
Zgierz (51.85561, 19.40623) 兹吉日
Zerniki Wroclawskie (51.03308, 17.05662) 泽尔尼基弗罗茨瓦夫斯基
Zernica (50.2477, 18.61547) 泽尔尼察
Zerkow (52.06877, 17.56349) 泽尔科夫
Zembrzyce (49.77517, 19.6012) 泽姆布日采
Zelow (51.46452, 19.21972) 泽洛夫
Zelkow (50.15931, 19.7953) 泽尔科夫
Zelistrzewo (54.6777, 18.41738) 泽利斯特热沃
Zelazkow (51.85418, 18.1743) 泽拉兹科夫
Zebrzydowice (49.87793, 18.61127) 泽布日多维采
Zebowice (50.7629, 18.34434) 泽博维采
Zdzieszowice (50.42482, 18.12349) 兹杰绍维采
Zdziechowice (51.09587, 18.38974) 兹杰霍维采
Nowe Zduny (52.14423, 19.80835) 诺韦兹杜尼
Zduny (51.6458, 17.37694) 兹杜尼
Zdunska Wola (51.59915, 18.93974) 兹杜恩斯卡沃拉
Zdow (50.60432, 19.5276) 兹多夫
Zbytkow (49.92288, 18.72697) 兹比特科夫
Zbroslawice (50.41612, 18.75443) 兹布罗斯瓦维采
Zbojno (53.00848, 19.1575) 兹博伊诺
Zblewo (53.93366, 18.32262) 兹布莱沃
Zbiczno (53.33405, 19.37482) 兹比奇诺
Zbaszynek (52.24315, 15.81654) 兹巴什内克
Zbaszyn (52.2509, 15.9252) 兹巴申
Zawonia (51.31624, 17.19832) 扎沃尼亚
Zawoja (49.64396, 19.54227) 扎沃亚
Zawiercie (50.48766, 19.41679) 扎维尔切
Zawidz (52.82745, 19.87367) 扎维兹
Zawidow (51.02546, 15.06213) 扎维杜夫
Zawadzkie (50.60503, 18.48467) 扎瓦茨基
Zawady (51.0232, 18.91949) 扎瓦迪
Zarzyce Wielkie (49.88169, 19.7311) 扎日采维尔凯
Zary (51.64205, 15.13727) 扎里
Zarow (50.94116, 16.49466) 扎罗夫
Zarnowiec (50.47897, 19.86088) 扎尔诺维茨
Zarki Wielkie (51.59382, 14.7603) 扎尔基维尔凯
Zarki (50.62518, 19.36357) 扎尔基
Zapolice (51.54319, 18.88335) 扎波利采
Zaniemysl (52.15561, 17.16228) 扎涅米希尔
Zamarski (49.78254, 18.66972) 扎马尔斯基
Zaluczne (49.49233, 19.81771) 扎卢奇内
Zalewo (53.84534, 19.60519) 扎莱沃
Zalas (50.08033, 19.62132) 扎拉斯
Zakrzow (51.16624, 17.13688) 扎克舒夫
Zakrzewo (53.41186, 17.15472) 扎克热沃
Zakopane (49.29899, 19.94885) 扎科帕内
Zagrodno (51.19134, 15.86533) 扎格罗德诺
Zagorze (50.09449, 19.40357) 扎戈热
Zagorow (52.16835, 17.89561) 扎戈鲁夫
Zagornik (49.8371, 19.37868) 扎戈尔尼克
Zagan (51.61759, 15.31486) 扎甘
Zadzim (51.77666, 18.84928) 扎齐姆
Zachelmna (49.799, 19.68879) 扎赫尔姆纳
