Pelczyce (53.04354, 15.30447) 佩尔奇采
Peczniew (51.80384, 18.72311) 佩奇涅夫
Pecna (52.18333, 16.8) 佩茨纳
Pcim (49.75166, 19.97108) 普齐姆
Pawonkow (50.69499, 18.58149) 帕翁科夫
Pawlowiczki (50.2466, 18.04865) 帕夫洛维奇基
Pawlowice (49.96127, 18.71778) 帕夫洛维采
Patnow (51.14403, 18.61659) 帕特诺夫
Paszowice (51.01078, 16.15273) 帕绍维采
Paszkowka (49.9389, 19.67789) 帕什科夫卡
Paslek (54.0616, 19.65932) 帕斯莱克
Parzeczew (51.94855, 19.20608) 帕热切夫
Parchowo (54.20658, 17.66816) 帕尔霍沃
Papowo Biskupie (53.24842, 18.56604) 帕波沃比斯库皮
Panki (50.88333, 18.7516) 潘基
Paniowki (50.23139, 18.78104) 帕尼奥夫基
Pamiatkowo (52.55334, 16.68094) 帕米亚特科沃
Palcza (49.80454, 19.74389) 帕尔恰
Pakoslawice (50.54474, 17.36578) 帕科斯瓦维采
Pakosc (52.80178, 18.0853) 帕科斯奇
Pajeczno (51.14449, 18.99612) 帕耶奇诺
Paczkow (50.46395, 17.00658) 帕奇科夫
Pacyna (52.30281, 19.70982) 帕齐纳
Pabianice (51.66446, 19.35473) 帕比亚尼采
Ozorkow (51.96336, 19.29139) 奥佐尔库夫
Ozimek (50.67944, 18.2137) 奥齐梅克
Ozarowice (50.46182, 19.04317) 奥扎罗维采
Otyn (51.84766, 15.71105) 奥廷
Otmuchow (50.46627, 17.17348) 奥特穆霍夫
Oswiecim (50.03437, 19.21037) 奥斯威辛
Ostrzeszow (51.4264, 17.93355) 奥斯特热舒夫
Ostroznica (50.24369, 18.08298) 奥斯特罗日尼察
Ostrowy (52.30444, 19.16565) 奥斯特罗维
Ostrowy nad Oksza (50.97799, 19.05355) 奥斯特罗维纳德奥克沙
Ostrow Wielkopolski (51.65501, 17.80686) 奥斯特鲁夫维尔科波尔斯基
Ostrowo (54.82527, 18.24409) 奥斯特罗沃
Ostrowite (53.06917, 19.29337) 奥斯特罗维特
Ostrowiec (54.27575, 16.67081) 奥斯特罗维茨
Ostroszowice (50.64576, 16.63965) 奥斯特罗绍维采
Ostrorog (52.6265, 16.44988) 奥斯特罗罗格
Ostroda (53.69671, 19.96486) 奥斯特鲁达
Ostreznica (50.19262, 19.57077) 奥斯特热尼察
Ostaszewo (54.21256, 18.95142) 奥斯塔舍沃
Osowa (54.43109, 18.46727) 奥索瓦
Osno Lubuskie (52.4536, 14.87549) 奥斯诺卢布斯基
Osjakow (51.28946, 18.79151) 奥夏库夫
Osina (53.60473, 15.0123) 奥西纳
Osielsko (53.18505, 18.08418) 奥谢尔斯科
Osielec (49.68079, 19.78243) 奥谢莱茨
Osiek nad Notecia (53.1203, 17.29102) 奥谢克纳德诺泰恰
Osiek Maly (52.2763, 18.60234) 奥谢克马雷
Osiecznica (51.32723, 15.4206) 奥谢奇尼察
Osieczna (51.9042, 16.67862) 奥谢奇纳
Osieciny (52.62926, 18.72208) 奥谢奇尼
Osie (53.59918, 18.34373) 奥谢
Orzesze (50.15595, 18.77923) 奥热谢
Orzech (50.42744, 18.92275) 奥热赫
Ornontowice (50.19377, 18.75435) 奥尔农托维采
Orchowo (52.50938, 18.01578) 奥尔霍沃
Orawka (49.5144, 19.72398) 奥拉夫卡
Oporow (52.26448, 19.56416) 奥波鲁夫
Opole (50.67211, 17.92533) 奥波莱
Opatowek (51.73989, 18.21653) 奥帕托韦克
Opalenica (52.30887, 16.41278) 奥帕莱尼察
Olza (49.95393, 18.3391) 奥尔扎
Olszyna (51.0671, 15.37228) 奥尔希纳
Olkusz (50.2813, 19.56503) 奥尔库什
Oliwa (54.40723, 18.55363) 奥利瓦
Olawa (50.9466, 17.2926) 奥瓦瓦
Kolaczkowo (53.03357, 17.78429) 科拉奇科沃
Okonek (53.53618, 16.85158) 奥科内克
Oklesna (50.0309, 19.53129) 奥克莱斯纳
Ogrodzona (49.76791, 18.72886) 奥格罗佐纳
Ogrodzieniec (50.45177, 19.51987) 奥格罗杰涅茨
Odrowaz (49.49651, 19.85324) 奥德罗瓦兹
Odolanow (51.57419, 17.67434) 奥多拉努夫
Ochojno (49.95255, 19.97452) 奥霍伊诺
Ochodza (49.9658, 19.74329) 奥霍扎
Ochla (51.87903, 15.47132) 奥赫拉
Ochaby (49.84252, 18.76894) 奥哈比
Obrzycko (52.70338, 16.52807) 奥布日茨科
Obrowo (52.97149, 18.87863) 奥布罗沃
Oborzany (52.73821, 14.66546) 奥博扎尼
Oborniki Slaskie (51.30137, 16.91465) 奥博尔尼基希隆斯基
Oborniki (52.64739, 16.81406) 奥博尔尼基
Objezierze (52.60461, 16.76265) 奥布耶热热
Objazda (54.60737, 17.04391) 奥布亚兹达
Nysa (50.47379, 17.33437) 尼萨
Nowy Tomysl (52.3195, 16.12844) 诺维托米希尔
Nowy Staw (54.13609, 19.00909) 诺维斯塔夫
Nowy Dwor Gdanski (54.21305, 19.11771) 诺维德沃尔格但斯基
Nowogrodziec (51.19543, 15.39854) 诺沃格罗杰茨
Nowogrodek Pomorski (52.91149, 15.02947) 诺沃格鲁代克波莫尔斯基
Nowogrod Bobrzanski (51.79856, 15.2352) 诺沃格鲁德博布然斯基
Nowogard (53.67437, 15.1163) 诺沃加尔德
Nowe Warpno (53.72256, 14.28961) 诺韦瓦尔普诺
Nowe Skalmierzyce (51.71038, 17.99337) 诺韦斯卡尔米日采
Nowe Miasteczko (51.69097, 15.73174) 诺韦米亚斯特奇科
Nowe (53.64906, 18.72716) 诺韦
