Penalva (-3.29417, -45.17361) 佩纳尔瓦
Penaforte (-7.82895, -39.07539) 佩纳福特
Pedro Velho (-6.43917, -35.22139) 佩德罗·维略
Pedro II (-4.42472, -41.45861) 佩德罗二世
Pedras de Fogo (-7.40194, -35.11639) 火石
Pedra Branca (-5.45417, -39.71722) 白石
Pedra (-8.49694, -36.94083) 佩德拉
Paulo Ramos (-4.44771, -45.24053) 保罗·拉莫斯
Paulo Afonso (-9.40611, -38.21472) 保罗·阿方索
Paulista (-7.94083, -34.87306) 保利斯塔
Patu (-6.11, -37.63667) 帕图
Patos do Piaui (-7.67797, -41.24412) 皮奥伊的帕托斯
Pastos Bons (-6.60167, -44.07667) 好牧场
Passira (-7.995, -35.58056) 帕西拉
Passagem Franca (-6.17972, -43.78361) 法兰卡通道
Parnarama (-5.68167, -43.09333) 帕尔纳拉马
Parnamirim (-5.91556, -35.26278) 帕尔纳米林
Parnaiba (-2.90472, -41.77667) 帕尔奈伊巴
Parintins (-2.62833, -56.73583) 帕林廷斯
Parelhas (-6.68778, -36.6575) 帕雷利亚斯
Estreito (-5.78333, -43.25) 埃斯特雷托
Parambu (-6.21111, -40.69444) 帕兰布
Paraipaba (-3.43944, -39.14833) 帕拉伊帕巴
Paraibano (-6.43306, -43.98361) 帕拉伊巴诺
Paragominas (-2.99565, -47.35488) 帕拉戈米纳斯
Paracuru (-3.41, -39.03056) 帕拉库鲁
Pao de Acucar (-9.74833, -37.43667) 糖面包山
Palmeirais (-5.97778, -43.06333) 帕尔梅赖斯
Palmeira do Piaui (-8.72644, -44.23657) 皮奥伊的帕尔梅拉
Palmares (-8.68333, -35.59167) 帕尔马雷斯
Pajeu do Piaui (-7.85595, -42.82105) 皮奥伊的帕热乌
Pacatuba (-3.98417, -38.62028) 帕卡图巴
Pacajus (-4.1725, -38.46056) 帕卡尤斯
Ouricuri (-7.8825, -40.08167) 奥里库里
Ourem (39.64167, -8.5919) 奥伦
Oros (-6.24444, -38.91361) 奥罗斯
Orobo (-7.745, -35.60222) 奥罗博
Oriximina (-1.76556, -55.86611) 奥里希米纳
Olivenca (-9.51861, -37.19056) 奥利文萨
Oiapoque (3.84306, -51.835) 奥亚波克
Oeiras do Para (-2.00306, -49.85444) 帕拉的奥埃拉斯
Oeiras (38.69105, -9.31085) 奥埃拉斯
Ocara (-4.49083, -38.59667) 奥卡拉
Obidos (-1.9175, -55.51806) 奥比多斯
Novo Oriente (-5.53444, -40.77417) 新东方
Novo Lino (-8.915, -35.64667) 新利诺
Nova Russas (-4.70667, -40.56306) 新俄罗斯
Nova Olinda do Norte (-3.89174, -59.09542) 北新奥林达
Nova Floresta (-6.45528, -36.20333) 新森林
Nova Cruz (-6.47806, -35.43389) 新十字
Nisia Floresta (-6.09111, -35.20861) 尼西亚·弗洛雷斯塔
Nhamunda (-2.18611, -56.71306) 尼亚蒙达
Nazare da Mata (-7.74167, -35.22778) 马塔的拿撒勒
Natuba (-7.64139, -35.55) 纳图巴
Natal (-5.795, -35.20944) 纳塔尔
Murici (-9.30667, -35.94333) 穆里西
Mulungu (-7.02444, -35.46194) 穆伦古
Muana (-1.52833, -49.21667) 穆阿纳
Morros (-9.44667, -46.30028) 莫罗斯
Moreno (-8.11861, -35.09222) 莫雷诺
Morada Nova (-5.10667, -38.3725) 莫拉达诺瓦
Montes Altos (-5.83333, -47.06667) 高山
Monteiro (-7.88944, -37.12) 蒙泰罗
Monte Alegre (-2.00082, -54.08102) 蒙特阿莱格雷
Montanhas (-6.48583, -35.2875) 蒙塔尼亚斯
Monsenhor Gil (-5.56417, -42.60778) 吉尔主教
Moncao (42.07892, -8.48076) 蒙桑
Frutuoso Gomes (-6.15964, -37.84218) 富鲁图奥索·戈麦斯
Mombaca (-5.74306, -39.6275) 蒙巴萨
Moju (-1.88389, -48.76889) 莫茹
Mogeiro (-7.29944, -35.47944) 莫盖罗
Mossoro (-5.1875, -37.34417) 莫索罗
Mocajuba (-2.58417, -49.50722) 莫卡茹巴
Missao Velha (-7.24972, -39.14306) 老使命
Miranda do Norte (-3.56516, -44.58018) 北米兰达
Mirador (-6.37083, -44.36306) 米拉多尔
Minador do Negrao (-9.30528, -36.86472) 内格朗的米纳多尔
Milagres (-7.31333, -38.94556) 米拉格雷斯
Miguel Alves (-4.16556, -42.89528) 米格尔·阿尔维斯
Messias (-9.38333, -35.84167) 弥赛亚
Barreiras do Piaui (-9.9228, -45.47718) 皮奥伊的巴雷拉斯
Mazagao (-0.115, -51.28944) 马扎冈
Maues (-3.38361, -57.71861) 毛埃斯
Matriz de Camaragibe (-9.15167, -35.53333) 卡马拉吉贝的母体
Mato Grosso (-6.54305, -37.71504) 马托格罗索
Matinha (-3.10056, -45.03361) 马蒂尼亚
Matias Olimpio (-3.71583, -42.55556) 马蒂亚斯·奥林皮奥
Mata Grande (-9.1175, -37.73222) 大森林
Massaranduba (-7.20028, -35.78917) 马萨兰杜巴
Massape do Piaui (-7.4623, -41.12645) 皮奥伊的马萨佩
Maribondo (-9.57722, -36.30528) 马里邦多
Mari (-7.06, -35.31944) 马里
Marechal Deodoro (-9.71028, -35.895) 德奥多罗元帅
Marcos Parente (-7.12105, -43.8908) 马科斯·帕伦特
Marco (25.9726, -81.72898) 马尔科
Marapanim (-0.7175, -47.69972) 马拉帕宁
Maraial (-8.7825, -35.80889) 马拉亚尔
Maragogi (-9.01222, -35.2225) 马拉戈吉
Maracanau (-3.87667, -38.62556) 马拉卡瑙
Maracana (-0.77071, -47.45176) 马拉卡纳
