Katy Opolskie (50.55925, 17.97449) - 卡蒂奥波尔斯基
Katowice (50.25841, 19.02754) - 卡托维兹
Kaszow (50.03884, 19.71934) - 卡绍夫
Karwia (54.82888, 18.21018) - 卡尔维亚
Kartuzy (54.33424, 18.19735) - 卡尔图齐
Karsin (53.90768, 17.92093) - 卡尔辛
Karpacz (50.77669, 15.75594) - 卡尔帕奇
Karnice (54.03001, 15.05496) - 卡尔尼采
Karlino (54.03515, 15.87739) - 卡尔利诺
Kargowa (52.0714, 15.86138) - 卡尔戈瓦
Karczow (50.70331, 17.78446) - 卡尔乔夫
Kamyk (50.90179, 19.02875) - 卡米克
Kamiensk (51.20242, 19.49661) - 卡缅斯克
Kamien Pomorski (53.96849, 14.77262) - 卡缅波莫尔斯基
Kamiennik Wielki (54.18499, 19.54545) - 卡缅尼克维尔基
Kamiennik (50.57032, 17.14979) - 卡缅尼克
Kamienna Gora (50.78314, 16.03037) - 卡缅纳戈拉
Kamien Krajenski (53.53352, 17.52019) - 卡缅克拉延斯基
Kamieniec Zabkowicki (50.52541, 16.87921) - 卡缅涅茨扎布科维茨基
Kamieniec Wroclawski (51.07182, 17.18193) - 卡缅涅茨弗罗茨瓦夫斯基
Kamieniec (52.16614, 16.46164) - 卡缅涅茨
Kamienica Polska (50.6709, 19.12265) - 卡缅尼察波尔斯卡
Kamesznica (49.56469, 19.0212) - 卡梅什尼察
Kalisz Pomorski (53.29908, 15.90631) - 卡利什波莫尔斯基
Kalisz (51.76109, 18.09102) - 卡利什
Kaliska (53.90535, 18.21885) - 卡利斯卡
Kalety (50.5627, 18.8926) - 卡莱蒂
Kalej (50.83662, 18.98429) - 卡莱伊
Kaczyce (49.82752, 18.59161) - 卡奇采
Kaczory (53.10348, 16.88169) - 卡乔里
Kaczeniec (51.82547, 15.34085) - 卡切涅茨
Wielki Kack (54.46754, 18.4881) - 维尔基卡克
Jutrosin (51.65009, 17.16957) - 尤特罗辛
Juszkowo (54.2568, 18.60191) - 尤什科沃
Juszczyna (49.62984, 19.22032) - 尤什奇纳
Juszczyn (49.6929, 19.69128) - 尤什钦
Jugow (50.62758, 16.51812) - 尤戈夫
Jordanow Slaski (50.86421, 16.86873) - 约尔达诺夫斯拉斯基
Jordanow (49.64935, 19.82981) - 约尔达诺夫
Jezow Sudecki (50.93507, 15.74306) - 耶佐夫苏德茨基
Jezow (51.81376, 19.96877) - 耶佐夫
Jeziora Wielkie (52.53043, 18.26803) - 耶齐奥拉维尔基
Jezewo (53.51061, 18.49437) - 耶泽沃
Jerzmanowice (50.21267, 19.74672) - 耶日马诺维采
Jenin (52.69647, 15.09796) - 耶宁
Jemielno (51.52434, 16.54326) - 耶米尔诺
Jemielnica (50.54573, 18.37807) - 耶米尔尼察
Jelesnia (49.64246, 19.32701) - 耶莱斯尼亚
Jelenia Gora (50.89973, 15.72899) - 耶莱尼亚戈拉
Jelcz (51.02102, 17.32095) - 耶尔奇
Jejkowice (50.10814, 18.46767) - 耶伊科维采
Jedrzychowice (51.18472, 15.01591) - 耶德日霍维采
JedlinaZdroj (50.72005, 16.34645) - 耶德利纳兹德鲁伊
Jaworzynka (49.54019, 18.86996) - 亚沃任卡
Jaworzyna Slaska (50.9134, 16.43241) - 亚沃日纳斯拉斯卡
Jaworzno (50.20528, 19.27498) - 亚沃兹诺
Jaworznik (50.60857, 19.40761) - 亚沃日尼克
Jaworze (49.79351, 18.9479) - 亚沃热
Jawor (51.05132, 16.19347) - 亚沃尔
Jastrzebie Zdroj (49.95542, 18.57479) - 亚斯琴比耶兹德鲁伊
Jastrzebia Gora (54.83135, 18.31301) - 亚斯琴比亚戈拉
Jastrowie (53.42048, 16.81756) - 亚斯特罗维耶
Jastarnia (54.6983, 18.6773) - 亚斯塔尔尼亚
Jasienica Dolna (50.51689, 17.49968) - 亚谢尼察多尔纳
Jaroszowice (49.86267, 19.51962) - 亚罗绍维采
Jaraczewo (51.96854, 17.29707) - 亚拉切沃
Januszkowice (50.39189, 18.1368) - 亚努什科维采
Jantar (54.33607, 19.03326) - 亚恩塔尔
Janowice Wielkie (50.87569, 15.92322) - 亚诺维采维尔基
Jankow Przygodzki (51.59808, 17.78824) - 扬科夫普日戈茨基
Jankowice Rybnickie (50.04479, 18.54707) - 扬科维采雷布尼茨基
Jamno (54.24557, 16.16947) - 亚姆诺
Jachowka (49.75831, 19.69471) - 亚霍夫卡
Jablonowo Pomorskie (53.39137, 19.15509) - 亚布沃诺沃波莫尔斯基
Izdebnik (49.87218, 19.76801) - 伊兹德布尼克
