Umm Salmunah (31.64457, 35.16674) 翁萨尔穆纳
Ar Ramadin (31.37952, 34.91246) 阿尔拉马丁
Qalqas (31.49212, 35.09535) 卡尔卡斯
Imrish (31.46895, 35.00819) 伊姆里什
Marah Rabbah (31.63406, 35.18688) 马拉赫拉巴
Kurzah (31.44052, 35.00001) 库尔扎
Bayt Ta'mar (31.67927, 35.23986) 贝特塔玛尔
Bayt Hasan (32.2376, 35.40407) 贝特哈桑
Bayt 'Awwa (31.50911, 34.94938) 贝特阿瓦
Bayt Amin (32.13147, 35.02138) 贝特阿明
Jannatah (31.66959, 35.21961) 贾纳塔
Tarramah (31.48081, 35.03252) 塔拉马
Sikkah (31.49161, 34.94305) 西卡
Ash Shaykh Sa'd (31.73721, 35.25742) 阿什谢赫萨德
An Nassariyah (32.23647, 35.38711) 安纳萨里亚
Kharbatha al Misbah (31.88546, 35.07185) 哈尔巴萨米斯巴赫
Al Majd (31.48095, 34.95063) 阿尔马吉德
Karmah (31.45185, 35.02714) 卡尔玛
Al Jarushiyah (32.34698, 35.05009) 阿尔贾鲁希亚
Shuyukh al 'Arrub (31.61735, 35.14366) 舒尤赫阿鲁布
Al 'Aqrabaniyah (32.25231, 35.37836) 阿尔阿克拉巴尼亚
Khirbat Abu Falah (32.01678, 35.30135) 希尔巴特阿布法拉赫
Kharas (31.6148, 35.04174) 哈拉斯
Khallat al Mayyah (31.44222, 35.14286) 哈拉特阿尔迈亚
Kefar 'Ezyon (31.65, 35.11667) 凯法尔埃齐翁
Kefar Adummim (31.82614, 35.33558) 凯法尔阿杜米姆
Kubar (31.98722, 35.15788) 库巴尔
Karme Zur (31.6098, 35.10167) 卡尔梅祖尔
Kafr Zibad (32.22583, 35.07179) 卡夫尔齐巴德
Kafr Thulth (32.1533, 35.04698) 卡夫尔苏尔特
Kafr Sur (32.24366, 35.06394) 卡夫尔苏尔
Kafr Ra'i (32.37398, 35.15451) 卡夫尔拉伊
Kafr Qud (32.45661, 35.22649) 卡夫尔库德
Kafr Qallil (32.19351, 35.28284) 卡夫尔卡利尔
Kafr Qaddum (32.22162, 35.14471) 卡夫尔卡杜姆
Kafr Malik (31.9884, 35.30932) 卡夫尔马利克
Kafr Laqif (32.18342, 35.09073) 卡夫尔拉基夫
Kafr Jammal (32.22551, 35.04337) 卡夫尔贾马尔
Kafr Dan (32.47852, 35.25425) 卡夫尔丹
Kafr 'Ayn (32.04758, 35.12038) 卡夫尔安
Kafr al Labad (32.29967, 35.10955) 卡夫尔阿尔拉巴德
Kafr ad Dik (32.0671, 35.08287) 卡夫尔阿德迪克
Kafr 'Abbush (32.22353, 35.08504) 卡夫尔阿布什
Jurish (32.10188, 35.32188) 朱里什
Jurat ash Sham'ah (31.65051, 35.17001) 朱拉特阿什沙玛
Al Judayyidah (32.33541, 35.30107) 阿尔朱代伊达
Jit (32.21431, 35.17081) 吉特
Jiljiliya (32.02986, 35.22297) 吉尔吉利亚
Jifna (31.96192, 35.21338) 吉夫纳
Jayyus (32.20125, 35.03416) 贾尤斯
Janin (32.45943, 35.30086) 贾宁
