Al 'Attarah (32.32571, 35.16373) 阿塔拉
'Ajjul (32.02232, 35.17969) 阿朱尔
'Ajjah (32.36074, 35.1959) 阿贾
'Ibwayn (32.03144, 35.19992) 伊布韦恩
Abu Qashsh (31.94883, 35.18426) 阿布卡什
Abu Dis (31.76215, 35.26166) 阿布迪斯
'Abud (32.01637, 35.06833) 阿布德
Old City (31.77667, 35.23417) 老城
An Nasr (31.28137, 34.30253) 安纳斯尔
'Abasan al Jadidah (31.34158, 34.34592) 阿巴桑阿尔贾迪达
Al Qararah (31.37389, 34.34085) 卡拉拉
Umm an Nasr (31.56085, 34.51863) 乌姆安纳斯尔
Juhr ad Dik (31.45571, 34.43719) 朱赫尔阿德迪克
Az Zuwaydah (31.43954, 34.38053) 阿祖韦达
Al Musaddar (31.41052, 34.37802) 穆萨达尔
Wadi as Salqa (31.40048, 34.33754) 瓦迪阿斯萨尔卡
Al Mughraqah (31.46587, 34.41208) 穆格拉卡
East Jerusalem (31.78336, 35.23388) 东耶路撒冷
Karney Shomron (32.1714, 35.09767) 卡尔内肖姆龙
Huwara (32.15242, 35.25659) 胡瓦拉
alKum (31.53123, 34.96064) 阿尔库姆
Azun Atme (32.12167, 35.02036) 阿祖恩阿特梅
Jinsafut (32.17916, 35.13038) 金萨富特
'Izbat Salman (32.14222, 34.99829) 伊兹巴特萨尔曼
Bani Zayd (32.03924, 35.10316) 巴尼扎伊德
Badiw al Mu'arrajat (31.92548, 35.31833) 巴迪瓦尔穆阿拉贾特
Az Za'ayyim (31.78852, 35.26511) 阿扎伊姆
'Arab al Jahalin (31.75926, 35.285) 阿拉伯贾哈林
Al 'Ubaydiyah (31.71697, 35.29007) 乌拜迪亚
Khallat an Nu'man (31.71749, 35.24227) 哈拉特安努曼
Khallat Hamamah (31.7216, 35.19243) 哈拉特哈马马
Bi'r 'Awnah (31.71974, 35.17848) 比尔奥纳
Ad Dawhah (31.69948, 35.18047) 阿德道哈
Khallat al Luzah (31.6737, 35.20272) 哈拉特阿尔卢扎
Wadi Rahhal (31.66516, 35.16727) 瓦迪拉哈尔
Wadi an Nis (31.65387, 35.16152) 瓦迪安尼斯
Marah Ma'alla (31.64925, 35.17478) 马拉赫马阿拉
Al Maniyah (31.61851, 35.22115) 马尼亚
'Arab ar Rashaydah (31.57112, 35.23227) 阿拉伯拉沙伊达
Bayt 'Inun (31.5587, 35.1244) 贝特伊农
Bayt Maqdum (31.53537, 34.97192) 贝特马克杜姆
Al Buq'ah (31.54199, 35.14279) 布卡
Al Buwayrah (31.48794, 35.11665) 布韦拉
Khallat ad Dar (31.49737, 35.11362) 哈拉特阿德达尔
Dayr Samit (31.52057, 34.97442) 戴尔萨米特
Al Hilah (31.47454, 35.10742) 希拉
Wadi ash Shajinah (31.47057, 35.03151) 瓦迪阿什沙吉纳
As Surrah (31.47097, 34.99897) 阿斯苏拉
Zif (31.46693, 35.13671) 齐夫
Al Buwayb (31.46396, 35.15227) 布韦布
Hadb al 'Alqah (31.4555, 34.99493) 哈德布阿尔卡
Bayt 'Amrah (31.4502, 35.04952) 贝特阿姆拉
Umm ad Daraj (31.44538, 35.20071) 乌姆阿德达拉杰
Ad Dayrat (31.4438, 35.16352) 阿德代拉特
Khashm ad Daraj (31.41627, 35.23948) 哈什姆阿德达拉杰
Rabud (31.43909, 35.0162) 拉布德
Umm Lasafa (31.43597, 35.15613) 乌姆拉萨法
Umm al Khayr (31.42544, 35.1957) 乌姆阿尔海尔
Al Karmil (31.42301, 35.13278) 卡尔米尔
Khallat Salih (31.42013, 35.11516) 哈拉特萨利赫
'Arab al Furayjat (31.35638, 34.92072) 阿拉伯富雷贾特
Umm Dar (32.4571, 35.13661) 乌姆达尔
Al Khuljan (32.45428, 35.14427) 胡尔詹
Bir al Basha (32.42022, 35.23013) 比尔巴沙
Al Badhan (32.25857, 35.33247) 巴丹
'Ayn al Bayda (32.38051, 35.50838) 艾因拜达
Ath Thaghrah (32.33004, 35.38979) 塔格拉
Az Zubaydat (32.1733, 35.53005) 祖拜达特
Al Jiftlik (32.1407, 35.48738) 吉夫特利克
Al Ma'sarah (31.65534, 35.17928) 马萨拉
Khursa (31.48232, 35.01742) 胡尔萨
Givat Zeev (31.86145, 35.16861) 吉瓦特泽夫
Oranit (32.13165, 34.99094) 奥拉尼特
Itamar (32.17474, 35.30941) 伊塔玛尔
Alon shvut (31.65483, 35.12587) 阿隆什武特
Bruchin (32.08191, 35.08994) 布鲁钦
Geva Binyamin (31.85031, 35.27405) 盖瓦本雅明
Shaked (32.4735, 35.16877) 沙克德
Otniel (31.43932, 35.02859) 奥特尼尔
Beit El (31.94153, 35.22241) 贝特埃尔
Ganei Modi'in (31.92892, 35.01656) 加内莫迪因
Zibreira (39.48257, -8.60994) 齐布雷拉
Zambujeira do Mar (37.52799, -8.78483) 桑布热拉杜马尔
Vimeiro (39.17768, -9.31702) 维梅罗
Vila Vicosa (38.7777, -7.41793) 维拉维索萨
Vila Verde (41.64729, -8.43715) 维拉维尔德
Vila Velha de Rodao (39.65646, -7.6767) 维拉韦尔哈德罗当
Vila Franca de Xira (38.95525, -8.98966) 维拉弗兰卡德谢拉
Vila Flor (41.30904, -7.15378) 维拉弗洛尔
Vila do Bispo (37.08317, -8.91144) 维拉杜比斯波
Vila de Rei (39.67604, -8.14577) 维拉德雷伊
Vila Cha de Ourique (39.17219, -8.76658) 维拉查德奥里克
Vila Baleira (33.05919, -16.33371) 维拉巴莱拉
Vieira de Leiria (39.86945, -8.93238) 维埃拉德莱里亚
Vidigueira (38.20995, -7.8005) 维迪盖拉
Vidais (39.36886, -9.04916) 维达伊斯
Viana do Alentejo (38.33458, -8.0044) 维亚纳杜阿连特茹
Vialonga (38.87206, -9.07805) 维亚隆加
Vestiaria (39.55271, -8.9979) 维斯蒂亚里亚
Vendas Novas (38.67706, -8.45792) 文达斯诺瓦斯
