Volovat (47.81667, 25.9) 沃洛瓦特
Voloiac (44.61667, 23.1) 沃洛亚克
Voivozi (47.21562, 22.39024) 沃伊沃齐
Voivodeni (46.7, 24.63333) 沃伊沃德尼
Voievodeasa (47.79953, 25.74939) 沃耶沃德萨
Voitinel (47.88366, 25.75735) 沃伊蒂内尔
Voitestii din Vale (45.08746, 23.42145) 沃伊泰什蒂丁瓦莱
Voiteg (45.46889, 21.23917) 沃伊泰格
Voislova (45.52752, 22.45967) 沃伊斯洛瓦
Voinesti (47.06667, 27.41667) 沃因什蒂
Voinesita (45.41528, 23.96685) 沃伊内西塔
Voineasa (44.28333, 24.13333) 沃伊内亚萨
Voila (45.81839, 24.84215) 沃伊拉
Voetin (45.4437, 27.14587) 沃埃廷
Voicesti (44.6, 24.28333) 沃伊切什蒂
Voievoda (43.84126, 25.13777) 沃耶沃达
Vlasinesti (47.93333, 26.88333) 弗拉希内什蒂
Vlasceni (44.58522, 25.59931) 弗拉什切尼
Vlasca (44.39664, 27.84865) 弗拉什卡
Vlahita (46.345, 25.527) 弗拉希塔
Vlahii (44.2031, 27.86703) 弗拉希
Vlaha (46.69656, 23.45532) 弗拉哈
Vladuleni (44.88857, 23.23727) 弗拉杜列尼
Vladuceni (45.13693, 24.25051) 弗拉杜切尼
Vlad Tepes (44.35, 27.08333) 弗拉德采佩什
Vladnic (46.44542, 27.13816) 弗拉德尼克
Vladimir (56.13655, 40.39658) 弗拉基米尔
Vladimirescu (46.16628, 21.40102) 弗拉迪米雷斯库
Vladila (44, 24.4) 弗拉迪拉
Vladesti (45.15, 24.91667) 弗拉德什蒂
VladeniDeal (47.5225, 26.87295) 弗拉德尼迪尔
Vladeni (47.71667, 26.51667) 弗拉德尼
Vladaia (44.35, 23.03333) 弗拉达亚
Vizuresti (44.6404, 25.8074) 维祖雷什蒂
Viziru (45.01667, 27.7) 维齐鲁
Vizantea Razaseasca (45.96997, 26.81405) 维赞泰亚拉扎塞什卡
Vitomiresti (44.86667, 24.4) 维托米雷什蒂
Vitioara de Sus (45.17958, 26.06556) 维蒂奥阿拉德苏斯
Vitanesti (44, 25.41667) 维塔内什蒂
Visuia (46.83703, 24.29503) 维苏亚
Vistieru (45.22304, 25.70179) 维斯蒂耶鲁
Visterna (44.85971, 28.77134) 维斯特尔纳
Vistea de Sus (45.74554, 24.74167) 维什泰亚德苏斯
Vistea de Jos (45.79582, 24.7238) 维什泰亚德乔斯
Vistea (46.8026, 23.40218) 维什泰亚
Visinii (44.29684, 27.1863) 维西尼
Visinesti (45.1, 25.55) 维希内什蒂
Visinelu (46.73798, 24.10194) 维希内卢
Visina Noua (43.87434, 24.4182) 维希纳诺亚
Visina (44.58333, 25.33333) 维希纳
Viseu de Sus (47.71667, 24.43333) 维舍乌德苏斯
Viseu de Mijloc (47.71562, 24.40661) 维舍乌德米日洛克
Viseu de Jos (47.72558, 24.36613) 维舍乌德乔斯
Visea (46.85641, 23.87361) 维谢亚
Viscri (46.05522, 25.09389) 维什克里
Visani (45.15, 27.28333) 维沙尼
Visag (45.54977, 21.81221) 维萨格
Varvoru de Jos (44.24415, 23.6079) 瓦尔沃鲁德乔斯
Varvor (44.22527, 23.62387) 瓦尔沃尔
Vart (44.95, 23.13333) 瓦尔特
Vartop (44.20682, 23.34869) 瓦尔托普
Vartoapele de Sus (44.19182, 25.20025) 瓦尔托阿佩莱德苏斯
Vartoapele de Jos (44.18333, 25.2) 瓦尔托阿佩莱德乔斯
Vartescoiu (45.73333, 27.08333) 瓦尔泰斯科尤
Varteju (44.35606, 25.99183) 瓦尔泰尤
Varsolt (47.2, 22.93333) 瓦尔索尔特
Viroaga (43.87166, 28.08855) 维罗阿加
Varlezi (45.9, 27.85) 瓦尔莱齐
Varghis (46.13333, 25.53333) 瓦尔吉什
Varfurile (46.31667, 22.51667) 瓦尔富里莱
Varfuri (45.1, 25.51667) 瓦尔富里
Varfu Campului (47.84566, 26.33056) 瓦尔富坎普卢伊
Varciorova (45.3271, 22.35208) 瓦尔乔罗瓦
Varciorog (46.96667, 22.3) 瓦尔乔罗格
Viperesti (45.23333, 26.46667) 维佩雷什蒂
Vintileasca (45.608, 26.706) 温蒂莱亚斯卡
Vintileanca (44.985, 26.58005) 温蒂莱安卡
Vintila Voda (45.46667, 26.71667) 温蒂拉沃达
Vintere (46.76883, 22.14652) 温特雷
VanjuMare (44.42528, 22.86972) 瓦恩久马雷
Vanjulet (44.44111, 22.7925) 瓦恩久莱特
Vingard (46.01317, 23.74696) 温加德
Vinga (46.01667, 21.2) 温加
Vinetesti (46.62965, 27.90064) 维内泰什蒂
Vinerea (45.88632, 23.35289) 维内雷亚
Vinderei (46.15, 27.8) 温德雷
VanatoriNeamt (47.2, 26.31667) 瓦纳托里内安茨
Vanatorii Mici (44.49028, 25.55889) 瓦纳托里米奇
Vanatorii Mari (44.48898, 25.54548) 瓦纳托里马里
Vanatori (45.73333, 27.25) 瓦纳托里
Vima Mica (47.4, 23.71667) 维马米卡
Valcelele de Sus (44.28461, 24.55821) 瓦尔切莱莱德苏斯
Valcelele (45.3443, 27.34937) 瓦尔切莱莱
Valcele (45.85, 25.68333) 瓦尔切莱
Valcanesti (45.11667, 25.93333) 瓦尔卡内什蒂
Viisoara Mica (48.15371, 26.78642) 维绍拉米卡
Viisoara (46.55, 23.91667) 维绍拉
Viile Satu Mare (47.66667, 22.95) 维莱萨图马雷
Viile Apei (47.78109, 23.29103) 维莱阿佩
Viile (45.80691, 27.94748) 维莱
