Sebes (45.95646, 23.571) 塞贝什
Seaca de Padure (44.36611, 23.30587) 森林塞亚卡
Seaca de Camp (43.93333, 23.21667) 田野塞亚卡
Seaca (43.75, 25.06667) 塞亚卡
Scutelnici (44.85, 26.91667) 斯库特尔尼奇
Scurtu Mare (44.35, 25.26667) 大斯库尔图
Scurtesti (45.13829, 26.90397) 斯库尔泰什蒂
Scurta (46.26133, 27.01548) 斯库尔塔
Scundu (44.83333, 24.2) 斯昆杜
Sculia (45.44429, 21.43225) 斯库利亚
Scrioastea (44.15, 24.95) 斯克里奥斯特亚
Scortoasa (45.36403, 26.66116) 斯科尔托阿萨
Scorteni (45.1, 25.85) 斯科尔泰尼
Scortaru Vechi (45.21886, 27.75489) 老斯科尔塔鲁
Scortaru Nou (45.31667, 27.6) 新斯科尔塔鲁
Scornicesti (44.56667, 24.55) 斯科尔尼切什蒂
Scoreiu (45.75872, 24.5323) 斯科雷乌
Scoposeni (46.92731, 28.09604) 斯科波塞尼
Scobinti (47.402, 26.912) 斯科宾蒂
Scoarta (45.01667, 23.45) 斯科尔察
Scanteia (46.91667, 27.56667) 斯坎泰亚
Scanteiesti (45.68333, 27.98333) 斯坎泰耶什蒂
Schiulesti (45.28471, 25.95403) 斯基乌莱什蒂
Schitu Scoicesti (44.81641, 25.15053) 斯基图斯科伊切什蒂
Schitu Poienari (43.98881, 25.47769) 斯基图波耶纳里
SchituGolesti (45.2, 25) 斯基图戈莱什蒂
Schitu Frumoasa (46.63541, 26.48761) 美丽斯基图
SchituDuca (47.03333, 27.76667) 斯基图杜卡
Schitu (44.35, 24.56667) 斯基图
SchitOraseni (47.63948, 26.68958) 斯基图奥拉舍尼
Schinteiesti (44.70107, 22.66723) 斯金泰耶什蒂
Schineni (46.20351, 27.9529) 斯基内尼
Schela (45.5, 27.83667) 斯凯拉
Scheiu de Sus (44.95602, 25.19317) 上谢尤
Scheiu de Jos (44.9346, 25.19986) 下谢尤
Scheia (47.65, 26.23333) 谢亚
Scaueni (45.26388, 24.44472) 斯考埃尼
Scarlatesti (44.94784, 27.39325) 斯卡尔拉泰什蒂
Scarisoara (44, 24.56667) 斯卡里索阿拉
Scapau (44.46432, 22.72373) 斯卡保
Scaesti (44.46667, 23.58333) 斯凯什蒂
Sboghitesti (45.33104, 24.8084) 斯博吉泰什蒂
Savarsin (46.01667, 22.23333) 萨瓦尔辛
Savinesti (46.85, 26.46667) 萨维内什蒂
Saveni (47.95, 26.86667) 萨韦尼
Savadisla (46.68333, 23.45) 萨瓦迪斯拉
Saulia (46.63333, 24.21667) 萨乌利亚
Saulesti (44.8, 23.48333) 萨乌莱什蒂
Saucesti (46.61853, 26.94141) 萨乌切什蒂
Saucenita (47.89378, 26.39724) 萨乌切尼塔
Saucani (46.73391, 22.26581) 萨乌卡尼
SatSugatag (47.79796, 23.90637) 萨特苏加塔格
Satu Nou de Jos (47.6162, 23.5685) 下新村
Satu Nou Calopar (44.16667, 23.76667) 卡洛帕尔新村
Satu Nou (44.26918, 28.22579) 新村
Satu Mare (47.79926, 22.86255) 萨图马雷
Satulung (47.56667, 23.43333) 萨图隆
Satuc (45.18561, 27.15634) 小村
Satnoeni (44.23316, 27.55107) 萨特诺埃尼
Satmarel (47.7347, 22.79536) 小萨图马雷
Sateni (44.97129, 25.41683) 萨泰尼
Satchinez (45.9375, 21.04056) 萨奇内兹
Salcioara (44.71667, 25.58333) 萨尔乔阿拉
SascutSat (46.18727, 27.06851) 萨斯库特村
Sascut (46.2, 27.1) 萨斯库特
Sasciori (45.86667, 23.58333) 萨斯乔里
Sascioara (44.8007, 23.87074) 萨斯乔阿拉
Saschiz (46.18333, 24.96667) 萨什基兹
Sasca Romana (44.89234, 21.72458) 罗马尼亚萨斯卡
Sasca Montana (44.88546, 21.70915) 蒙塔纳萨斯卡
Sasca Mica (47.43927, 26.17888) 小萨斯卡
Sasca Mare (47.43271, 26.14166) 大萨斯卡
Sasarm (47.2117, 24.21941) 萨萨尔姆
SarulestiGara (44.44444, 26.6578) 萨鲁莱什蒂火车站
Sarulesti (44.41667, 26.65) 萨鲁莱什蒂
Saru Dornei (47.28333, 25.35) 多尔内伊萨鲁
Saros pe Tarnave (46.2, 24.55) 塔尔纳韦上的萨罗斯
Sarmizegetusa (45.51667, 22.78333) 萨尔米泽盖图萨
Sarmasu (46.75, 24.16667) 萨尔马苏
SarmaselGara (46.78535, 24.20626) 萨尔马塞尔火车站
Sarmasel (46.76062, 24.17885) 萨尔马塞尔
Sarmasag (47.35, 22.83333) 萨尔马沙格
Sarmas (46.8802, 25.45462) 萨尔马什
Saramas (45.70618, 26.04107) 萨拉马什
Sarisoru Mare (47.2705, 25.33258) 大萨里索鲁
Sarinasuf (45.01027, 29.06355) 萨里纳苏夫
Sarile (45.53304, 26.75068) 萨里莱
Sarighiol de Deal (44.6996, 28.51383) 山上的萨里吉奥尔
Sarichioi (44.95, 28.85) 萨里基奥伊
Sardu (46.86159, 23.39171) 萨尔杜
Sardanesti (44.77086, 23.36087) 萨尔达内什蒂
Sard (46.12814, 23.5352) 萨尔德
Sarbatoarea (44.299, 23.65238) 萨尔巴托阿雷亚
Saravale (46.06929, 20.74085) 萨拉瓦莱
Sarauad (47.47944, 22.62559) 萨劳阿德
Sarateni (46.56247, 25.01331) 萨拉泰尼
SarataMonteoru (45.14936, 26.6415) 萨拉塔蒙特奥鲁
Sarata (46.02056, 29.66444) 萨拉塔
Sarasau (47.9551, 23.82874) 萨拉绍
Saraiu (44.71667, 28.15) 萨拉尤
