Ruginoasa (47.25, 26.85) 鲁吉诺阿萨
Ruginesti (46.06667, 27.11667) 鲁吉内什蒂
Rugi (45.13659, 23.29063) 鲁吉
Rugetu (45.14147, 23.87275) 鲁杰图
Ruget (45.01537, 23.76766) 鲁杰特
Rugasesti (47.23147, 23.87326) 鲁加塞什蒂
Ruganesti (46.30469, 25.07345) 鲁加内什蒂
Rudina (44.8797, 22.79555) 鲁迪纳
Rudeni (44.47242, 25.97325) 鲁德尼
Rucareni (45.99438, 26.65496) 鲁卡雷尼
Rucar (45.4, 25.16667) 鲁卡尔
Rubla (45.353, 27.07525) 鲁布拉
Roznov (46.83333, 26.51667) 罗兹诺夫
Rozavlea (47.73333, 24.21667) 罗扎夫莱亚
Pecica (46.16667, 21.06667) 佩奇卡
Rovine (44.6954, 27.09364) 罗维内
Rovinari (44.91667, 23.18333) 罗维纳里
Rotunda (43.98333, 24.31667) 罗通达
Rotbav (45.83902, 25.55775) 罗特巴夫
Rotari (45.05528, 26.29502) 罗塔里
Rosu (44.45025, 26.01122) 罗苏
Rosiuta (44.85791, 22.98036) 罗休塔
Rosioru (45.21155, 27.08027) 罗希奥鲁
Rosiorii de Vede (44.11667, 24.98333) 罗希奥里-德-韦德
Rosiori (44.8, 27.38333) 罗希奥里
Rosioara (45.01442, 23.87963) 罗希奥拉
Rosiile (44.86667, 23.93333) 罗希列
Rosiesti (46.43333, 27.88333) 罗希埃什蒂
Rosia Montana (46.30669, 23.13373) 罗希亚蒙塔纳
Rosia Jiu (44.89011, 23.16265) 罗希亚久
Rosia de Secas (46.05, 23.88333) 罗希亚-德-塞卡什
Rosia de Amaradia (45.05, 23.75) 罗希亚-德-阿马拉迪亚
Roseti (44.21482, 27.44848) 罗塞蒂
Roscani (47.53346, 26.54909) 罗什卡尼
Rona de Sus (47.9, 24.05) 罗纳-德-苏斯
Rona de Jos (47.91667, 24.01667) 罗纳-德-若斯
Romuli (47.53333, 24.43333) 罗穆利
Romosel (45.80518, 23.31278) 罗莫塞尔
Romos (45.83333, 23.28333) 罗莫什
Romani (46.78333, 26.68333) 罗马尼
Romanesti (44.56667, 25.61667) 罗马内什蒂
Romanasi (47.1, 23.18333) 罗马纳希
Romanu (45.28333, 27.73333) 罗马努
Rojiste (44.06683, 23.93898) 罗日什特
Roit (46.98183, 21.70939) 罗伊特
Rogoz (47.46749, 23.93214) 罗戈兹
Rogova (44.47167, 22.80667) 罗戈瓦
Rogojesti (47.93885, 26.16223) 罗戈耶什蒂
Rogojeni (45.98039, 28.09262) 罗戈耶尼
Rogojel (46.79365, 22.86138) 罗戈耶尔
Roesti (44.91667, 24.08333) 罗埃什蒂
Rodna (47.41667, 24.81667) 罗德纳
Rod (45.80099, 23.7853) 罗德
Rociu (44.66667, 25.03333) 罗丘
Robeasca (45.16, 27.141) 罗贝阿斯卡
Robanestii de Sus (44.32199, 24.00685) 罗巴内什蒂-德-苏斯
Robaia (45.21642, 24.77977) 罗拜亚
Roata Mica (44.40004, 25.55737) 罗阿塔米卡
Roata de Jos (44.41083, 25.54333) 罗阿塔-德-若斯
Rau Sadului (45.61667, 24.06667) 劳萨杜鲁伊
Raureni (45.05545, 24.33125) 劳雷尼
Rau de Mori (45.48333, 22.85) 劳-德-莫里
Rau Alb de Sus (45.16048, 25.32683) 劳阿尔布-德-苏斯
Rau Alb de Jos (45.13653, 25.34745) 劳阿尔布-德-若斯
Rasnov (45.58333, 25.45) 拉什诺夫
Rasesti (46.77219, 28.14273) 拉舍什蒂
Risculita (46.22667, 22.72169) 里斯库利察
Rasca (46.73967, 23.10625) 拉什卡
Ripiceni (47.95, 27.13333) 里皮切尼
Rapa de Jos (46.93919, 24.76855) 拉帕-德-若斯
Rapa (46.78265, 22.02446) 拉帕
Ranzesti (46.22101, 28.09468) 兰泽什蒂
Randunica (45.0008, 28.75091) 兰杜尼卡
Ranceni (46.40396, 28.10543) 兰切尼
Rancaciov (44.88872, 25.35778) 兰卡乔夫
Ramnicu Valcea (45.1, 24.36667) 拉姆尼库沃尔恰
Ramnicu Sarat (45.38333, 27.05) 拉姆尼库萨拉特
Ramnicu de Jos (44.6292, 28.45536) 拉姆尼库-德-若斯
Ramniceni (45.51322, 27.44843) 拉姆尼切尼
Ramnicelu (45.36381, 27.11121) 拉姆尼切卢
Rimetea (46.45, 23.56667) 里梅泰亚
Ramesti (44.56667, 24.1) 拉梅什蒂
Rafov (44.86667, 26.13333) 拉福夫
Rieni (46.57485, 22.44584) 列尼
Raciu (46.68333, 24.4) 拉丘
Rachitele de Sus (44.90574, 24.65269) 拉基特莱-德-苏斯
Rachitele de Jos (44.88582, 24.66426) 拉基特莱-德-若斯
Richis (46.09788, 24.48183) 里基什
Raca (44.43426, 25.04333) 拉卡
Ribita (46.18333, 22.76667) 里比塔
Reviga (44.71667, 27.1) 雷维加
Revarsarea (45.27583, 28.39436) 雷瓦尔萨雷亚
Retis (46.04337, 24.8512) 雷蒂什
Retevoiesti (45.14016, 24.83797) 雷特沃耶什蒂
Reteag (47.19582, 24.01862) 雷特阿格
Resita (45.30083, 21.88917) 雷希察
Resca (44.17265, 24.39243) 雷什卡
Repedea (47.83333, 24.4) 雷佩德亚
Remus (43.94295, 25.98039) 雷穆斯
Remeti pe Somes (47.48172, 23.3396) 雷梅蒂佩索梅什
