Porumbacu de Sus (45.71457, 24.47267) 波伦巴库德苏斯
Porumbacu de Jos (45.75, 24.45) 波伦巴库德若斯
Portari (46.73845, 27.69951) 波尔塔里
Poroschia (43.93333, 25.36667) 波罗什恰
Poroinica (44.66296, 25.44743) 波罗伊尼卡
Poroina Mare (44.49528, 22.93639) 波罗伊纳马雷
Popricani (47.3, 27.51667) 波普里卡尼
Popoveni (44.288, 23.78208) 波波韦尼
Poporogi (44.36667, 25.18333) 波波罗吉
Popoiu (46.54193, 26.11743) 波波尤
Poplaca (45.71667, 24.05) 波普拉卡
PopestiLeordeni (44.38333, 26.16667) 波佩什蒂莱奥尔德尼
Popesti (47.23333, 22.41667) 波佩什蒂
Popeni (46.24667, 27.8052) 波佩尼
Ponor (46.33333, 23.41667) 波诺尔
Calugari (46.42371, 22.47846) 卡卢加里
Ponoarele (44.97389, 22.76444) 波诺阿雷莱
Ponoara (46.88561, 22.65776) 波诺阿拉
Pomarla (48.06667, 26.31667) 波马尔拉
Pomi (47.7, 23.31667) 波米
Pomezeu (46.78333, 22.28333) 波梅泽乌
Polovragi (45.18333, 23.8) 波洛夫拉吉
Poloboc (46.76109, 26.54975) 波洛博克
Policiori (45.33754, 26.65722) 波利乔里
Pojorata (47.51667, 25.45) 波若拉塔
Pojogeni (44.99119, 23.48425) 波若杰尼
Pojejena (44.77417, 21.57917) 波热耶纳
Poienile Zagrei (47.3872, 24.25682) 波耶尼莱扎格雷
PoienileMogos (46.28333, 23.28333) 波耶尼莱莫戈什
Poienile Izei (47.7, 24.11667) 波耶尼莱伊泽伊
Poienile (46.93333, 27.18333) 波耶尼莱
Poienii de Sus (46.60802, 22.51742) 波耶尼德苏斯
Poienii de Jos (46.60841, 22.50064) 波耶尼德若斯
Poienesti (46.61667, 27.53333) 波耶内什蒂
Poienari (45.21667, 25.05) 波耶纳里
Poiana Vadului (46.4, 22.88333) 波亚纳瓦杜鲁伊
Poiana Teiului (47.1, 25.96667) 波亚纳泰尤鲁伊
Poiana Tapului (45.39344, 25.54066) 波亚纳塔普鲁伊
Poiana Stampei (47.31667, 25.13333) 波亚纳斯坦佩伊
Poiana Sibiului (45.8, 23.73333) 波亚纳锡比乌鲁伊
Poiana Seciuri (44.99191, 23.72535) 波亚纳塞丘里
Poiana Negrii (47.32207, 25.22078) 波亚纳内格里
Poiana Micului (47.65831, 25.77013) 波亚纳米库鲁伊
Poiana Marului (45.6, 25.3) 波亚纳马鲁鲁伊
Poiana Mare (43.91667, 23.06667) 波亚纳马雷
Poiana lui Stanga (44.51141, 25.58605) 波亚纳鲁伊斯坦加
