Malnas (46.01667, 25.83333) 马尔纳什
Malini (47.46667, 26.08333) 马利尼
Malancrav (46.11003, 24.6481) 马兰克拉夫
Maldarestii de Jos (45.10713, 24.01703) 下马尔达雷什蒂
Maldaresti (45.11667, 24) 马尔达雷什蒂
Maldaeni (44.11667, 24.93333) 马尔代尼
Malcoci (45.13851, 28.88824) 马尔科奇
Malaia (45.35, 24.03333) 马莱亚
Malaestii de Jos (45.10454, 25.99709) 下马莱什蒂
Malaiesti (44.86916, 26.11811) 马莱什蒂
Malaesti (44.46289, 23.74145) 马莱什蒂
Mailat (46.04189, 21.10702) 马伊拉特
Maierus (45.9, 25.53333) 马耶鲁什
Maieru (47.4, 24.75) 马耶鲁
Maicanesti (45.5, 27.5) 马伊卡内什蒂
Maiag (44.61195, 23.62211) 马亚格
Mahmudia (45.08333, 29.08333) 马赫穆迪亚
MaguriRacatau (46.645, 23.197) 马古里拉卡陶
Maguri (46.62849, 23.10294) 马古里
Magureni (45.06667, 25.73333) 马古雷尼
Magurele (44.35, 26.03333) 马古雷莱
Magura Ilvei (47.38333, 24.8) 伊尔韦伊的马古拉
Magula (44.93185, 26.30114) 马古拉
Maglavit (44.03333, 23.1) 马格拉维特
Magiresti (46.51667, 26.55) 马吉雷什蒂
Magherus (46.9201, 25.34641) 马赫鲁什
Magheru (44.65467, 22.63102) 马赫鲁
Magheresti (45.09404, 23.52384) 马赫雷什蒂
Magherani (46.56667, 24.9) 马赫拉尼
Magesti (47.01667, 22.45) 马杰什蒂
Mogesti (45.11667, 23.91667) 莫杰什蒂
Magazia (47.10333, 26.26161) 马加齐亚
Maeriste (47.31667, 22.8) 马耶里什泰
Madulari (45.03333, 24) 马杜拉里
Madarjac (47.04994, 27.26182) 马达尔雅克
Maderat (46.29493, 21.71137) 马德拉特
Madei (47.20466, 25.75254) 马代伊
Macrina (45.38657, 27.19894) 马克里纳
Maciseni (45.85583, 27.75355) 马奇谢尼
Macin (45.24371, 28.13564) 马钦
Macesu de Sus (43.91667, 23.7) 上马切苏
Macesu de Jos (43.88333, 23.71667) 下马切苏
Macesti (44.75527, 21.6091) 马切什蒂
Macea (46.38333, 21.3) 马恰
Macaresti (47.03408, 27.96999) 马卡雷什蒂
Lutoasa (46.09068, 26.23323) 卢托阿萨
Lutita (46.24713, 25.18949) 卢蒂塔
Lusca (47.27913, 24.40661) 卢什卡
Luptatori (44.30333, 26.81109) 卢普塔托里
Lupcina (47.83333, 25.25) 卢普奇纳
Lupsanu (44.38333, 26.9) 卢普萨努
Lupsa de Sus (44.73208, 22.94692) 上卢普沙
Lupsa de Jos (44.7313, 22.99572) 下卢普沙
Lupsa (46.36667, 23.2) 卢普沙
Lupoaia (44.81449, 22.96126) 卢波阿亚
Lupesti (46.16667, 26.73333) 卢佩什蒂
Lupeni (45.36029, 23.23832) 卢佩尼
Luparia (47.49135, 27.02369) 卢帕里亚
Lupac (45.28, 21.81278) 卢帕克
Lunguletu (44.61667, 25.65) 隆古莱图
Lungoci (45.56644, 27.51924) 隆戈奇
Lungesti (44.56667, 24.18333) 隆杰什蒂
Lungani (47.18333, 27.15) 隆加尼
Lunga (46.01822, 26.21208) 隆加
Luncusoara (47.59624, 26.35947) 隆库索阿拉
Luncsoara (47.03663, 22.54213) 隆克索阿拉
Luncoiu de Sus (46.07591, 22.81347) 上隆科尤
Luncoiu de Jos (46.078, 22.78767) 下隆科尤
Luncile (45.49662, 26.5441) 隆奇莱
Luncavita (45.28333, 28.26667) 隆卡维塔
Luncasi (47.11709, 26.80598) 隆卡希
Hermeziu (47.44415, 27.553) 赫尔梅齐乌
Lunca Priporului (45.43909, 26.30869) 普里波鲁伊的隆卡
Lunca Prahovei (45.04714, 25.77161) 普拉霍韦伊的隆卡
Luncani (46.47274, 23.95095) 隆卡尼
Lunca Muresului (46.43333, 23.9) 穆列什河的隆卡
Lunca Mare (45.19932, 25.74523) 大隆卡
Lunca Lesului (47.30943, 24.77602) 莱什卢伊的隆卡
Lunca la Tisa (47.95213, 24.05216) 提萨的隆卡
Lunca Jaristei (45.48231, 26.25483) 雅里什泰的隆卡
Lunca Ilvei (47.36667, 24.98333) 伊尔韦伊的隆卡
Lunca Frumoasa (45.30699, 26.5395) 美丽的隆卡
Lunca de Sus (46.53333, 25.96667) 上隆卡
Lunca de Jos (46.56667, 25.98333) 下隆卡
Lunca Corbului (44.68391, 24.75855) 科尔布卢伊的隆卡
Lunca Cetatuii (47.0966, 27.56319) 切塔图伊的隆卡
Lunca Cernii de Jos (45.63333, 22.61667) 下切尔尼的隆卡
Lunca Bradului (46.95595, 25.1114) 布拉杜卢伊的隆卡
Lunca Banului (46.595, 28.16833) 巴努卢伊的隆卡
Lunca Asau (46.43503, 26.41158) 阿绍的隆卡
Lunca (43.83333, 24.76667) 隆卡
Luna de Sus (46.74313, 23.43539) 上卢纳
Luna de Jos (46.93677, 23.76014) 下卢纳
Luminis (46.81332, 26.45275) 卢米尼斯
Lumina (44.28333, 28.56667) 卢米纳
LuiziCalugara (46.53333, 26.83333) 卢伊齐卡卢加拉
Luica (44.23333, 26.58333) 卢伊卡
Lugojel (45.66644, 21.9618) 卢戈杰尔
Lugoj (45.68861, 21.90306) 卢戈什
Lugasu de Sus (47.07917, 22.35605) 上卢加苏
