Lugasu de Jos (47.06667, 22.35) 卢加苏德若斯
Lueta (46.26667, 25.48333) 卢埃塔
Luieriu (46.85, 24.71667) 卢耶里乌
Ludus (46.48333, 24.1) 卢杜什
Ludos (45.91667, 23.9) 卢多什
Ludesti (44.86667, 25.23333) 卢代什蒂
Ludasi (46.61962, 26.57926) 卢达希
Luciu (44.96667, 27.08333) 卢丘
Lucieni (44.85, 25.43333) 卢切尼
Lucacesti (47.53996, 23.3355) 卢卡切什蒂
Lucaceni (47.74194, 22.47819) 卢卡切尼
Lozna (47.31667, 23.46667) 洛兹纳
Lovrin (45.96806, 20.77028) 洛夫林
Lorau (46.91659, 22.63139) 洛劳
Lopatari (45.48333, 26.58333) 洛帕塔里
Lopatnita (45.18558, 26.22021) 洛帕特尼察
Lopadea Noua (46.2909, 23.81901) 洛帕德亚诺亚
Lompirt (47.32302, 22.84556) 隆皮尔特
Loman (45.85772, 23.55319) 洛曼
Loloiasca (44.96808, 26.29141) 洛洛亚斯卡
Logresti Mosteni (44.90663, 23.7048) 洛格雷什蒂莫什泰尼
Logresti (44.9, 23.7) 洛格雷什蒂
Logig (46.87946, 24.57378) 洛吉格
Locusteni (43.97456, 23.99754) 洛库什泰尼
Loamnes (45.93333, 24.1) 洛阿姆内什
LiveziVale (46.41667, 26.73333) 利韦齐瓦莱
Livezile (47.18333, 24.56667) 利韦齐莱
Livezi (44.84029, 23.82505) 利韦齐
Livezeni (46.55, 24.63333) 利韦泽尼
Liveni (48.05736, 27.06279) 利韦尼
Livadea (45.18663, 25.92805) 利瓦德亚
Livada de Bihor (47.01039, 21.80836) 比霍尔的利瓦达
Livada (47.86667, 23.13333) 利瓦达
Liubcova (44.65885, 21.89559) 柳布科瓦
Liteni (47.56667, 26.2) 利泰尼
Listeava (43.83418, 23.92022) 利斯特亚瓦
Lisna (48.10699, 26.47686) 利斯纳
Liscoteanca (45.00452, 27.55317) 利斯科坦卡
Lisaura (47.63824, 26.29758) 利萨乌拉
Lisa (43.8, 25.13333) 利萨
Lipovu (44.1, 23.63333) 利波武
Lipoveni (47.72396, 26.2256) 利波韦尼
Lipovat (46.56667, 27.7) 利波瓦特
Lipnita (44.1, 27.6) 利普尼察
Lipia (44.71003, 26.26445) 利皮亚
Lipau (47.7175, 23.13256) 利保
Lipanesti (45.05, 26.01667) 利帕内什蒂
Linia din Vale (44.46916, 24.34082) 林尼亚丁瓦莱
Izvoru (44.49414, 25.0647) 伊兹沃鲁
Limpezis (44.95357, 26.7049) 林佩齐斯
Limanu (43.8, 28.53333) 利马努
Liliesti (45.03458, 25.88554) 利列什蒂
Lilieci (46.62861, 26.87176) 利列切
Liiceni (44.12339, 24.27617) 利切尼
Lihulesti (44.98579, 23.65914) 利胡列什蒂
Liesti (45.61667, 27.51667) 列什蒂
Liebling (45.5775, 21.32167) 列布林
Licurici (44.91667, 23.61667) 利库里奇
Licuriciu (44.09783, 25.19643) 利库里丘
Libotin (47.50541, 23.96833) 利博廷
Libertatea (47.61678, 27.2876) 利贝尔塔泰亚
Leucusesti (47.42751, 26.37307) 勒乌库舍什蒂
Letea Veche (46.55, 26.95) 勒特亚韦切
Letca Veche (44.19911, 25.68681) 勒特卡韦切
Letca Noua (44.23496, 25.74262) 勒特卡诺亚
Letcani (47.18333, 27.41667) 勒特卡尼
Letca (47.33333, 23.45) 勒特卡
Lesu (47.31667, 24.75) 列苏
Lespezi (47.36667, 26.7) 列斯佩齐
Lesnic (45.91421, 22.74096) 列斯尼克
Leresti (45.33333, 25.06667) 列雷什蒂
Lera (45.33429, 26.23633) 列拉
Leotesti (44.36683, 24.1522) 列奥泰什蒂
Leordina (47.78333, 24.25) 列奥尔迪纳
Leordeni (44.78333, 25.11667) 列奥尔德尼
Leorda (47.81667, 26.45) 列奥尔达
Leontinesti (46.51693, 26.59302) 列翁蒂内什蒂
Lenauheim (45.87194, 20.79944) 列瑙海姆
Lemniu (47.35325, 23.48667) 列姆尼乌
Lemnia (46.05, 26.26667) 列姆尼亚
Leliceni (46.34713, 25.84782) 列利切尼
Lelesti (45.1, 23.2) 列莱什蒂
Lelese (45.73333, 22.7) 列莱塞
Lelei (47.37586, 23.06816) 列莱伊
Leleasca (44.78333, 24.43333) 列莱斯卡
Leicesti (45.09586, 24.86108) 列切什蒂
LehliuGara (44.43333, 26.85) 勒赫柳加拉
Lehliu (44.46667, 26.81667) 勒赫柳
Leheceni (46.44657, 22.51638) 勒赫切尼
Leghia (46.84707, 23.18919) 勒吉亚
Lechinta (47.01667, 24.35) 勒钦塔
Lazuri de Beius (46.58333, 22.4) 贝尤什的拉祖里
Lazuri (47.85, 22.86667) 拉祖里
Lazu Baciului (47.90513, 23.92052) 拉祖巴丘卢伊
Lazu (44.1153, 28.60717) 拉祖
Lazaresti (45.15659, 24.9954) 拉扎雷什蒂
Lazareni (46.86667, 22.06667) 拉扎雷尼
Lazarea (46.75, 25.53333) 拉扎雷亚
Latinu (45.39114, 27.69942) 拉蒂努
Lastuni (45.02718, 28.69698) 拉斯图尼
