Laslea (46.21667, 24.65) 拉斯莱亚
Laschia (47.54332, 23.73214) 拉斯基亚
Largu (44.96667, 27.15) 拉尔古
Larga (46.3506, 26.53321) 拉尔加
LargaJijia (47.32118, 27.38698) 拉尔加吉吉亚
Lapusnicu Mare (44.91306, 21.94417) 拉普什尼库马雷
Lapusnicel (44.98306, 22.22694) 拉普什尼切尔
Lapusel (47.6183, 23.47913) 拉普谢尔
Lapus (47.5, 24.01667) 拉普什
Lapugiu de Jos (45.88333, 22.48333) 拉普久德若斯
Lapos (46.39363, 26.46245) 拉波什
Lanurile (45.04149, 27.74916) 兰乌里莱
Lancram (45.98708, 23.55665) 兰克拉姆
Lamotesti (45.65851, 27.25113) 拉莫泰什蒂
Lamaseni (47.49322, 26.22806) 拉马塞尼
Lalosu (44.55, 24.01667) 拉洛苏
Lalasint (46.07125, 22.00929) 拉拉辛特
Laicai (45.16838, 25.20586) 莱凯
Ladesti (44.88333, 24.05) 拉代什蒂
Ladauti (45.72186, 26.06305) 拉道蒂
Lacusteni (44.60715, 27.67569) 拉库什泰尼
Lacu Sarat (45.21867, 27.88764) 拉库萨拉特
Lacurile (45.08493, 24.53922) 拉库里莱
Laculete (45.01837, 25.43108) 拉库莱特
Laceni (44.08466, 25.3327) 拉切尼
Jurilovca (44.76667, 28.86667) 尤里洛夫卡
Iuresti (47.63333, 27.08333) 尤雷什蒂
Jupanesti (45.06667, 24.85) 朱帕内什蒂
Jupani (45.80564, 22.02039) 朱帕尼
Jupa (45.45755, 22.18865) 朱帕
Jugureni (45.1, 26.45) 朱古雷尼
Jugureanu (44.94313, 27.27878) 朱古雷亚努
Jugur (45.19255, 25.08493) 朱古尔
Jucu de Mijloc (46.84236, 23.7738) 朱库德米日洛克
Josenii Bargaului (47.21667, 24.68333) 约塞尼巴尔高乌伊
Joseni (46.7, 25.5) 约塞尼
Jorasti (45.98333, 27.86667) 约拉什蒂
Jolotca (46.86389, 25.52774) 约洛特卡
Joldesti (47.56004, 26.57705) 约尔德什蒂
Zoita (45.3, 27.03333) 佐伊塔
Joita (44.49417, 25.85389) 约伊塔
JiuParoseni (45.36175, 23.26044) 朱帕罗谢尼
Jitia (45.58333, 26.71667) 吉蒂亚
Jitaru (44.5463, 24.54876) 吉塔鲁
Jirov (44.67098, 23.08693) 吉罗夫
Jirlau (45.16667, 27.16667) 吉尔劳
Jina (45.78333, 23.68333) 吉纳
Jimbor (46.92628, 24.20868) 吉姆博尔
Jimbolia (45.79139, 20.71722) 吉姆博利亚
Jiliste (45.60094, 27.24156) 吉利什特
Jilavele (44.76667, 26.53333) 吉拉韦莱
Jilava (44.33333, 26.07806) 吉拉瓦
Jijila (45.3, 28.15) 吉吉拉
Jigoreni (46.89644, 27.31416) 吉戈雷尼
Jiet (45.42702, 23.42837) 吉耶特
Jieni (43.95095, 24.59349) 吉耶尼
Jidvei (46.21667, 24.1) 吉德韦
Jidostita (44.71582, 22.59311) 吉多什蒂塔
Jichisu de Jos (47.11667, 23.8) 吉希苏德若斯
Jibou (47.25896, 23.25651) 吉博乌
Jiblea Veche (45.2436, 24.35163) 吉布莱亚韦凯
Jiblea Noua (45.22312, 24.35771) 吉布莱亚诺亚
Jibert (46, 25.06667) 吉贝尔特
Jiana Veche (44.39083, 22.66861) 吉亚纳韦凯
Jiana Mare (44.41113, 22.6889) 吉亚纳马雷
Jiana (44.40184, 22.71278) 吉亚纳
Jgheaburi (45.28137, 24.80542) 吉赫布里
Jelna (47.10954, 24.55599) 杰尔纳
Jegalia (44.3, 27.63333) 杰加利亚
Jebel (45.55556, 21.21361) 杰贝尔
Jdioara (45.62104, 22.10699) 杰迪奥阿拉
Jaristea (45.78333, 27.06667) 贾里什蒂亚
Jamu Mare (45.25417, 21.41694) 贾穆马雷
Jac (47.16713, 23.19825) 雅克
Jabenita (46.78407, 24.79671) 雅贝尼察
Izvoru Rece (45.16724, 23.90068) 伊兹沃鲁雷切
Izvoru Muresului (46.6271, 25.68274) 伊兹沃鲁穆列什乌伊
Izvorul Trotusului (46.48334, 25.94197) 伊兹沃鲁特罗图苏卢伊
Izvorul Rece (44.35603, 23.75295) 伊兹沃鲁雷切
Izvoru Dulce (45.34178, 26.7773) 伊兹沃鲁杜尔切
Izvoru de Sus (44.81667, 24.65) 伊兹沃鲁德苏斯
Izvoru Crisului (46.83333, 23.1) 伊兹沃鲁克里苏卢伊
Izvoru Barzii (44.70667, 22.67417) 伊兹沃鲁巴尔齐
Izvoru Berheciului (46.58333, 27.21667) 伊兹沃鲁贝尔赫丘卢伊
Izvorani (44.87338, 24.94083) 伊兹沃拉尼
Izvoarele Sucevei (47.75, 25.18333) 伊兹沃阿雷苏切韦伊
Izvoarele (45.03333, 25.26667) 伊兹沃阿雷莱
Izvoare (44.14773, 23.29582) 伊兹沃阿雷
Izvin (45.80034, 21.46066) 伊兹文
Izimsa (44.17819, 22.95649) 伊齐姆萨
Izbuc (46.44025, 22.46803) 伊兹布克
Izbiceni (43.83333, 24.65) 伊兹比切尼
Ivrinezu Mare (44.22967, 28.06556) 伊夫里内祖马雷
Ivesti (45.68333, 27.51667) 伊韦什蒂
Ivanetu (45.45906, 26.49236) 伊瓦内图
Ivanesti (46.63481, 27.46048) 伊瓦内什蒂
Ivanes (46.82476, 25.90111) 伊瓦内什
Ivaneasa (47.33878, 24.9085) 伊瓦内亚萨
Ivanda (45.56578, 20.94171) 伊万达
Iugani (47.04431, 26.82891) 尤加尼
