Grojdibodu (43.75, 24.26667) - 格罗伊迪博杜
Grivita (44.73333, 27.28333) - 格里维察
Grinties (47.05, 25.86667) - 格林蒂耶什
Grindu (44.76667, 26.91667) - 格林杜
Grindeni (46.50067, 23.99793) - 格林德尼
Grindasi (44.72729, 26.84015) - 格林达希
Granari (46.04047, 24.97383) - 格拉纳里
Grigoreni (46.59659, 26.68175) - 格里戈雷尼
Greoni (45.08901, 21.61731) - 格雷奥尼
Grecesti (44.45, 23.28333) - 格雷切什蒂
Greceanca (45.07863, 26.54468) - 格雷切安卡
Greblesti (45.47514, 24.31182) - 格雷布莱什蒂
Grebenisu de Campie (46.6, 24.3) - 格雷贝尼苏-德-坎皮耶
Greaca (44.10944, 26.33944) - 格雷亚卡
Grebanu (45.38333, 26.96667) - 格雷巴努
Gratia (44.43333, 25.45) - 格拉蒂亚
Granicesti (47.81667, 26.06667) - 格拉尼切什蒂
Graniceri (46.51667, 21.3) - 格拉尼切里
Gramesti (47.91667, 26.15) - 格拉梅什蒂
Grajduri (46.96667, 27.51667) - 格拉伊杜里
Grajdeni (46.18977, 27.77832) - 格拉伊德尼
Grajdana (45.20865, 26.63114) - 格拉伊达纳
Gradistea (44.23333, 27.21667) - 格拉迪什泰亚
Gradinile (43.94653, 24.39238) - 格拉迪尼莱
Gradinari (44.39222, 25.81556) - 格拉迪纳里
Grabat (45.87861, 20.74238) - 格拉巴特
Gottlob (45.936, 20.71168) - 戈特洛布
Gostinu (44, 26.11667) - 戈斯蒂努
GostinariVacaresti (44.18333, 26.21667) - 戈斯蒂纳里瓦卡雷什蒂
Gostinari (44.18624, 26.22807) - 戈斯蒂纳里
Gostilele (44.50307, 26.49742) - 戈斯蒂莱莱
Gostila (47.32356, 23.80422) - 戈斯蒂拉
Gostavatu (44.08333, 24.53333) - 戈斯塔瓦图
Gusoiu (45.01667, 25.45) - 古索尤
Gosmani (46.8362, 26.71522) - 戈斯马尼
Goruni (47.10389, 27.71854) - 戈鲁尼
Gorunesti (44.56736, 23.96102) - 戈鲁内什蒂
Goruna (45.08696, 25.94202) - 戈鲁纳
Goruia (45.18722, 21.77917) - 戈鲁亚
Gornovita (45.07286, 22.96788) - 戈尔诺维塔
GornetCricov (45.08333, 26.26667) - 戈尔内特克里科夫
Gornet (45.11667, 26.06667) - 戈尔内特
