Genuneni (45.03135, 24.11151) 根努内尼
General Scarisoreanu (43.95451, 28.30105) 斯卡里索雷亚努将军
Gemeni (44.17265, 23.08251) 热梅尼
Gemenele (45.28333, 27.61667) 热梅内莱
Gemenea Bratulesti (45.10839, 25.23155) 热梅内亚布拉图莱什蒂
Gefu (46.07475, 27.51638) 热富
Geamana (44.82005, 24.89109) 热阿马纳
Geaca (46.86667, 24.1) 热阿卡
Gazarie (46.48928, 26.51877) 加扎里耶
Gavojdia (45.61667, 22.01667) 加沃日迪亚
Gavanesti (45.08825, 27.06499) 加瓦内什蒂
Gaujani (43.73333, 25.7) 高雅尼
Gataia (45.43111, 21.43) 加塔亚
Garvan (45.3471, 28.16187) 加尔万
Garoafa (45.78333, 27.2) 加罗阿法
Garagau (44.23186, 25.1892) 加拉高
DalgaGara (44.43333, 27.05) 达尔加加拉
Gara Berheci (45.97429, 27.43747) 贝尔赫奇站
Gara Banca (46.33923, 27.7942) 班卡站
Ganesti (46.33333, 24.35) 加内什蒂
Ganeasa (44.48333, 26.28333) 加内亚萨
Gamacesti (45.25134, 24.93056) 加马切什蒂
Galsa (46.2881, 21.65137) 加尔萨
Galospetreu (47.48345, 22.2173) 加洛什佩特雷乌
Galoiesti (45.5519, 26.95632) 加洛耶什蒂
Galita (44.09995, 27.49117) 加利塔
Galiciuica (44.10324, 23.39067) 加利丘伊卡
Galicea Mare (44.1, 23.3) 加利切亚马雷
Galicea (44.91667, 24.28333) 加利切亚
Galesu (45.27177, 24.76409) 加莱苏
Galesti (46.51667, 24.75) 加莱什蒂
Galda de Jos (46.18333, 23.61667) 加尔达德若斯
Galbinasi (45.08333, 26.91667) 加尔比纳希
Galbenu (45.21667, 27.16667) 加尔贝努
Galbeni (46.45661, 26.94664) 加尔贝尼
Galautas (46.91238, 25.40079) 加劳塔什
Galatii Bistritei (46.98333, 24.4) 加拉蒂比斯特里采伊
Galati (45.43687, 28.05028) 加拉茨
Galateni (44.21667, 25.35) 加拉泰尼
Galasesti (44.95593, 24.78602) 加拉谢什蒂
Galanesti (47.91667, 25.8) 加拉内什蒂
Gaiseni (44.515, 25.64528) 加伊谢尼
Gainesti (47.41968, 25.91809) 加伊内什蒂
Gaiceana (46.33333, 27.21667) 加伊恰纳
Gagesti (46.33333, 27.96667) 加盖什蒂
Gageni (45.02164, 25.94585) 加盖尼
Gaesti (44.71667, 25.31667) 加埃什蒂
Gadalin (46.84043, 23.8483) 加达林
Fusea (44.66191, 25.53448) 富塞亚
Furtunesti (45.4594, 26.3976) 富尔图内什蒂
Furnicosi (45.14302, 25.00198) 富尔尼科西
Furnicari (46.50815, 26.99793) 富尔尼卡里
Furesti (44.93347, 25.10852) 富雷什蒂
Furduesti (44.72416, 25.10556) 富尔杜埃什蒂
Furculesti (43.87202, 25.14285) 富尔库莱什蒂
Furcenii Noi (45.81118, 27.33954) 富尔切尼诺伊
Fundu Tutovei (46.69612, 27.18822) 丰杜图托韦伊
Fundu Racaciuni (46.35864, 26.88987) 丰杜拉卡丘尼
Fundu Moldovei (47.53333, 25.4) 丰杜摩尔多韦伊
Fundulea (44.46667, 26.51667) 丰杜莱亚
Fundu Hertii (48.11323, 26.3136) 丰杜赫尔蒂伊
Fundoaia (46.8851, 25.46561) 丰多阿亚
Fundenii Noi (45.57529, 27.54955) 丰德尼诺伊
Fundeni (44.38333, 26.35) 丰德尼
Fundeanu (45.9852, 27.73284) 丰德亚努
Fundatura (46.95647, 23.78074) 丰达图拉
Fundata (45.45, 25.3) 丰达塔
Fumureni (44.61714, 24.1581) 富穆雷尼
Fulga de Sus (44.9, 26.45) 富尔加德苏斯
Fulga de Jos (44.88152, 26.44258) 富尔加德若斯
Fughiu (47.05689, 22.04623) 富吉乌
Frunzi (46.9, 24.33333) 弗伦齐
Frunzeni (46.73787, 26.62635) 弗伦泽尼
Frunzaru (44.04229, 24.59147) 弗伦扎鲁
Fruntiseni (46.20634, 27.76904) 弗伦蒂谢尼
Frumusita (45.66667, 28.06667) 弗鲁穆希塔
Frumusica (47.53333, 26.9) 弗鲁穆希卡
Frumuselu (46.27796, 27.35203) 弗鲁穆塞卢
Frumusani (44.29611, 26.32556) 弗鲁穆沙尼
Frumosu (47.61667, 25.65) 弗鲁莫苏
Frumoasa (46.45, 25.85) 弗鲁莫阿萨
Francesti (45.08333, 23.05) 弗兰切什蒂
Frenciugi (46.88747, 27.47722) 弗伦丘吉
Frecatei (45.1, 28.66667) 弗雷卡泰伊
Fratostita (44.58671, 23.57044) 弗拉托什蒂塔
Fratilesti (44.61452, 27.60444) 弗拉蒂莱什蒂
Fratesti (43.96667, 25.96667) 弗拉泰什蒂
Fratautii Vechi (47.9, 25.88333) 弗拉陶蒂维基
Fratautii Noi (47.94257, 25.84465) 弗拉陶蒂诺伊
Frata (46.7, 24.05) 弗拉塔
Frasin (47.53333, 25.8) 弗拉辛
Frasinu (44.79121, 25.86287) 弗拉西努
Frasinet (44.18038, 25.38238) 弗拉西内特
Frasin Deal (44.82684, 25.32176) 弗拉辛迪尔
Forotic (45.23028, 21.5875) 福罗蒂克
Forau (46.7107, 22.20113) 福劳
Forasti (47.35, 26.46667) 福拉什蒂
Foltesti (45.75, 28.05) 福尔泰什蒂
Folestii de Sus (45.09488, 24.05971) 福莱什蒂德苏斯
Folestii de Jos (45.06121, 24.07954) 福莱什蒂德若斯
