Foglas (47.25, 22.53333) - 福格拉斯
Foieni (47.7, 22.38333) - 福耶尼
Foeni (45.49861, 20.87583) - 福埃尼
Focuri (47.35, 27.21667) - 福库里
Focseasca (46.93331, 27.63297) - 福克谢斯卡
Focsani (45.7, 27.18333) - 福克沙尼
Focsanei (45.17913, 26.86117) - 福克沙内伊
Floru (44.37611, 24.75638) - 弗洛鲁
Floroaica (44.36081, 27.18299) - 弗洛罗艾卡
Floroaia (45.69497, 26.01563) - 弗洛罗艾亚
Florica (44.90802, 26.76627) - 弗洛里卡
Flondora (48.00286, 27.03221) - 弗隆多拉
Flamanzi (47.55, 26.86667) - 弗拉曼齐
Fizesu Gherlii (47.01667, 23.98333) - 菲泽苏·格尔利
Fizesti (45.54179, 23.08551) - 菲泽什蒂
Fizes (45.36403, 21.59517) - 菲泽什
Fitionesti (45.98333, 27.05) - 菲蒂奥内什蒂
Fastaci (46.73058, 27.44901) - 法斯塔奇
Fiser (46.07912, 25.15103) - 菲瑟尔
Fiscut (46.03058, 21.39625) - 菲斯库特
Fartanesti (45.81667, 27.98333) - 法尔塔内什蒂
Farliug (45.48833, 21.84944) - 法尔柳格
Fardea (45.73333, 22.16667) - 法尔德亚
Fantani (45.95449, 27.29003) - 范塔尼
Fantanele (46.1237, 21.3842) - 范塔内莱
Fantana Mare (47.41432, 26.30015) - 范塔纳·马雷
Finteusu Mic (47.56779, 23.4539) - 芬特乌苏·米克
Finteusu Mare (47.54001, 23.46451) - 芬特乌苏·马雷
Fintesti (45.08815, 26.46435) - 芬特什蒂
Finta Mare (44.8, 25.8) - 芬塔·马雷
Finisel (46.67672, 23.4273) - 菲尼塞尔
Finis (46.63333, 22.31667) - 菲尼什
Fanate (47.53333, 23.76667) - 法纳泰
Filpisu Mare (46.75385, 24.58954) - 菲尔皮苏·马雷
Filipestii de Targ (44.98333, 25.78333) - 菲利佩什蒂·德·塔尔格
Filipestii de Padure (45, 25.75) - 菲利佩什蒂·德·帕杜雷
Filipesti (46.75, 26.88333) - 菲利佩什蒂
Filipeni (46.53333, 27.18333) - 菲利佩尼
Filioara (47.1604, 26.2792) - 菲利奥阿拉
Filiasi (44.55, 23.51667) - 菲利亚希
Filias (46.27075, 25.0212) - 菲利亚斯
Filea (46.9421, 24.88547) - 菲莱亚
Fildu de Sus (46.93319, 22.96376) - 菲尔杜·德·苏斯
Fildu de Mijloc (46.92372, 22.99674) - 菲尔杜·德·米日洛克
Fildu de Jos (46.93333, 23.06667) - 菲尔杜·德·若斯
FierbintiTarg (44.682, 26.401) - 菲尔宾蒂塔尔格
Fierbintii de Sus (44.68988, 26.396) - 菲尔宾蒂·德·苏斯
Fierbintii de Jos (44.69523, 26.39629) - 菲尔宾蒂·德·若斯
Fierbinti (44.50747, 25.2876) - 菲尔宾蒂
Fieni (45.13333, 25.41667) - 菲耶尼
Fibis (45.9728, 21.42355) - 菲比什
FetestiGara (44.4196, 27.82536) - 费泰什蒂加拉
Fetesti (44.38333, 27.83333) - 费泰什蒂
Fersig (47.54049, 23.38371) - 费尔西格
Ferice (46.63671, 22.5258) - 费里切
Ferestre (45.182, 25.39581) - 费雷斯特雷
Feresti (46.78179, 27.70093) - 费雷什蒂
Ferendia (45.31617, 21.49829) - 费伦迪亚
Feredeni (47.48327, 26.8806) - 费雷德尼
FerestrauOituz (46.20249, 26.57629) - 费雷斯特劳奥伊图兹
Fenes (46.10431, 23.29511) - 费内什
Feneris (46.71203, 22.28821) - 费内里什
Felnac (46.11667, 21.15) - 费尔纳克
Feliceni (46.26667, 25.26667) - 费利切尼
Feleacu (46.71667, 23.61667) - 费莱库
Feldru (47.28333, 24.6) - 费尔德鲁
Feldioara (45.81667, 25.6) - 费尔迪奥阿拉
Feisa (46.22608, 24.14492) - 费萨
Fefelei (45.01309, 26.44148) - 费费莱伊
Fedesti (46.30571, 27.87732) - 费德什蒂
Fauresti (44.56667, 24.01667) - 福雷什蒂
Faurei (45.08333, 27.26667) - 福雷伊
Fartatesti (44.78333, 24) - 法尔塔泰什蒂
Farcasu de Jos (44.13539, 24.45901) - 法尔卡苏·德·若斯
Farcas (44.6, 23.75) - 法尔卡什
Farcasesti (44.86667, 23.2) - 法尔卡谢什蒂
Farcaseni (47.15987, 26.89615) - 法尔卡谢尼
Farcasele (44.15, 24.43333) - 法尔卡谢莱
Farcasa (47.58333, 23.33333) - 法尔卡沙
Farau (46.33333, 24.01667) - 法劳
Faraoani (46.43333, 26.9) - 法拉奥阿尼
Faraoanele (45.71364, 27.04829) - 法拉奥阿内莱
Faragau (46.76667, 24.51667) - 法拉高
Falticeni (47.45, 26.3) - 法尔蒂切尼
Falcoiu (44.23333, 24.36667) - 法尔科尤
Falciu (46.29611, 28.14083) - 法尔丘
Falcau (47.91087, 25.46908) - 法尔考
Falastoaca (44.19098, 26.18475) - 法拉斯托阿卡
Fagetu (45.13668, 26.02018) - 法杰图
Fagetelu (44.78333, 24.53333) - 法杰泰卢
Faget (45.85, 22.18333) - 法杰特
Fagarasu Nou (44.85757, 28.28088) - 法加拉苏·诺乌
Fagaras (45.85, 24.96667) - 法加拉什
Faclia (44.28039, 28.10583) - 法克利亚
Facai (44.27356, 23.82029) - 法凯
Facaieni (45.30479, 25.9963) - 法凯尼
Facaeni (44.56667, 27.9) - 法凯尼
Ezeris (45.41083, 21.88583) - 埃泽里什
Iezer (47.98321, 26.33338) - 耶泽尔
Estelnic (46.10445, 26.21262) - 埃斯特尔尼克
