Crasna (47.16667, 22.9) 克拉斯纳
Craiva (46.58333, 21.96667) 克赖瓦
Craiova (44.31667, 23.8) 克拉约瓦
Crai Nou (45.48822, 21.0003) 克赖诺乌
Crainimat (47.07116, 24.40138) 克赖尼马特
Craiesti (45.94314, 27.81136) 克赖埃什蒂
Craidorolt (47.61667, 22.7) 克赖多罗尔特
Craguesti (44.75995, 22.77316) 克拉古埃什蒂
Craciunesti (46.4793, 24.58234) 克拉丘内什蒂
Craciunelu de Jos (46.173, 23.833) 克拉丘内卢德若斯
Craciunel (46.18219, 25.43276) 克拉丘内尔
Craciunei (44.14575, 24.66309) 克拉丘内伊
Cracaul Negru (47.09363, 26.24061) 克拉考尔内格鲁
Cracaoani (47.09836, 26.31111) 克拉考阿尼
Cozmesti (46.88333, 27.98333) 科兹梅什蒂
Cozmeni (46.22678, 25.94209) 科兹梅尼
Cozma (46.81667, 24.53333) 科兹马
Cozieni (45.33333, 26.48333) 科齐埃尼
Cozia (47.00319, 27.89434) 科齐亚
Cozanesti (47.33333, 25.45) 科扎内什蒂
Coza (45.90803, 26.66911) 科扎
Covrigi (44.73825, 23.14921) 科夫里吉
Coves (45.98055, 24.57259) 科韦什
Coverca (47.23109, 25.39529) 科韦尔卡
Covei (43.97397, 23.42227) 科韦伊
Covasna (45.85, 26.18333) 科瓦斯纳
Covasint (46.2, 21.6) 科瓦辛特
Covaci (45.83412, 21.23285) 科瓦奇
Cotu Vames (46.906, 26.95535) 科图瓦梅什
Cotu Vaii (43.82319, 28.3464) 科图瓦伊
Cotusca (48.13333, 26.85) 科图什卡
Cotu Miculinti (48.18777, 26.94624) 科图米库林蒂
Cotumba (46.49743, 26.19112) 科图姆巴
Cotu Ciorii (45.06299, 27.14229) 科图乔里
Cotu Baii (47.4193, 26.28176) 科图拜伊
Cotu (47.59837, 26.86101) 科图
Cotoroaia (46.04398, 27.64571) 科托罗阿亚
Cotorca (44.82262, 26.82585) 科托尔卡
Cotofenii din Fata (44.45971, 23.65688) 科托费尼丁法塔
Cotofenii din Dos (44.43333, 23.61667) 科托费尼丁多斯
Cotofanesti (46.15, 26.98333) 科托法内什蒂
Cotofenesti (45.13262, 25.99314) 科托费内什蒂
Cotofanca (44.38136, 26.70237) 科托范卡
Cotnari (47.35, 26.98333) 科特纳里
Cotmeana (44.96667, 24.61667) 科特梅亚纳
Cotiglet (46.88963, 22.20152) 科蒂格莱特
Cotesti (45.65, 27.05) 科泰什蒂
Cotenesti (45.23462, 25.18617) 科泰内什蒂
Coteana (44.3, 24.46667) 科泰亚纳
Cotatcu (45.46643, 27.01486) 科塔特库
Cosula (47.6257, 26.77827) 科苏拉
Costuleni (47.03333, 27.85) 科斯图莱尼
Costiui (47.87931, 24.03032) 科斯图伊
Costiugeni (47.68563, 27.04442) 科斯图杰尼
Costisa (46.75, 26.65) 科斯蒂萨
Costinesti (43.95, 28.63333) 科斯蒂内什蒂
Costana (47.69265, 26.119) 科斯塔纳
Costieni (45.27844, 27.04155) 科斯蒂埃尼
Costi (45.49873, 28.01779) 科斯蒂
Costestii din Vale (44.65, 25.48333) 科斯泰什蒂丁瓦莱
Costestii din Deal (44.68132, 25.48938) 科斯泰什蒂丁德亚尔
Costesti (44.66667, 24.88333) 科斯泰什蒂
Costeni (45.01756, 22.89543) 科斯泰尼
Costeiu (45.74111, 21.84917) 科斯泰乌
Costache Negri (45.7, 27.71667) 科斯塔克内格里
Cosoveni (44.25, 23.93333) 科索韦尼
Cosoteni (44.12158, 25.02565) 科索泰尼
Cosoba (44.52268, 25.81903) 科索巴
Cosoaia (44.27835, 25.62585) 科索阿亚
Cosnea (46.43165, 26.07602) 科斯内亚
Cosna (47.37098, 25.18133) 科斯纳
Cosmina de Jos (45.15, 25.88333) 科斯米纳德若斯
CosmestiiVale (45.86931, 27.28771) 科斯梅什蒂瓦莱
Cosmesti (45.87017, 27.31115) 科斯梅什蒂
Coslugea (44.11878, 27.57872) 科斯卢杰亚
Coslegi (44.90424, 26.15925) 科斯莱吉
Cosambesti (44.55929, 27.43441) 科桑贝什蒂
Cosesti (45.06667, 24.86667) 科谢什蒂
Cosereni (44.68333, 26.56667) 科谢雷尼
Coserele (45.08742, 26.25545) 科谢雷莱
Coseiu (47.31667, 22.98333) 科谢乌
Cosdeni (46.76954, 22.2748) 科斯德尼
Cosbuc (47.3654, 24.39115) 科斯布克
Cosani (45.00788, 24.19188) 科萨尼
Corzu (44.45424, 23.1691) 科尔祖
Corvinesti (47.01713, 24.26014) 科尔维内什蒂
Corusu (46.84544, 23.50086) 科鲁苏
Corund (46.46667, 25.18333) 科伦德
Corunca (46.52075, 24.61792) 科伦卡
Coruia (47.56335, 23.59653) 科鲁亚
Corpadea (46.79195, 23.8281) 科尔帕德亚
Coropceni (46.94193, 27.8371) 科罗普切尼
Coroisanmartin (46.4, 24.6) 科罗伊桑马丁
Coroiesti (46.25, 27.48333) 科罗伊埃什蒂
Coroieni (47.36667, 23.76667) 科罗伊埃尼
Corod (45.9, 27.61667) 科罗德
Corocaiesti (47.63333, 26.48333) 科罗凯什蒂
Corobai (44.8, 23.15) 科罗拜
Cornutel (45.43489, 22.09556) 科尔努泰尔
Cornu Luncii (47.46667, 26.15) 科尔努伦奇
