Celaru (44.05, 24.13333) 塞拉鲁
Ceisoara (46.85672, 22.20265) 切伊索阿拉
Ceica (46.85, 22.18333) 切伊卡
Cehu Silvaniei (47.41177, 23.17489) 切胡·希尔瓦内伊
Cehei (47.25632, 22.77507) 切黑伊
Cehalut (47.42656, 22.56567) 切哈卢特
Cehal (47.38333, 22.6) 切哈尔
Cegani (44.46279, 27.90175) 切加尼
Cefa (46.91667, 21.73333) 切法
Cebza (45.55238, 21.06656) 切布扎
Ceuasu de Campie (46.63333, 24.51667) 切乌阿苏·德·坎皮耶
Ceauru (45.01175, 23.20211) 切乌鲁
Ceatalchioi (45.28333, 28.78333) 切阿塔尔基奥伊
Ceanu Mic (46.64274, 23.71121) 切阿努·米克
Ceanu Mare (46.66667, 23.95) 切阿努·马雷
Ceamurlia de Sus (44.76373, 28.60881) 切阿穆尔利亚·德·苏斯
Ceamurlia de Jos (44.73333, 28.71667) 切阿穆尔利亚·德·若斯
Ceahlau (47.05, 25.96667) 切阿赫劳
Ceacu (44.2653, 27.25213) 切阿库
Cazasu (45.27172, 27.89011) 卡扎苏
Cazanesti (44.61667, 27.01667) 卡扎内什蒂
Cazaci (44.80152, 25.55405) 卡扎奇
Cavnic (47.66667, 23.86667) 卡夫尼克
Cavadinesti (46.06667, 28.01694) 卡瓦迪内什蒂
Cauia (46.28183, 27.28247) 卡乌亚
Cauesti (46.92653, 27.54025) 卡乌埃什蒂
Cauiesti (46.01066, 27.70526) 卡乌耶什蒂
Cauasd (46.79095, 21.82026) 卡乌阿什德
Cauas (47.56667, 22.55) 卡乌阿什
Cauaceu (47.16666, 21.94411) 卡乌阿丘
Catunu (44.74179, 25.88883) 卡图努
Catunele (44.86442, 22.90707) 卡图内莱
Catina (45.3, 26.25) 卡蒂纳
Catiasu (45.39451, 26.22851) 卡蒂亚苏
Catelu (44.40292, 26.21975) 卡泰卢
Cateasca (44.76667, 25.08333) 卡泰阿斯卡
Catanele (44.38199, 24.56145) 卡塔内莱
Catane (43.92671, 23.41178) 卡塔内
CatamarestiDeal (47.76999, 26.59897) 卡塔马雷什蒂迪尔
Catamaresti (47.75204, 26.57239) 卡塔马雷什蒂
Cataloi (45.09581, 28.72856) 卡塔洛伊
Cata (46.08333, 25.26667) 卡塔
Casva (46.78458, 24.88493) 卡什瓦
Castrele Traiane (44.22865, 23.13921) 卡斯特雷勒·特拉亚内
Castranova (44.11667, 24.01667) 卡斯特拉诺瓦
Castelu (44.25, 28.33333) 卡斯特卢
Castau (45.81465, 23.21173) 卡斯陶
Casolt (45.77937, 24.28304) 卡索尔特
Casoca (45.48914, 26.26706) 卡索卡
Casinu Nou (46.19725, 26.04894) 卡西努·诺乌
Casin (46.2, 26.75) 卡辛
Casimcea (44.73333, 28.36667) 卡西姆恰
Caseiu (47.18333, 23.86667) 卡谢伊乌
Cascioarele (44.49911, 25.63817) 卡什奥雷莱
Casa Veche (44.86764, 24.31679) 卡萨·维切
Carvan (44.03714, 27.56912) 卡尔万
Cartojani (44.43221, 25.48994) 卡尔托贾尼
Cartiu (45.12236, 23.31651) 卡尔蒂乌
Carpinis (45.78722, 20.90417) 卡尔皮尼什
Carpinet (46.45, 22.48333) 卡尔皮内特
Carpenisu (44.53389, 25.63402) 卡尔佩尼苏
Carpenis (45.22657, 24.51223) 卡尔佩尼什
Carpen (44.33333, 23.25) 卡尔彭
Coroteni (45.4819, 27.02817) 科罗泰尼
C.A. Rosetti (45.3, 29.56667) C.A. 罗塞蒂
C.a. Rosetti (45.04622, 27.1664) C.a. 罗塞蒂
Carei (47.68333, 22.46667) 卡雷伊
Carcaliu (45.18333, 28.15) 卡尔卡柳
CarbunestiSat (44.95071, 23.54681) 卡尔布内什蒂萨特
Carbunesti (45.23333, 26.2) 卡尔布内什蒂
Carbunari (44.83444, 21.74417) 卡尔布纳里
Caravaneti (43.95551, 24.87625) 卡拉瓦内蒂
Caraula (44.18333, 23.25) 卡劳拉
Carastelec (47.3, 22.7) 卡拉什特莱克
Carasova (45.19861, 21.87) 卡拉索瓦
Caraseu (47.74126, 23.09798) 卡拉瑟乌
Carasau (46.70688, 22.05401) 卡拉绍
Carasa (47.9415, 26.52007) 卡拉萨
Carapcesti (45.96588, 27.65905) 卡拉普切什蒂
Caransebes (45.41667, 22.21667) 卡兰塞贝什
Carani (45.91095, 21.15686) 卡拉尼
Carand (46.45, 22.08333) 卡兰德
Caragele (44.97936, 27.03397) 卡拉热莱
Caraclau (46.30696, 26.71641) 卡拉克劳
Capusu Mic (46.79732, 23.25448) 卡普苏·米克
Capusu Mare (46.78333, 23.3) 卡普苏·马雷
Capu Piscului (45.17999, 24.97679) 卡普·皮斯库鲁伊
Capu Dealului (44.6294, 23.47813) 卡普·迪亚卢鲁伊
Capu Corbului (46.99975, 25.62922) 卡普·科尔布鲁伊
Capu Codrului (47.53117, 25.98724) 卡普·科德鲁鲁伊
Capu Campului (47.50822, 25.97959) 卡普·坎普鲁伊
Capsa (46.90453, 26.11082) 卡普萨
Caprioru (44.98236, 25.28116) 卡普里奥鲁
Capreni (44.75, 23.61667) 卡普雷尼
Caporal Alexa (46.33793, 21.58316) 卡波拉尔·阿莱克萨
Capleni (47.71667, 22.5) 卡普莱尼
Capalnita (46.36667, 25.51667) 卡帕尔尼察
Capalna de Jos (46.24, 24.11304) 卡帕尔纳·德·若斯
Capalna (46.73333, 22.1) 卡帕尔纳
Capeni (46.04111, 25.57858) 卡佩尼
