Berchez (47.51864, 23.50556) 伯尔切兹
Berceni (44.93333, 26.11667) 伯尔切尼
Berca (45.28333, 26.68333) 伯尔卡
Berbesti (44.98333, 23.88333) 伯尔贝什蒂
Bentu (45.06734, 26.97443) 本图
Benic (46.21312, 23.59143) 贝尼克
Benia (47.66459, 25.26697) 贝尼亚
Bengesti (45.06667, 23.6) 本杰什蒂
Benesti (44.66083, 23.90748) 贝内什蒂
Benesat (47.41049, 23.28904) 贝内萨特
Bencecu de Sus (45.88416, 21.42799) 本切库德苏斯
Beltiug (47.55, 22.85) 贝尔蒂乌格
Belobresca (44.78803, 21.51368) 贝洛布雷斯卡
Beliu (46.48333, 21.98333) 贝柳
Belis (46.65, 23.03333) 贝利什
BelinVale (45.93237, 25.60878) 贝林韦尔
Belint (45.755, 21.76028) 贝林特
Belin (45.93333, 25.56667) 贝林
Belfir (46.73751, 21.9497) 贝尔菲尔
Beleti (44.9, 25.08333) 贝莱蒂
Belciugatele (44.48333, 26.43333) 贝尔丘加泰莱
Belciug (44.81862, 26.24824) 贝尔丘格
Belcinu (44.12987, 23.79355) 贝尔奇努
Belcesti (47.3, 27.08333) 贝尔切什蒂
Beiusele (46.71828, 22.45117) 贝尤塞莱
Beius (46.66667, 22.35) 贝尤什
Beiu (43.87352, 25.45548) 贝尤
Beidaud (44.71667, 28.56667) 贝达乌德
Beica de Jos (46.73333, 24.8) 贝卡德若斯
Bechinesti (44.79093, 25.81702) 贝基内什蒂
Bedeciu (46.7952, 23.13225) 贝德丘
Beclean (47.18333, 24.18333) 贝克莱安
Beciu (44.00429, 24.66571) 贝丘
Becicherecu Mic (45.82917, 21.05139) 贝奇凯雷库米克
Bechet (43.78188, 23.95706) 贝切特
Becheni (47.45243, 22.44896) 贝切尼
Beceni (45.38333, 26.78333) 贝切尼
Beba Veche (46.13333, 20.31667) 贝巴韦凯
Bazos (45.73693, 21.49642) 巴佐什
Bazna (46.2, 24.28333) 巴兹纳
Bazga (46.37983, 27.02377) 巴兹加
Bautar (45.51667, 22.56667) 鲍塔尔
Batrani (45.31425, 26.15091) 巴特拉尼
Batrana (45.78333, 22.58333) 巴特拉纳
Batos (46.88333, 24.66667) 巴托什
Batogu (44.99705, 27.43027) 巴托古
Batiz (45.77806, 23.00243) 巴蒂兹
Batarasti (44.81667, 24.15) 巴塔拉什蒂
Batin (47.07277, 24.0614) 巴廷
Batesti (44.8483, 26.04031) 巴泰什蒂
Batasani (44.67488, 23.99626) 巴塔萨尼
Batarci (48.03333, 23.16667) 巴塔尔奇
Batar (46.7, 21.81667) 巴塔尔
Batanii Mici (46.10383, 25.69511) 巴塔尼米奇
Batanii Mari (46.08333, 25.68333) 巴塔尼马里
Basta (46.86546, 26.91337) 巴斯塔
Basesti (47.48333, 23.15) 巴塞什蒂
Bascov (44.9, 24.81667) 巴斯科夫
Basasti (46.62477, 26.60165) 巴萨什蒂
Basarabi (47.4537, 26.43972) 巴萨拉比
Baru Mic (45.46667, 23.15) 巴鲁米克
Barticesti (47.06324, 26.79254) 巴尔蒂切什蒂
Bargauani (46.98333, 26.63333) 巴尔高阿尼
Barcea (45.75, 27.46667) 巴尔恰
Barcani (45.7, 26.08333) 巴尔卡尼
Barcanesti (44.88333, 26.05) 巴尔卡内什蒂
Barcana (46.48829, 27.36225) 巴尔卡纳
Barbuletu (45.13333, 25.3) 巴尔布莱图
Barbulesti (44.72629, 26.59929) 巴尔布莱什蒂
Barbuceni (44.74639, 24.24482) 巴尔布切尼
Barbosi (46.48832, 27.97026) 巴尔博希
Barboi (44.44624, 23.32261) 巴尔博伊
Barbatesti (45.18333, 24.11667) 巴尔巴泰什蒂
Barati (46.57569, 26.87118) 巴拉蒂
Barateaz (45.96953, 21.09615) 巴拉泰兹
Barastii de Vede (44.71601, 24.65919) 巴拉什蒂德韦德
Barasti (45.25369, 24.59651) 巴拉什蒂
Baraolt (46.07514, 25.60029) 巴拉奥尔特
Baranca (48.19651, 26.47893) 巴兰卡
Baraitaru (44.86092, 26.3501) 巴拉伊塔鲁
Baraganul (44.8, 27.51667) 巴拉加努尔
Baraganu (44.08939, 28.4198) 巴拉加努
Barabant (46.0993, 23.58487) 巴拉班特
Banpotoc (45.89736, 23.011) 班波托克
Banloc (45.38742, 21.13581) 班洛克
Banita (45.45, 23.26667) 巴尼塔
Banisor (47.10431, 22.83731) 巴尼索尔
Banesti (45.1, 25.76667) 巴内什蒂
Baneasa (44.04611, 26.06417) 巴内亚萨
Bandoiu (44.86655, 27.94053) 班多尤
Bancu (46.30291, 25.94422) 班库
Banca (46.3, 27.8) 班卡
Banaresti (44.73044, 24.76066) 巴纳雷什蒂
Balusesti (46.81591, 26.99885) 巴卢塞什蒂
Baluseni (47.66667, 26.8) 巴卢塞尼
Baltita (44.8376, 25.85273) 巴尔蒂塔
Baltesti (45.10965, 26.12937) 巴尔泰什蒂
Badeana (46.15, 27.58333) 巴德亚纳
Balta Verde (44.34411, 22.59878) 巴尔塔韦尔德
Baltati (47.21667, 27.15) 巴尔塔蒂
