Sakule (45.14667, 20.48619) 萨库莱
Sajkas (45.27315, 20.09051) 萨伊卡斯
Sajan (45.84227, 20.27815) 萨扬
Rusanj (44.68477, 20.44993) 鲁桑
Ritopek (44.73849, 20.65499) 里托佩克
Ritisevo (45.06454, 21.2281) 里蒂谢沃
Ripanj (44.63864, 20.52136) 里潘
Rekovac (43.863, 21.09345) 雷科瓦茨
Razanj (43.67222, 21.54944) 拉扎涅
Ravni Topolovac (45.46082, 20.56939) 拉夫尼托波洛瓦茨
Ravanica (43.74771, 20.8843) 拉瓦尼察
Ralja (44.57222, 20.56222) 拉利亚
Rajince (42.3787, 21.69591) 拉金采
Radovnica (42.43364, 22.22861) 拉多夫尼察
Radojevo (45.74617, 20.78917) 拉多耶沃
Radenka (44.58345, 21.76469) 拉登卡
Prokuplje (43.23417, 21.58806) 普罗库普列
Progar (44.71744, 20.16047) 普罗加尔
Presevo (42.30917, 21.64917) 普雷舍沃
Pozarevac (44.62133, 21.18782) 波扎雷瓦茨
Plandiste (45.22722, 21.12167) 普兰迪什特
Pirot (43.15306, 22.58611) 皮罗特
Petrovac (44.37694, 21.41917) 彼得罗瓦茨
Perlez (45.20813, 20.38197) 佩尔莱兹
Pavlis (45.10569, 21.23952) 帕夫利斯
Paracin (43.86083, 21.40778) 帕拉钦
Pancevo (44.87177, 20.64167) 潘切沃
Padej (45.82756, 20.16279) 帕代伊
Ovca (44.88349, 20.53336) 奥夫察
Ostruznica (44.72769, 20.31845) 奥斯特鲁日尼察
Orlovat (45.24171, 20.58089) 奥尔洛瓦特
Opovo (45.05222, 20.43028) 奥波沃
Obrenovac (44.65486, 20.20017) 奥布雷诺瓦茨
Novo Milosevo (45.71916, 20.30364) 新米洛舍沃
Novi Slankamen (45.12554, 20.23914) 新斯兰卡门
Kozjak (44.58727, 19.28412) 科扎克
Novi Kozarci (45.78241, 20.62289) 新科扎尔齐
Novi Knezevac (46.05, 20.1) 新克涅泽瓦茨
Novi Karlovci (45.07636, 20.17948) 新卡尔洛夫齐
Novi Itebej (45.55918, 20.7003) 新伊特贝伊
Novi Beograd (44.80556, 20.42417) 新贝尔格莱德
Novi Becej (45.59861, 20.13556) 新贝切伊
Novi Banovci (44.95691, 20.28076) 新巴诺夫齐
Nova Pazova (44.94366, 20.21931) 新帕佐瓦
Nova Crnja (45.66833, 20.605) 新采尔尼亚
Nis (43.32472, 21.90333) 尼什
Nikolinci (45.05245, 21.06695) 尼科林齐
Neuzina (45.3446, 20.71418) 内乌齐纳
Negotin (44.22639, 22.53083) 内戈廷
Nakovo (45.87503, 20.56709) 纳科沃
Adorjan (46.00333, 20.04007) 阿多尔扬
Mosorin (45.30196, 20.16919) 莫索林
Mokrin (45.93362, 20.41215) 莫克林
Mladenovac (44.43861, 20.69917) 姆拉德诺瓦茨
Miratovac (42.25846, 21.66456) 米拉托瓦茨
Mileticevo (45.30508, 21.06404) 米莱蒂切沃
Mihajlovo (45.47085, 20.41508) 米哈伊洛沃
Merosina (43.28358, 21.7204) 梅罗希纳
Melenci (45.5168, 20.31961) 梅伦齐
Medvega (42.84306, 21.58333) 梅德韦加
Markovac (45.14964, 21.47242) 马尔科瓦茨
Margita (45.21598, 21.17527) 马尔吉塔
Malo Crnice (44.55611, 21.28556) 马洛采尔尼采
Mali Zam (45.20979, 21.33729) 马里扎姆
Mali Pozarevac (44.56327, 20.65433) 小波扎雷瓦茨
Mala Mostanica (44.63834, 20.306) 小莫斯塔尼察
Mala Ivanca (44.58961, 20.61634) 小伊万察
Majdanpek (44.42771, 21.94596) 马伊丹佩克
Lukino Selo (45.30244, 20.42632) 卢基诺塞洛
Lukicevo (45.33815, 20.49895) 卢基切沃
Lugavcina (44.52314, 21.07083) 卢加夫齐纳
Lucani (43.86083, 20.13806) 卢查尼
Lok (45.21583, 20.21222) 洛克
Ljukovo (45.02604, 20.02737) 卢科沃
Ljig (44.23007, 20.23819) 卢伊格
Leskovac (42.99806, 21.94611) 莱斯科瓦茨
Lebane (42.92389, 21.7375) 莱巴内
Lazarevo (45.38893, 20.53999) 拉扎雷沃
Lazarevac (44.38534, 20.2557) 拉扎列瓦茨
Lapovo (44.18424, 21.09727) 拉波沃
Lajkovac (44.36944, 20.16528) 拉伊科瓦茨
Kustilj (45.03487, 21.37989) 库斯蒂利
Kursumlija (43.13826, 21.27339) 库尔苏姆利亚
Kupinovo (44.70708, 20.04959) 库皮诺沃
Kupinik (45.29254, 21.13702) 库皮尼克
Kumane (45.53946, 20.22902) 库马内
Kucevo (44.4775, 21.67) 库切沃
Krusevac (43.58, 21.33389) 克鲁舍瓦茨
Krcedin (45.13871, 20.13308) 克尔切丁
Kraljevo (43.72583, 20.68944) 克拉列沃
Krajisnik (45.45283, 20.72976) 克拉伊什尼克
Kragujevac (44.01667, 20.91667) 克拉古耶瓦茨
Kovin (44.7475, 20.97611) 科温
Kovilj (45.23422, 20.02327) 科维尔
Kovacica (45.11167, 20.62139) 科瓦奇察
Konak (45.31575, 20.91468) 科纳克
Knicanin (45.18675, 20.319) 克尼察宁
Klek (45.42254, 20.48049) 克莱克
Kladovo (44.61147, 22.60955) 克拉多沃
Kikinda (45.82972, 20.46528) 基金达
