Pesochenskiy (54.17436, 36.10952) - 佩索琴斯基
Peskovka (59.04478, 52.36057) - 佩斯科夫卡
Peski (55.21626, 38.76262) - 佩斯基
Peshkovo (47.01659, 39.39156) - 佩什科沃
Peshki (56.13333, 37.06667) - 佩什基
Peschanokopskoye (46.19448, 41.08148) - 佩斯查诺科普斯科耶
Pervouralsk (56.90528, 59.94361) - 彼尔乌拉尔斯克
Pervomayskoye (43.91904, 46.71019) - 佩尔沃马伊斯科耶
Pervomayskiy (53.2463, 40.28911) - 佩尔沃马伊斯基
Mayskiy (47.696, 40.10259) - 迈斯基
Bakhchivandzhi (55.88333, 38.08333) - 巴赫奇万吉
Pervomayskaya (43.40331, 45.52343) - 佩尔沃马伊斯卡亚
Pervomaysk (48.04478, 30.84784) - 佩尔沃马伊斯克
Pervoavgustovskiy (52.2264, 35.0552) - 佩尔沃奥古斯托夫斯基
Perm (58.01046, 56.25017) - 彼尔姆
Pereyaslovskaya (45.84121, 39.02379) - 佩列亚斯洛夫斯卡亚
Perevoz (55.5957, 44.5454) - 佩列沃兹
Perevolotskiy (51.87766, 54.19007) - 佩列沃洛茨基
Perevoloki (53.2458, 49.1793) - 佩列沃洛基
Pereslavl'Zalesskiy (56.73912, 38.85966) - 佩列斯拉夫尔扎列斯基
Perepravnaya (44.3366, 40.7849) - 佩列普拉夫纳亚
Peremyshl' (54.2638, 36.16029) - 佩列米什利
Perelyub (51.86292, 50.35412) - 佩列柳布
Pereleshinskiy (51.71767, 40.19563) - 佩列列申斯基
Pereleshino (51.7378, 40.1375) - 佩列列希诺
Peredovaya (44.11722, 41.47556) - 佩列多瓦亚
NovoPeredelkino (55.64528, 37.33583) - 新佩列杰尔基诺
Penza (53.20066, 45.00464) - 彭扎
Peno (56.92521, 32.74376) - 佩诺
Pelagiada (45.20639, 42.02361) - 佩拉吉亚达
Pechory (57.81642, 27.6119) - 佩乔里
Pechora (65.14717, 57.22439) - 佩乔拉
Pechersk (54.85355, 32.03154) - 佩切尔斯克
Pechenga (69.52587, 31.17027) - 佩琴加
Pavshino (55.81667, 37.35) - 帕夫希诺
Pavlovskiy Posad (55.78187, 38.65025) - 帕夫洛夫斯基波萨德
Pavlovskiy (57.8424, 54.84357) - 帕夫洛夫斯基
Pavlovskaya Sloboda (55.81517, 37.08246) - 帕夫洛夫斯卡亚斯洛博达
Pavlovskaya (46.13903, 39.7862) - 帕夫洛夫斯卡亚
Pavlovsk (50.45778, 40.10806) - 帕夫洛夫斯克
Pavlovo (55.9686, 43.0912) - 帕夫洛沃
Pavlovka (52.68966, 47.14046) - 帕夫洛夫卡
Pavlovichi (56.56667, 37.7) - 帕夫洛维奇
Pavlodol'skaya (43.71923, 44.47815) - 帕夫洛多尔斯卡亚
Pavino (59.11501, 46.14398) - 帕维诺
Pavelets (53.78833, 39.24601) - 帕韦列茨
Pavda (59.2458, 59.516) - 帕夫达
Pashkovskiy (45.02366, 39.10436) - 帕什科夫斯基
Pashiya (58.4324, 58.2562) - 帕希亚
Pasegovo (58.50602, 49.51383) - 帕谢戈沃
Partizan (53.95017, 38.09801) - 帕尔蒂赞
Parkovyy (45.83306, 40.14556) - 帕尔科维
Pargolovo (60.0812, 30.27626) - 帕尔戈洛沃
Parfino (57.97259, 31.64782) - 帕尔菲诺
Parfen'yevo (58.48343, 43.40633) - 帕尔芬耶沃
Paraul (42.74193, 47.35531) - 帕拉乌尔
Paran'ga (56.7037, 49.40373) - 帕兰加
Panskoye (55.0314, 36.39191) - 潘斯科耶
Pankovka (58.50004, 31.1999) - 潘科夫卡
Panino (51.65208, 40.13062) - 帕尼诺
Pallasovka (50.04914, 46.8855) - 帕拉索夫卡
Palkino (57.54089, 28.01257) - 帕尔基诺
Palekh (56.80096, 41.85735) - 帕列赫
Pachelma (53.24426, 43.35205) - 帕切尔马
Staryye Ozinki (51.1786, 49.6769) - 斯塔里耶奥津基
Ozherel'ye (54.79197, 38.26559) - 奥热列利耶
Ozery (54.85998, 38.55062) - 奥泽里
Ozersk (55.75556, 60.70278) - 奥泽尔斯克
Ozerki (60.03947, 30.31128) - 奥泽尔基
Ovstug (53.36758, 33.87458) - 奥夫斯图格
Ovoshchi (45.36639, 43.32333) - 奥沃什奇
Overyata (58.08417, 55.86694) - 奥韦里亚塔
OtradoKubanskoye (45.24417, 40.84083) - 奥特拉多库班斯科耶
Otradnyy (53.37596, 51.3452) - 奥特拉德内
Otradnoye (59.7775, 30.81806) - 奥特拉德诺耶
Otradnaya (44.39318, 41.51929) - 奥特拉德纳亚
Otkaznoye (44.32639, 43.86083) - 奥特卡兹诺耶
Osyno (56.15053, 28.6758) - 奥西诺
Ostrovtsy (55.5875, 38.00556) - 奥斯特罗夫齐
Ostrovskoye (57.80552, 42.24328) - 奥斯特罗夫斯科耶
Ostrogozhsk (50.8664, 39.07561) - 奥斯特罗戈日斯克
Oster (50.9506, 30.88229) - 奥斯特尔
Ostashkov (57.14695, 33.10659) - 奥斯塔什科夫
Ostashevo (55.86076, 35.86401) - 奥斯塔舍沃
Ostankinskiy (55.82957, 37.61604) - 奥斯坦金斯基
Osinovo (55.8809, 48.881) - 奥西诺沃
Osinki (52.8432, 49.5132) - 奥辛基
Osel'ki (60.20503, 30.49667) - 奥谢尔基
Osa (57.2836, 55.45885) - 奥萨
Orud'yevo (56.43333, 37.53333) - 奥鲁杰沃
Orsk (51.23206, 58.48802) - 奥尔斯克
Orshanka (56.91729, 47.89636) - 奥尔尚卡
Orlovskiy (46.87441, 42.05223) - 奥尔洛夫斯基
Orlovo (51.7592, 39.5882) - 奥尔洛沃
Orlovka (44.69139, 44.17444) - 奥尔洛夫卡
Orichi (58.40138, 49.05982) - 奥里奇
Orgtrud (56.1832, 40.6149) - 奥尔格特鲁德
Orenburg (51.7727, 55.0988) - 奥伦堡
OrekhovoZuyevo (55.81242, 38.99155) - 奥列霍沃祖耶沃
Ordzhonikidzevskiy (43.84233, 41.89636) - 奥尔忠尼启泽夫斯基
