Orda (57.19197, 56.90462) 奥尔达
Oranzherei (45.84756, 47.56635) 奥兰热雷伊
Opochka (56.71448, 28.66287) 奥波奇卡
Opechenskiy Posad (58.2751, 34.11731) 奥佩琴斯基波萨德
Oparino (59.85098, 48.28614) 奥帕里诺
Opalikha (55.82593, 37.25278) 奥帕利哈
Onega (63.9057, 38.09944) 奥涅加
Omutninsk (58.67015, 52.19313) 奥穆特宁斯克
Olym (51.682, 38.17652) 奥利姆
Olonets (60.98106, 32.97261) 奥洛涅茨
Ol'khovka (49.85921, 44.56234) 奥尔霍夫卡
Ol'khovatka (50.28308, 39.28715) 奥尔霍瓦特卡
Ol'gino (59.83702, 29.92266) 奥尔吉诺
Ol'ginskaya (47.18732, 39.95187) 奥尔金斯卡亚
Ol'ginka (44.2075, 38.89111) 奥尔金卡
Olenino (56.20917, 33.48888) 奥列尼诺
Olenegorsk (68.1432, 33.25287) 奥列涅戈尔斯克
Okulovka (58.40801, 33.28852) 奥库洛夫卡
Oktyabr'skoye (45.28866, 34.13521) 十月村
TsotsinYurt (43.24206, 46.00013) 佐辛尤尔特
Oktyabr'skiy (55.60806, 37.97738) 十月斯基
Oktyabrsky (54.48147, 53.47103) 十月斯基
Takhtamukay (44.92198, 38.99486) 塔赫塔穆凯
Oktyabr'sk (53.16722, 48.70056) 十月斯克
Oksovskiy (62.60623, 39.89845) 奥克索夫斯基
Okhansk (57.71491, 55.3906) 奥汉斯克
Odoyev (53.93567, 36.68821) 奥多耶夫
Odintsovo (55.66977, 37.27716) 奥金佐沃
Ocher (57.88227, 54.71827) 奥切尔
Obukhovo (59.84389, 30.45111) 奥布霍沃
Obsharovka (53.125, 48.85306) 奥布沙罗夫卡
Oboyan' (51.21224, 36.27859) 奥博扬
Obninsk (55.10993, 36.61238) 奥布宁斯克
Oblivskaya (48.53616, 42.50143) 奥布利夫斯卡亚
Nyuksenitsa (60.41159, 44.23309) 纽克谢尼察
Nytva (57.93771, 55.34136) 尼特瓦
Nyrob (60.733, 56.72024) 尼罗布
Nyazepetrovsk (56.03715, 59.59852) 尼亚泽彼得罗夫斯克
