Kamen'Rybolov (44.74486, 132.04887) - 石渔夫
Kalga (50.92637, 118.90104) - 卡尔加
Kalanguy (51.01091, 116.519) - 卡兰古伊
Kadaya (50.93214, 119.29568) - 卡达亚
Kachug (53.96227, 105.88592) - 卡丘格
Kabansk (52.04861, 106.65278) - 卡班斯克
Izvestkovyy (48.97984, 131.55547) - 石灰
Ivolginsk (51.74919, 107.28374) - 伊沃尔金斯克
Irkutsk (52.29795, 104.29585) - 伊尔库茨克
Il'ka (51.72114, 108.52169) - 伊尔卡
Ilir (55.22473, 100.68498) - 伊利尔
Ikey (54.19194, 100.08111) - 伊凯
Gusinoye Ozero (51.11444, 106.26139) - 鹅湖
Gusinoozyorsk (51.28333, 106.5) - 鹅湖市
Gurskoye (50.31207, 138.0919) - 古尔斯科耶
Guran (54.76127, 100.64399) - 古兰
Guney (50.5143, 114.5565) - 古内
Grigor'yevka (44.16338, 132.00116) - 格里戈里耶夫卡
Gornyye Klyuchi (45.24221, 133.50601) - 山泉
Gornorechenskiy (44.26393, 135.11427) - 山河
GornoChuyskiy (57.64278, 111.72194) - 山丘
Gorin (51.19861, 136.66216) - 戈林
Gazimurskiy Zavod (51.55352, 118.3446) - 加济穆尔斯基工厂
Gashey (51.03954, 107.37092) - 加谢
Gadaley (54.40318, 100.74093) - 加达雷
El'ban (50.09534, 136.50106) - 埃尔班
Ekimchan (53.06982, 132.93854) - 埃基姆昌
Dzhida (50.67722, 106.18056) - 吉达
DzhebarikiKhaya (62.21084, 135.84876) - 杰巴里基哈亚
Dunay (42.87879, 132.33542) - 杜纳伊
Dul'durga (50.67404, 113.59124) - 杜尔杜尔加
Drovyanaya (51.5803, 113.04478) - 德罗夫亚纳亚
Dostoyevka (44.32554, 133.48134) - 陀思妥耶夫卡
Domna (51.89376, 113.15237) - 多姆纳
Verkhnyaya Ivolga (51.75175, 107.19565) - 上伊沃尔加
Davenda (53.55433, 119.31823) - 达文达
Dauriya (49.92572, 116.84546) - 达乌里亚
Darasun (51.65853, 113.97406) - 达拉孙
Dalnerechensk (45.93149, 133.73906) - 达尔涅列琴斯克
Churapcha (61.99979, 132.43298) - 楚拉普查
Chumikan (54.71857, 135.3163) - 楚米坎
Chul'man (56.84735, 124.90812) - 楚尔曼
Chuguyevka (44.16335, 133.86623) - 楚古耶夫卡
Chkalovskoye (44.83808, 133.04332) - 楚卡洛夫斯科耶
Chikoy (50.26611, 106.91778) - 奇科伊
Chernyshevskiy (63.01601, 112.46901) - 切尔尼舍夫斯基
Chernyshevsk (52.5222, 117.01759) - 切尔尼舍夫斯克
Chernyshevka (44.20149, 133.13672) - 切尔尼舍夫卡
Chernigovka (44.34149, 132.56937) - 切尔尼戈夫卡
Cheremkhovo (53.14745, 103.08192) - 切列姆霍沃
Chegdomyn (51.12853, 133.00827) - 切格多明
Chara (56.9033, 118.2592) - 查拉
Chagda (58.75131, 130.60613) - 查格达
Burkhun (54.82501, 100.82269) - 布尔洪
Bureya (49.81291, 129.81276) - 布列亚
Bukachacha (52.98197, 116.90108) - 布卡查查
Bugul'deyka (52.54611, 106.07306) - 布古尔代卡
Budulan (50.55721, 114.91297) - 布杜兰
Budagovo (54.6255, 100.13109) - 布达戈沃
Borzya (50.38333, 116.51667) - 博尔贾
Borogontsy (62.67007, 131.17309) - 博罗贡齐
Bol'shoy Kunaley (51.43203, 107.6089) - 大库纳雷
Bol'shoy Kamen' (43.11137, 132.35002) - 大石头
Bol'shaya Tura (51.61642, 114.11242) - 大图拉
Bol'shaya Rechka (51.95361, 104.73356) - 大河
Bokhan (53.15265, 103.77005) - 博汉
Bodaybo (57.85345, 114.20407) - 博代博
Biryul'ka (53.86778, 106.33472) - 比留尔卡
Birobidzhan (48.79284, 132.92386) - 比罗比詹
Birakan (48.99412, 131.72038) - 比拉坎
Bikin (46.81293, 134.25012) - 比金
Bichura (50.58806, 107.60222) - 比丘拉
Berkakit (56.57544, 124.77012) - 贝尔卡基特
Berezovyy (51.67092, 135.67529) - 桦树
Bereznyaki (56.9366, 103.5851) - 桦树林
Berdigestyakh (62.09798, 126.70205) - 贝尔季格斯塔赫
Baykal'sk (51.515, 104.1402) - 贝加尔斯克
Bayanday (53.06142, 105.50743) - 巴扬代
BatagayAlyta (67.7986, 130.40363) - 巴塔盖阿利塔
Batagay (67.65501, 134.63821) - 巴塔盖
Barguzin (53.61875, 109.63904) - 巴尔古津
Barabash (43.19948, 131.49185) - 巴拉巴什
Balyaga (51.15455, 108.91461) - 巴利亚加
Baley (51.58166, 116.63395) - 巴列伊
Balakhninskiy (58.01056, 114.27694) - 巴拉赫宁斯基
Balagansk (54.0057, 103.05234) - 巴拉甘斯克
Baklashi (52.22509, 104.03809) - 巴克拉希
Bagdarin (54.43333, 113.6) - 巴格达林
Badar (54.39948, 100.59436) - 巴达尔
Babstovo (48.12067, 132.47652) - 巴布斯托沃
Aykhal (65.93381, 111.4834) - 艾哈尔
Ayan (56.4631, 138.17625) - 阿扬
Atamanovka (51.92934, 113.64393) - 阿塔马诺夫卡
Artem (43.35752, 132.19138) - 阿尔乔姆
Arsen'yev (44.15282, 133.27713) - 阿尔谢尼耶夫
Arkhara (49.42269, 130.08584) - 阿尔哈拉
Arbagar (51.94353, 116.27885) - 阿尔巴加尔
Anuchino (43.96571, 133.05846) - 阿努奇诺
Angarsk (52.55968, 103.91413) - 安加尔斯克
Amurzet (47.69541, 131.09578) - 阿穆尔泽特
